+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Romesh Kaluwitharana          | 2224  | 16       | 139.00        |
| Verdun Scott                  | 2224  | 16       | 139.00        |
| Kamran Akmal                  | 4586  | 33       | 138.96        |
| Shikhar Dhawan                | 3474  | 25       | 138.96        |
| Azmat Rana                    | 2223  | 16       | 138.93        |
| Garry Sobers                  | 11948 | 86       | 138.93        |
| Matthew Hayden                | 10975 | 79       | 138.92        |
| Stuart Williams               | 3612  | 26       | 138.92        |
| Ian Bell                      | 7916  | 57       | 138.87        |
| Barry Richards                | 11110 | 80       | 138.87        |
| Manan Vohra                   | 972   | 7        | 138.85        |
| Moeen Ali                     | 2777  | 20       | 138.85        |
| Kingsmill Key                 | 1805  | 13       | 138.84        |
| Jimmy Cook                    | 8886  | 64       | 138.84        |
| Harshad Khadiwale             | 1666  | 12       | 138.83        |
| Ben Smith                     | 5553  | 40       | 138.82        |
| Yalaka Venugopal Rao          | 2360  | 17       | 138.82        |
| Cameron White                 | 3054  | 22       | 138.81        |
| Neil Harvey                   | 9300  | 67       | 138.80        |
| Gautam Gambhir                | 5968  | 43       | 138.79        |
| Joe Burns                     | 2637  | 19       | 138.78        |
| Reg Simpson                   | 8881  | 64       | 138.76        |
| Peter Bowler                  | 6244  | 45       | 138.75        |
| Gerard Brophy                 | 1110  | 8        | 138.75        |
| Matthew Bell                  | 3330  | 24       | 138.75        |
| Viv Richards                  | 15817 | 114      | 138.74        |
| Mark Butcher                  | 5272  | 38       | 138.73        |
| Louis Vorster                 | 971   | 7        | 138.71        |
| Prakash Bhatt                 | 971   | 7        | 138.71        |
| Zander de Bruyn               | 4022  | 29       | 138.68        |
| Aamer Hanif                   | 2080  | 15       | 138.66        |
| Jehan Mubarak                 | 3328  | 24       | 138.66        |
| Jackie McGlew                 | 3744  | 27       | 138.66        |
| Graham Yallop                 | 4160  | 30       | 138.66        |
| Harry Trott                   | 1248  | 9        | 138.66        |
| Ryan Hinds                    | 1664  | 12       | 138.66        |
| John Devey                    | 1109  | 8        | 138.62        |
| Rajat Bhatia                  | 2356  | 17       | 138.58        |
| Roland Butcher                | 2356  | 17       | 138.58        |
| Rob Keogh                     | 1524  | 11       | 138.54        |
| Joe Hardstaff                 | 11498 | 83       | 138.53        |
| Mark Lavender                 | 831   | 6        | 138.50        |
| Stephen Cook                  | 6648  | 48       | 138.50        |
| Hanumant Singh                | 4016  | 29       | 138.48        |
| Digby Jephson                 | 1523  | 11       | 138.45        |
| Les Poidevin                  | 1938  | 14       | 138.42        |
| Ravi Bopara                   | 4290  | 31       | 138.38        |
| Greg Chappell                 | 10240 | 74       | 138.37        |
| Adam Lyth                     | 3736  | 27       | 138.37        |
| Fawad Alam                    | 5672  | 41       | 138.34        |
| Cyril Walters                 | 2904  | 21       | 138.28        |
| Archie Jackson                | 1521  | 11       | 138.27        |
| Raymond Reynolds              | 1659  | 12       | 138.25        |
| Jean Symes                    | 1106  | 8        | 138.25        |
| Vijay Manjrekar               | 5252  | 38       | 138.21        |
| Nick Gubbins                  | 1520  | 11       | 138.18        |
| Jamie Siddons                 | 4836  | 35       | 138.17        |
| Mehedi Hasan                  | 829   | 6        | 138.16        |
| Maurice Leyland               | 11053 | 80       | 138.16        |
| Tom Barling                   | 4697  | 34       | 138.14        |
| Sanjeeva Rao                  | 967   | 7        | 138.14        |
| Michael Slater                | 4973  | 36       | 138.13        |
| Craig Spearman                | 4144  | 30       | 138.13        |
| Ian Greig                     | 1105  | 8        | 138.12        |
| Arshad Pervez                 | 5385  | 39       | 138.07        |
| Simon Katich                  | 8008  | 58       | 138.06        |
| Misbah-ul-Haq                 | 5936  | 43       | 138.04        |
| Kenia Jayantilal              | 1104  | 8        | 138.00        |
| Jamie Dalrymple               | 1656  | 12       | 138.00        |
| Chirag Jani                   | 828   | 6        | 138.00        |
| Harry Storer                  | 2483  | 18       | 137.94        |
| Kedar Jadhav                  | 1931  | 14       | 137.92        |
| Darren Stevens                | 5103  | 37       | 137.91        |
| Len Bates                     | 2896  | 21       | 137.90        |
| Pierre de Bruyn               | 1379  | 10       | 137.90        |
| Billy Wade                    | 1103  | 8        | 137.87        |
| Liam Livingstone              | 965   | 7        | 137.85        |
| Vinoo Mankad                  | 3584  | 26       | 137.84        |
| Jacques Rudolph               | 7030  | 51       | 137.84        |
| Henry Cooper                  | 827   | 6        | 137.83        |
| Geoffrey Foster               | 1516  | 11       | 137.81        |
| Asif Zakir                    | 2756  | 20       | 137.80        |
| Paul Sheahan                  | 2618  | 19       | 137.78        |
| Phil Mead                     | 21079 | 153      | 137.77        |
| Trevor Goddard                | 3582  | 26       | 137.76        |
| Zahid Fazal                   | 1653  | 12       | 137.75        |
| Nicky van den Bergh           | 1515  | 11       | 137.72        |
| Manjula de Zoysa              | 964   | 7        | 137.71        |
| Stephen Titchard              | 826   | 6        | 137.66        |
| Leon Johnson                  | 826   | 6        | 137.66        |
| Andries Gous                  | 963   | 7        | 137.57        |
| Azam Khan                     | 1513  | 11       | 137.54        |
| Jack Cheetham                 | 1100  | 8        | 137.50        |
| Shakoor Ahmed                 | 1100  | 8        | 137.50        |
| Desmond Haynes                | 8386  | 61       | 137.47        |
| Charlie Barnett               | 6598  | 48       | 137.45        |
| Maurice Turnbull              | 3986  | 29       | 137.44        |
| Laxmi Shukla                  | 1237  | 9        | 137.44        |
| Luis Reece                    | 962   | 7        | 137.42        |
| Nick Knight                   | 5496  | 40       | 137.40        |
| Andrew Gale                   | 2748  | 20       | 137.40        |
| Aarpit Vasavada               | 1099  | 8        | 137.37        |
| Bantoo Singh                  | 1511  | 11       | 137.36        |
| Marshall Ayub                 | 3022  | 22       | 137.36        |
| Harpreet Singh                | 1923  | 14       | 137.35        |
| Thomas Shepherd               | 5768  | 42       | 137.33        |
| Harry Donnan                  | 824   | 6        | 137.33        |
| Ramaswamy Sanjay              | 824   | 6        | 137.33        |
| Tom Westley                   | 3296  | 24       | 137.33        |
| Stuart Matsikenyeri           | 1236  | 9        | 137.33        |
| Jack Ryder                    | 3295  | 24       | 137.29        |
| Govinda Podder                | 961   | 7        | 137.28        |
| Hammy Love                    | 961   | 7        | 137.28        |
| Pravanjan Mullick             | 2471  | 18       | 137.27        |
| Clayton Lambert               | 3020  | 22       | 137.27        |
| Robin Uthappa                 | 3020  | 22       | 137.27        |
| Anshuman Gaekwad              | 4667  | 34       | 137.26        |
| Iain Sutcliffe                | 2196  | 16       | 137.25        |
| Eddie Barlow                  | 5901  | 43       | 137.23        |
| Palash Nandy                  | 1235  | 9        | 137.22        |
| Rajat Paliwal                 | 1921  | 14       | 137.21        |
| Shakeel Ahmed                 | 2195  | 16       | 137.18        |
| Nick Compton                  | 3704  | 27       | 137.18        |
| Parthiv Patel                 | 3704  | 27       | 137.18        |
| Michael Bracewell             | 1509  | 11       | 137.18        |
| Mark Venter                   | 823   | 6        | 137.16        |
| Mahela Udawatte               | 1920  | 14       | 137.14        |
| Bhupinder Singh               | 1371  | 10       | 137.10        |
| Martin Crowe                  | 9734  | 71       | 137.09        |
| Michael Lumb                  | 2879  | 21       | 137.09        |
| Stuart Binny                  | 1508  | 11       | 137.09        |
| Geoff Boycott                 | 20695 | 151      | 137.05        |
| Divan van Wyk                 | 2604  | 19       | 137.05        |
| Ian McLachlan                 | 1233  | 9        | 137.00        |
| Dinesh Karthik                | 3835  | 28       | 136.96        |
| Brian Booth                   | 3561  | 26       | 136.96        |
| Jacob Martin                  | 3150  | 23       | 136.95        |
| Sandeep Patil                 | 2739  | 20       | 136.95        |
| Afaq Raheem                   | 1917  | 14       | 136.92        |
| Taslim Arif                   | 1780  | 13       | 136.92        |
| Jatin Paranjpe                | 1780  | 13       | 136.92        |
| Nayan Mongia                  | 1643  | 12       | 136.91        |
| Tushar Imran                  | 4381  | 32       | 136.90        |
| Jean-Paul Duminy              | 2738  | 20       | 136.90        |
| Pite van Biljon               | 2738  | 20       | 136.90        |
| Paul Todd                     | 1232  | 9        | 136.88        |
| Wilf Slack                    | 3422  | 25       | 136.88        |
| Arjuna Ranatunga              | 3422  | 25       | 136.88        |
| Graham Dowling                | 2190  | 16       | 136.87        |
| John Whitehouse               | 2053  | 15       | 136.86        |
| Matt Renshaw                  | 1779  | 13       | 136.84        |
| Tatenda Taibu                 | 1642  | 12       | 136.83        |
| Stephen Moore                 | 2463  | 18       | 136.83        |
| Ed Joyce                      | 6430  | 47       | 136.80        |
| Ed Smith                      | 4651  | 34       | 136.79        |
| Mike Haysman                  | 1778  | 13       | 136.76        |
| Mizanur Rahman                | 1641  | 12       | 136.75        |
| Ernest Tyldesley              | 13947 | 102      | 136.73        |
| Jack Crawford                 | 2051  | 15       | 136.73        |
| Mark Taylor                   | 5606  | 41       | 136.73        |
| Kiran More                    | 957   | 7        | 136.71        |
| Milind Gunjal                 | 1914  | 14       | 136.71        |
| Dilip Vengsarkar              | 7517  | 55       | 136.67        |
| Dene Hills                    | 2870  | 21       | 136.66        |
| Lanka de Silva                | 2870  | 21       | 136.66        |
| Wallis Mathias                | 2186  | 16       | 136.62        |
| Mark Vermeulen                | 2186  | 16       | 136.62        |
| Kithuruwan Vithanage          | 1912  | 14       | 136.57        |
| Vic Wilson                    | 4097  | 30       | 136.56        |
| Mike Powell                   | 3687  | 27       | 136.55        |
| Zakir Hasan                   | 1502  | 11       | 136.54        |
| James Douglas                 | 2048  | 15       | 136.53        |
| Stan McCabe                   | 3959  | 29       | 136.51        |
| Easton McMorris               | 2457  | 18       | 136.50        |
| Gareth Roderick               | 819   | 6        | 136.50        |
| Damian D'Oliveira             | 1365  | 10       | 136.50        |
| Ronnie Holdsworth             | 1092  | 8        | 136.50        |
| Gayan Maneshan                | 1092  | 8        | 136.50        |
| Ashfaq Ahmed                  | 1092  | 8        | 136.50        |
| Frank Woolley                 | 19791 | 145      | 136.48        |
| Geoff Marsh                   | 4504  | 33       | 136.48        |
| Maruti Sridhar                | 2866  | 21       | 136.47        |
| Clyde Walcott                 | 5459  | 40       | 136.47        |
| Rilee Rossouw                 | 2593  | 19       | 136.47        |
| Luke Wright                   | 2320  | 17       | 136.47        |
| Prasanna Jayawardene          | 2047  | 15       | 136.46        |
| Phil Ridings                  | 1228  | 9        | 136.44        |
| Bertie Chaplin                | 955   | 7        | 136.42        |
| Amay Khurasiya                | 2865  | 21       | 136.42        |
| Dar Lyon                      | 1910  | 14       | 136.42        |
| Alex Gidman                   | 3274  | 24       | 136.41        |
| Frank Prentice                | 2319  | 17       | 136.41        |
| Vernon Ransford               | 3410  | 25       | 136.40        |
| Neil Broom                    | 2455  | 18       | 136.38        |
| Walter Keeton                 | 7365  | 54       | 136.38        |
| Joe Denly                     | 3955  | 29       | 136.37        |
| Bill Alley                    | 4227  | 31       | 136.35        |
| Ravi Shastri                  | 4636  | 34       | 136.35        |
| Hubert Doggart                | 2727  | 20       | 136.35        |
| Buster Farrer                 | 1636  | 12       | 136.33        |
| John Jameson                  | 4499  | 33       | 136.33        |
| Geeth Alwis                   | 818   | 6        | 136.33        |
| Ian Westwood                  | 2181  | 16       | 136.31        |
| Ijaz Ahmed                    | 4497  | 33       | 136.27        |
| Darren Bicknell               | 6268  | 46       | 136.26        |
| Matthew Wood                  | 2180  | 16       | 136.25        |
| Andrew Jones                  | 2179  | 16       | 136.18        |
| David Fitzgerald              | 1770  | 13       | 136.15        |
| Santosh Jedhe                 | 2042  | 15       | 136.13        |
| Imrul Kayes                   | 2450  | 18       | 136.11        |
| Shane Watson                  | 2722  | 20       | 136.10        |
| Neal Parlane                  | 1633  | 12       | 136.08        |
| Tim Curtis                    | 5851  | 43       | 136.06        |
| Vineet Saxena                 | 2313  | 17       | 136.05        |
| Denis Compton                 | 16732 | 123      | 136.03        |
| Anand Shukla                  | 1224  | 9        | 136.00        |
| Syed Abid Ali                 | 1768  | 13       | 136.00        |
| Yusuf Pathan                  | 1496  | 11       | 136.00        |
| Cyril Washbrook               | 10336 | 76       | 136.00        |
| Richard Montgomerie           | 3944  | 29       | 136.00        |
| Rusi Surti                    | 816   | 6        | 136.00        |
| Abdul Kardar                  | 1088  | 8        | 136.00        |
| Fazle Mahmud                  | 1360  | 10       | 136.00        |
| Ali Bacher                    | 2448  | 18       | 136.00        |
| Ankush Bains                  | 816   | 6        | 136.00        |
| Ernie Hayes                   | 6526  | 48       | 135.95        |
| Sep Kinneir                   | 3534  | 26       | 135.92        |
| Martin Speight                | 1767  | 13       | 135.92        |
| Frank Watson                  | 6796  | 50       | 135.92        |
| Luke Woodcock                 | 1495  | 11       | 135.90        |
| Jacques Kallis                | 8426  | 62       | 135.90        |
| Dennis Amiss                  | 13860 | 102      | 135.88        |
| Brendan Nash                  | 2445  | 18       | 135.83        |
| Cobus Pienaar                 | 815   | 6        | 135.83        |
| Alvin Kallicharran            | 11815 | 87       | 135.80        |
| Fred Bowley                   | 5160  | 38       | 135.78        |
| Deepak Hooda                  | 1222  | 9        | 135.77        |
| Ted Hemsley                   | 1086  | 8        | 135.75        |
| Matthew Maynard               | 8009  | 59       | 135.74        |
| Nathan Astle                  | 2579  | 19       | 135.73        |
| Rujul Bhatt                   | 950   | 7        | 135.71        |
| Rayapeth Swaroop              | 950   | 7        | 135.71        |
| Werner Coetsee                | 1357  | 10       | 135.70        |
| Ian Chappell                  | 8005  | 59       | 135.67        |
| Steven Smith                  | 5834  | 43       | 135.67        |
| Zahid Mansoor                 | 814   | 6        | 135.66        |
| Jack Leaning                  | 814   | 6        | 135.66        |
| Tim Robinson                  | 8546  | 63       | 135.65        |
| Christopher Nash              | 3255  | 24       | 135.62        |
| Paul Grayson                  | 2170  | 16       | 135.62        |
| Graham Thorpe                 | 6645  | 49       | 135.61        |
| Bryan Young                   | 1356  | 10       | 135.60        |
| Rizwan Shamshad               | 2576  | 19       | 135.57        |
| Suresh Raina                  | 1898  | 14       | 135.57        |
| Naumanullah                   | 2169  | 16       | 135.56        |
| John Knott                    | 1220  | 9        | 135.55        |
| Christiaan Jonker             | 1491  | 11       | 135.54        |
| Sanjeewa Silva                | 1762  | 13       | 135.53        |
| Norm O'Neill                  | 6098  | 45       | 135.51        |
| Shoaib Ahmed                  | 813   | 6        | 135.50        |
| Darren Bravo                  | 1626  | 12       | 135.50        |
| Fakhar Zaman                  | 813   | 6        | 135.50        |
| Alec Stewart                  | 6503  | 48       | 135.47        |
| Marnus Labuschagne            | 2845  | 21       | 135.47        |
| Carl Hooper                   | 9346  | 69       | 135.44        |
| George Hirst                  | 8124  | 60       | 135.40        |
| Norman Hill                   | 3114  | 23       | 135.39        |
| Philip Sharpe                 | 3926  | 29       | 135.37        |
| Waqar Hasan                   | 1083  | 8        | 135.37        |
| Dulip Samaraweera             | 2166  | 16       | 135.37        |
| Ziaur Rahman                  | 1083  | 8        | 135.37        |
| Sourav Ganguly                | 4467  | 33       | 135.36        |
| Wally Hardinge                | 10152 | 75       | 135.36        |
| Stewie Dempster               | 4737  | 35       | 135.34        |
| Karl Nunes                    | 812   | 6        | 135.33        |
| Nick Jewell                   | 812   | 6        | 135.33        |
| Tillakaratne Dilshan          | 5142  | 38       | 135.31        |
| Moin-ul-Atiq                  | 1759  | 13       | 135.30        |
| Peter May                     | 11501 | 85       | 135.30        |
| Keaton Jennings               | 2706  | 20       | 135.30        |
| Agha Sabir                    | 1353  | 10       | 135.30        |
| Shalika Karunanayake          | 947   | 7        | 135.28        |
| Anamul Haque                  | 2976  | 22       | 135.27        |
| Dennis Brookes                | 9603  | 71       | 135.25        |
| Jack Iddon                    | 6221  | 46       | 135.23        |
| Jeevantha Kulatunga           | 1893  | 14       | 135.21        |
| Ken Rutherford                | 4732  | 35       | 135.20        |
| Michael Vandort               | 2704  | 20       | 135.20        |
| Shiv Chanderpaul              | 10409 | 77       | 135.18        |
| Mark Alleyne                  | 2974  | 22       | 135.18        |
| Prithviraj                    | 811   | 6        | 135.16        |
| Alf Dipper                    | 7163  | 53       | 135.15        |
| Sufyan Munir                  | 946   | 7        | 135.14        |
| Sameera de Zoysa              | 1081  | 8        | 135.12        |
| Shadman Islam                 | 1351  | 10       | 135.10        |
| Ben Stokes                    | 2431  | 18       | 135.05        |
| Mike Brearley                 | 6077  | 45       | 135.04        |
| Colin McDonald                | 3241  | 24       | 135.04        |
| Ryan ten Doeschate            | 3916  | 29       | 135.03        |
| Edward Moore                  | 2025  | 15       | 135.00        |
| Imran Butt                    | 1620  | 12       | 135.00        |
| Mark Greatbatch               | 3239  | 24       | 134.95        |
| Phil Simmons                  | 3239  | 24       | 134.95        |
| Taufeeq Umar                  | 2834  | 21       | 134.95        |
| Des Barrick                   | 2699  | 20       | 134.95        |
| Luke Wells                    | 2564  | 19       | 134.94        |
| Ajinkya Rahane                | 4858  | 36       | 134.94        |
| Shan Masood                   | 2429  | 18       | 134.94        |
| Will Jefferson                | 2294  | 17       | 134.94        |
| John Bell                     | 1619  | 12       | 134.91        |
| Manu Nayyar                   | 1214  | 9        | 134.88        |
| Mohammad Hasan                | 944   | 7        | 134.85        |
| Mark Rushmere                 | 2697  | 20       | 134.85        |
| Rohan Gavaskar                | 2427  | 18       | 134.83        |
| Hiken Shah                    | 809   | 6        | 134.83        |
| Hansie Cronje                 | 4313  | 32       | 134.78        |
| Michael Carberry              | 4717  | 35       | 134.77        |
| Ijaz Ahmed                    | 1752  | 13       | 134.76        |
| David Houghton                | 2291  | 17       | 134.76        |
| Denis Lindsay                 | 1617  | 12       | 134.75        |
| Niroshan Dickwella            | 1482  | 11       | 134.72        |
| Stiaan van Zyl                | 3907  | 29       | 134.72        |
| Charlie Davis                 | 1886  | 14       | 134.71        |
| Grant Mokoena                 | 1212  | 9        | 134.66        |
| Ian Smith                     | 808   | 6        | 134.66        |
| Prashant Dwevedi              | 808   | 6        | 134.66        |
| Maitland Hathorn              | 1212  | 9        | 134.66        |
| Michael Yardy                 | 3097  | 23       | 134.65        |
| Gordon Muchall                | 1885  | 14       | 134.64        |
| Victor Fox                    | 1481  | 11       | 134.63        |
| Scott Newman                  | 2154  | 16       | 134.62        |
| Haris Sohail                  | 1750  | 13       | 134.61        |
| Trevor Jesty                  | 4711  | 35       | 134.60        |
| Tommy Cook                    | 4307  | 32       | 134.59        |
| Rizwan-uz-Zaman               | 5787  | 43       | 134.58        |
| Daryll Cullinan               | 5921  | 44       | 134.56        |
| John Holt                     | 1211  | 9        | 134.55        |
| Martin van Jaarsveld          | 6996  | 52       | 134.53        |
| Asela Gunaratne               | 1749  | 13       | 134.53        |
| Gerhardus Liebenberg          | 2825  | 21       | 134.52        |
| Mark Wagh                     | 4170  | 31       | 134.51        |
| Bill Ashdown                  | 5246  | 39       | 134.51        |
| Yere Goud                     | 2152  | 16       | 134.50        |
| Grant Roelofsen               | 1076  | 8        | 134.50        |
| Albert Knight                 | 4573  | 34       | 134.50        |
| Chanaka Wijesinghe            | 1614  | 12       | 134.50        |
| Arvind Apte                   | 807   | 6        | 134.50        |
| Najeeb Tarakai                | 807   | 6        | 134.50        |
| Greg Shipperd                 | 2017  | 15       | 134.46        |
| Alec Hearne                   | 2017  | 15       | 134.46        |
| Nic Maddinson                 | 2017  | 15       | 134.46        |
| Bill Lawry                    | 6723  | 50       | 134.46        |
| Chris Adams                   | 6454  | 48       | 134.45        |
| Ghulam Parkar                 | 1479  | 11       | 134.45        |
| Don Tallon                    | 1210  | 9        | 134.44        |
| Gundappa Viswanath            | 5915  | 44       | 134.43        |
| Edward Craig                  | 941   | 7        | 134.42        |
| Dilhara Lokuhettige           | 941   | 7        | 134.42        |
| Maisuqur Rahman               | 941   | 7        | 134.42        |
| Daniel Flynn                  | 2823  | 21       | 134.42        |
| Percy McDonnell               | 941   | 7        | 134.42        |
| David White                   | 941   | 7        | 134.42        |
| Les Berry                     | 6048  | 45       | 134.40        |
| Ambar Roy                     | 2419  | 18       | 134.38        |
| John Dyson                    | 2553  | 19       | 134.36        |
| Rudi Steyn                    | 1478  | 11       | 134.36        |
| Rod Marsh                     | 1612  | 12       | 134.33        |
| Mahendra Dhoni                | 1209  | 9        | 134.33        |
| Wilf Barber                   | 3895  | 29       | 134.31        |
| Niraj Patel                   | 1746  | 13       | 134.30        |
| Jack Hobbs                    | 26725 | 199      | 134.29        |
| Habibul Bashar                | 940   | 7        | 134.28        |
| Adam Bacher                   | 2417  | 18       | 134.27        |
| Neil Fairbrother              | 6311  | 47       | 134.27        |
| Saad Ali                      | 1477  | 11       | 134.27        |
| Ajay Ratra                    | 1074  | 8        | 134.25        |
| Chris Cooke                   | 1074  | 8        | 134.25        |
| Inzamam-ul-Haq                | 6041  | 45       | 134.24        |
| Don Kenyon                    | 9934  | 74       | 134.24        |
| Rassie van der Dussen         | 2282  | 17       | 134.23        |
| Adrian Rollins                | 1745  | 13       | 134.23        |
| Oshada Fernando               | 1745  | 13       | 134.23        |
| Gulam Bodi                    | 1208  | 9        | 134.22        |
| Navjot Sidhu                  | 3624  | 27       | 134.22        |
| Ishank Jaggi                  | 2550  | 19       | 134.21        |
| Mike Veletta                  | 2684  | 20       | 134.20        |
| Wayne Madsen                  | 4294  | 32       | 134.18        |
| Ian Redpath                   | 4294  | 32       | 134.18        |
| Maurice Read                  | 1476  | 11       | 134.18        |
| William Roller                | 939   | 7        | 134.14        |
| Tip Snooke                    | 939   | 7        | 134.14        |
| Julien Wiener                 | 939   | 7        | 134.14        |
| Michael Parlane               | 2012  | 15       | 134.13        |
| Cyril Poole                   | 3219  | 24       | 134.12        |
| Mohammad Azharuddin           | 7242  | 54       | 134.11        |
| Baba Apparajith               | 1341  | 10       | 134.10        |
| Willie Jones                  | 1475  | 11       | 134.09        |
| Ryan Campbell                 | 1475  | 11       | 134.09        |
| Ijaz Ahmed                    | 3486  | 26       | 134.07        |
| Bimal Jadeja                  | 1877  | 14       | 134.07        |
| Les Ames                      | 13674 | 102      | 134.05        |
| Lahiru Thirimanne             | 2949  | 22       | 134.04        |
| Rod Latham                    | 1206  | 9        | 134.00        |
| Mark Waugh                    | 10854 | 81       | 134.00        |
| Kolar Pawan                   | 1608  | 12       | 134.00        |
| Garnet Lee                    | 2948  | 22       | 134.00        |
| Amit Pathak                   | 1474  | 11       | 134.00        |
| Mike Powell                   | 1608  | 12       | 134.00        |
| Steve Waugh                   | 10585 | 79       | 133.98        |
| Andy Stovold                  | 2679  | 20       | 133.95        |
| Michael Bevan                 | 9108  | 68       | 133.94        |
| Ashok Mankad                  | 4152  | 31       | 133.93        |
| Khalid Latif                  | 3348  | 25       | 133.92        |
| Yohan de Silva                | 1607  | 12       | 133.91        |
| Sudhakar Adhikari             | 1473  | 11       | 133.90        |
| Craig White                   | 2812  | 21       | 133.90        |
| Azhar Ali                     | 5624  | 42       | 133.90        |
| George Pope                   | 1071  | 8        | 133.87        |
| Will Rhodes                   | 937   | 7        | 133.85        |
| Maurice Nichol                | 2275  | 17       | 133.82        |
| David Fulton                  | 3747  | 28       | 133.82        |
| Andrew Ellis                  | 1204  | 9        | 133.77        |
| Les Townsend                  | 2943  | 22       | 133.77        |
| Merv Wallace                  | 2274  | 17       | 133.76        |
| Aubrey Sharp                  | 1070  | 8        | 133.75        |
| Asif Ahmed                    | 1070  | 8        | 133.75        |
| Thilan Samaraweera            | 5750  | 43       | 133.72        |
| Phil Robinson                 | 936   | 7        | 133.71        |
| Gurkeerat Singh               | 936   | 7        | 133.71        |
| Rajendra Bhalekar             | 936   | 7        | 133.71        |
| Amarjit Kaypee                | 3610  | 27       | 133.70        |
| Peter Forrest                 | 1337  | 10       | 133.70        |
| Ernest Smith                  | 802   | 6        | 133.66        |
| Imad Wasim                    | 802   | 6        | 133.66        |
| Owais Shah                    | 6015  | 45       | 133.66        |
| Farhad Hossain                | 2406  | 18       | 133.66        |
| Asghar Stanikzai              | 802   | 6        | 133.66        |
| Winston Place                 | 4811  | 36       | 133.63        |
| Andre Seymore                 | 1470  | 11       | 133.63        |
| Tim Ambrose                   | 2405  | 18       | 133.61        |
| Tanmay Srivastava             | 1336  | 10       | 133.60        |
| Ken Meuleman                  | 2939  | 22       | 133.59        |
| Ashar Zaidi                   | 1603  | 12       | 133.58        |
| Jock Livingston               | 4541  | 34       | 133.55        |
| Wayne Phillips                | 1202  | 9        | 133.55        |
| Azhar Mahmood                 | 1202  | 9        | 133.55        |
| John Dewes                    | 2404  | 18       | 133.55        |
| David Wiese                   | 1469  | 11       | 133.54        |
| Gamindu Kanishka              | 1736  | 13       | 133.53        |
| Jaik Mickleburgh              | 1335  | 10       | 133.50        |
| Errol Holmes                  | 3203  | 24       | 133.45        |
| Punter Humphreys              | 2936  | 22       | 133.45        |
| David Gower                   | 7071  | 53       | 133.41        |
| Bryan Stott                   | 2267  | 17       | 133.35        |
| Vic Barton                    | 800   | 6        | 133.33        |
| Frank Iredale                 | 1600  | 12       | 133.33        |
| Yashodha Lanka                | 800   | 6        | 133.33        |
| Matt Windows                  | 2133  | 16       | 133.31        |
| Greg Ritchie                  | 3199  | 24       | 133.29        |
| Walter Troup                  | 933   | 7        | 133.28        |
| Imran Ali                     | 933   | 7        | 133.28        |
| Greg Lamb                     | 933   | 7        | 133.28        |
| Shadab Kabir                  | 1466  | 11       | 133.27        |
| Andrew Hudson                 | 2665  | 20       | 133.25        |
| Mike Denness                  | 4397  | 33       | 133.24        |
| Sanjay Bangar                 | 1732  | 13       | 133.23        |
| John Morris                   | 6926  | 52       | 133.19        |
| Tom Dollery                   | 6659  | 50       | 133.18        |
| Ghulam Ali                    | 3063  | 23       | 133.17        |
| Ted Bowley                    | 6925  | 52       | 133.17        |
| Tony Harris                   | 799   | 6        | 133.16        |
| Keith Parsons                 | 799   | 6        | 133.16        |
| Shanuka Dissanayake           | 799   | 6        | 133.16        |
| Chaminda Mendis               | 2263  | 17       | 133.11        |
| Amit Pagnis                   | 1331  | 10       | 133.10        |
| Michael Vaughan               | 5590  | 42       | 133.09        |
| Anurag Singh                  | 1464  | 11       | 133.09        |
| Amit Verma                    | 2262  | 17       | 133.05        |
| Faf du Plessis                | 2395  | 18       | 133.05        |
| Mohammad Ramzan               | 3325  | 25       | 133.00        |
| Peter Wight                   | 3724  | 28       | 133.00        |
| Yajurvindra Singh             | 1197  | 9        | 133.00        |
| Ed Cowan                      | 3325  | 25       | 133.00        |
| Basil Butcher                 | 4123  | 31       | 133.00        |
| Johnny Taylor                 | 1463  | 11       | 133.00        |
| Ricky Bhui                    | 1463  | 11       | 133.00        |
| Indika de Saram               | 3724  | 28       | 133.00        |
| Isaac Walker                  | 931   | 7        | 133.00        |
| Andrew Flintoff               | 1995  | 15       | 133.00        |
| Ken Grieves                   | 3856  | 29       | 132.96        |
| Harry Makepeace               | 5717  | 43       | 132.95        |
| Uday Kaul                     | 2526  | 19       | 132.94        |
| Joe Darling                   | 2526  | 19       | 132.94        |
| Mansoor Akhtar                | 3722  | 28       | 132.92        |
| Sam Loxton                    | 1728  | 13       | 132.92        |
| Neil McKenzie                 | 7044  | 53       | 132.90        |
| Dodger Whysall                | 6778  | 51       | 132.90        |
| Imran Nazir                   | 1329  | 10       | 132.90        |
| Arnold Hamer                  | 2525  | 19       | 132.89        |
| Michael Smith                 | 1196  | 9        | 132.88        |
| Roy Marshall                  | 9036  | 68       | 132.88        |
| Martin Walters                | 1063  | 8        | 132.87        |
| Doug Insole                   | 7175  | 54       | 132.87        |
| Nazimuddin                    | 1594  | 12       | 132.83        |
| Sujith Somasunder             | 1461  | 11       | 132.81        |
| Carlisle Best                 | 1726  | 13       | 132.76        |
| Wavell Hinds                  | 3053  | 23       | 132.73        |
| Kim Barnett                   | 8095  | 61       | 132.70        |
| Shishir Hattangadi            | 1327  | 10       | 132.70        |
| Munir-ul-Haq                  | 2521  | 19       | 132.68        |
