+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Lokesh Rahul                  | 2602  | 17       | 153.05        |
| Denijs Morkel                 | 1224  | 8        | 153.00        |
| Lendl Simmons                 | 1681  | 11       | 152.81        |
| Ganesh Satish                 | 2445  | 16       | 152.81        |
| Manprit Juneja                | 1375  | 9        | 152.77        |
| Martin Guptill                | 2597  | 17       | 152.76        |
| Gavin Stevens                 | 1069  | 7        | 152.71        |
| Roger Blunt                   | 2290  | 15       | 152.66        |
| Robbie Muzzell                | 1067  | 7        | 152.42        |
| Phil Jaques                   | 6706  | 44       | 152.40        |
| Varun Chopra                  | 3047  | 20       | 152.35        |
| Dheeraj Jadhav                | 3503  | 23       | 152.30        |
| Manish Pandey                 | 3197  | 21       | 152.23        |
| Chris Lewis                   | 1369  | 9        | 152.11        |
| Faizan Riaz                   | 1977  | 13       | 152.07        |
| Kusal Perera                  | 1976  | 13       | 152.00        |
| Laurie Evans                  | 912   | 6        | 152.00        |
| Hanif Mohammad                | 8353  | 55       | 151.87        |
| Arun Lal                      | 4554  | 30       | 151.80        |
| Ken Eastwood                  | 1366  | 9        | 151.77        |
| Kevin Pietersen               | 7584  | 50       | 151.68        |
| Alan Kippax                   | 6522  | 43       | 151.67        |
| Aakash Chopra                 | 4398  | 29       | 151.65        |
| Bob Simpson                   | 9098  | 60       | 151.63        |
| Madhav Mantri                 | 1061  | 7        | 151.57        |
| Shreyas Iyer                  | 1970  | 13       | 151.53        |
| Victor Trumper                | 6363  | 42       | 151.50        |
| Lahiru Udara                  | 909   | 6        | 151.50        |
| Kusal Mendis                  | 1816  | 12       | 151.33        |
| Chris Lynn                    | 908   | 6        | 151.33        |
| Abdul Azeem                   | 1816  | 12       | 151.33        |
| Marlon Samuels                | 2117  | 14       | 151.21        |
| Eddie Paynter                 | 6803  | 45       | 151.17        |
| Sanath Jayasuriya             | 4382  | 29       | 151.10        |
| Aravinda de Silva             | 6497  | 43       | 151.09        |
| Dominic Ostler                | 2417  | 16       | 151.06        |
| Stuart Carlisle               | 1509  | 10       | 150.90        |
| Dooley Briscoe                | 905   | 6        | 150.83        |
| Brad Hodge                    | 7690  | 51       | 150.78        |
| Gary Kirsten                  | 6934  | 46       | 150.73        |
| Zeeshan Butt                  | 904   | 6        | 150.66        |
| Bhargav Merai                 | 1205  | 8        | 150.62        |
| Vikram Rathour                | 4970  | 33       | 150.60        |
| Roger Harper                  | 1506  | 10       | 150.60        |
| Ryan Rickelton                | 1505  | 10       | 150.50        |
| Sam Robson                    | 3912  | 26       | 150.46        |
| Srikar Bharat                 | 1354  | 9        | 150.44        |
| Shrikant Kalyani              | 2104  | 14       | 150.28        |
| John Crawley                  | 8115  | 54       | 150.27        |
| Vince Wells                   | 2704  | 18       | 150.22        |
| Andrea Agathangelou           | 2253  | 15       | 150.20        |
| Dinesh Mongia                 | 4052  | 27       | 150.07        |
| Younis Khan                   | 8401  | 56       | 150.01        |
| Derrick de Saram              | 900   | 6        | 150.00        |
| Virat Kohli                   | 5099  | 34       | 149.97        |
| Chris Dent                    | 2695  | 18       | 149.72        |
| Sikandar Raza                 | 1048  | 7        | 149.71        |
| Kane Williamson               | 5090  | 34       | 149.70        |
| Louis Koen                    | 1497  | 10       | 149.70        |
| Rohit Sharma                  | 3742  | 25       | 149.68        |
| Bhavik Thaker                 | 898   | 6        | 149.66        |
| Udara Jayasundera             | 2544  | 17       | 149.64        |
| Darren Lehmann                | 12267 | 82       | 149.59        |
| Kartik Jeshwant               | 1346  | 9        | 149.55        |
| Percy Tarilton                | 1196  | 8        | 149.50        |
| William Porterfield           | 1643  | 11       | 149.36        |
| Peter Ingram                  | 2539  | 17       | 149.35        |
| Pravin Amre                   | 2537  | 17       | 149.23        |
| Warwick Armstrong             | 6712  | 45       | 149.15        |
| Tom Killick                   | 2236  | 15       | 149.06        |
| Bill Watson                   | 894   | 6        | 149.00        |
| Alok Kapali                   | 2979  | 20       | 148.95        |
| Swapnil Asnodkar              | 2085  | 14       | 148.92        |
| Murali Vijay                  | 3723  | 25       | 148.92        |
| Lawrence Rowe                 | 2680  | 18       | 148.88        |
| Dean Jones                    | 8187  | 55       | 148.85        |
| Sami Aslam                    | 2083  | 14       | 148.78        |
| Charles Fry                   | 13985 | 94       | 148.77        |
| Leonard Crawley               | 1190  | 8        | 148.75        |
| Mohammad Shafiq               | 1041  | 7        | 148.71        |
| Craig Ervine                  | 2082  | 14       | 148.71        |
| Conrad Hunte                  | 2378  | 16       | 148.62        |
| Usman Tariq                   | 2079  | 14       | 148.50        |
| Tom Cooper                    | 1930  | 13       | 148.46        |
| Pieter Malan                  | 5639  | 38       | 148.39        |
| Vinod Kambli                  | 5193  | 35       | 148.37        |
| Syed Wazir Ali                | 3264  | 22       | 148.36        |
| Yusuf Ali Khan                | 2077  | 14       | 148.35        |
| Tim McIntosh                  | 2818  | 19       | 148.31        |
| Dinkar Deodhar                | 1334  | 9        | 148.22        |
| Naved Ashraf                  | 1482  | 10       | 148.20        |
| Mark Ramprakash               | 16892 | 114      | 148.17        |
| Gerrie Snyman                 | 889   | 6        | 148.16        |
| Bapu Nadkarni                 | 2074  | 14       | 148.14        |
| Graeme Hick                   | 20146 | 136      | 148.13        |
| Shai Hope                     | 1185  | 8        | 148.12        |
| Keith Miller                  | 6073  | 41       | 148.12        |
| Syd Curnow                    | 1333  | 9        | 148.11        |
| Naeemuddin                    | 2368  | 16       | 148.00        |
| Dave Nourse                   | 5621  | 38       | 147.92        |
| Saadat Ali                    | 3106  | 21       | 147.90        |
| Milind Kumar                  | 1331  | 9        | 147.88        |
