+------+-------------------------------+---------+--------+-------+
| Rank | Batsman                       | Average | Others | Ratio |
| 884  | Gundappa Viswanath            | 40.93   | 29.27  | 1.398 |
| 885  | Thirumalai Srinivasan         | 34.18   | 24.45  | 1.397 |
| 886  | Ben Brown                     | 40.64   | 29.07  | 1.397 |
| 887  | Robin Mukherjee               | 33.52   | 23.99  | 1.397 |
| 888  | Chetan Chauhan                | 40.22   | 28.78  | 1.397 |
| 889  | John Lillywhite               | 17.43   | 12.48  | 1.396 |
| 890  | Mohammad Wasim                | 34.97   | 25.04  | 1.396 |
| 891  | Sudhakar Rao                  | 39.74   | 28.45  | 1.396 |
| 892  | Taufeeq Umar                  | 36.41   | 26.08  | 1.396 |
| 893  | Gerrie Snyman                 | 37.17   | 26.62  | 1.396 |
| 894  | Nic Pothas                    | 40.85   | 29.26  | 1.396 |
| 895  | Ian Ward                      | 40.25   | 28.84  | 1.395 |
| 896  | Phiroze Palia                 | 32.40   | 23.21  | 1.395 |
| 897  | Marcus Harris                 | 39.91   | 28.61  | 1.395 |
| 898  | Gavin Victor                  | 36.31   | 26.04  | 1.394 |
| 899  | Mahmood-ul-Hasan              | 36.35   | 26.07  | 1.393 |
| 900  | Sourav Ganguly                | 44.18   | 31.70  | 1.393 |
| 901  | Adam Gilchrist                | 44.16   | 31.69  | 1.393 |
| 902  | Abhishek Nayar                | 45.62   | 32.74  | 1.393 |
| 903  | Jack Crawford                 | 32.60   | 23.40  | 1.393 |
| 904  | Derek Randall                 | 38.14   | 27.37  | 1.393 |
| 905  | Harcharan Singh               | 31.18   | 22.39  | 1.392 |
| 906  | Mark Taylor                   | 41.96   | 30.14  | 1.392 |
| 907  | Brian Bolus                   | 34.03   | 24.45  | 1.392 |
| 908  | Jamie Siddons                 | 44.91   | 32.26  | 1.392 |
| 909  | Andre Fletcher                | 31.16   | 22.39  | 1.392 |
| 910  | Vinay Lamba                   | 31.59   | 22.70  | 1.391 |
| 911  | Fred Susskind                 | 34.60   | 24.86  | 1.391 |
| 912  | Smit Patel                    | 39.49   | 28.37  | 1.391 |
| 913  | Ian Bell                      | 43.58   | 31.31  | 1.391 |
| 914  | Gayan Maneshan                | 36.97   | 26.56  | 1.391 |
| 915  | Micky Stewart                 | 32.90   | 23.65  | 1.391 |
| 916  | Ridley Jacobs                 | 38.75   | 27.85  | 1.391 |
| 917  | Jim Parks                     | 34.76   | 24.99  | 1.390 |
| 918  | Andrew Puttick                | 40.27   | 28.96  | 1.390 |
| 919  | Collis King                   | 38.24   | 27.50  | 1.390 |
| 920  | Graham Dowling                | 34.94   | 25.13  | 1.390 |
| 921  | Trevor Penney                 | 39.28   | 28.25  | 1.390 |
| 922  | Sarfraz Ahmed                 | 39.91   | 28.71  | 1.390 |
| 923  | Ian Redpath                   | 41.99   | 30.21  | 1.389 |
| 924  | Shahid Anwar                  | 34.87   | 25.09  | 1.389 |
| 925  | Mark Cosgrove                 | 40.36   | 29.05  | 1.389 |
| 926  | Avishka Gunawardene           | 35.53   | 25.58  | 1.388 |
| 927  | Connor Williams               | 39.90   | 28.74  | 1.388 |
| 928  | Ken Rutherford                | 39.92   | 28.75  | 1.388 |
| 929  | Shalabh Shrivastava           | 36.52   | 26.31  | 1.387 |
| 930  | Sep Kinneir                   | 32.72   | 23.58  | 1.387 |
| 931  | Tilak Raj                     | 30.42   | 21.92  | 1.387 |
| 932  | Shahzaib Hasan                | 34.25   | 24.68  | 1.387 |
| 933  | Philo Wallace                 | 36.25   | 26.13  | 1.387 |
| 934  | Amit Pagnis                   | 39.53   | 28.49  | 1.387 |
| 935  | Brian McMillan                | 38.71   | 27.92  | 1.386 |
| 936  | David Gower                   | 40.08   | 28.91  | 1.386 |
| 937  | Humphrey Ward                 | 32.46   | 23.42  | 1.385 |
| 938  | Naoomal Jaoomal               | 32.59   | 23.52  | 1.385 |
| 939  | Barry Sinclair                | 32.87   | 23.72  | 1.385 |
| 940  | Gordon White                  | 27.70   | 19.99  | 1.385 |
| 941  | Dominic Hendricks             | 37.49   | 27.06  | 1.385 |
| 942  | John Dyson                    | 40.22   | 29.04  | 1.385 |
| 943  | Ed Cowan                      | 41.89   | 30.25  | 1.384 |
| 944  | Farhaan Behardien             | 40.63   | 29.34  | 1.384 |
| 945  | Ali Asad                      | 35.52   | 25.67  | 1.383 |
| 946  | Michael Doherty               | 34.92   | 25.23  | 1.383 |
| 947  | Rajiv Kumar                   | 39.67   | 28.67  | 1.383 |
| 948  | Maurice Read                  | 24.66   | 17.83  | 1.382 |
| 949  | Anand Shukla                  | 33.68   | 24.36  | 1.382 |
| 950  | Khalid Latif                  | 37.43   | 27.07  | 1.382 |
| 951  | Zeeshan Butt                  | 34.84   | 25.21  | 1.382 |
| 952  | Johann Myburgh                | 40.96   | 29.63  | 1.382 |
| 953  | Anisur Rahman                 | 32.75   | 23.70  | 1.382 |
| 954  | Gavin Ewing                   | 40.09   | 29.01  | 1.382 |
| 955  | Charles Pool                  | 25.43   | 18.40  | 1.381 |
| 956  | Sanjeewa Weerasinghe          | 31.44   | 22.75  | 1.381 |
| 957  | Mahesh Rawat                  | 37.84   | 27.39  | 1.381 |
| 958  | Marcus Trescothick            | 41.05   | 29.71  | 1.381 |
| 959  | Yuvraj Singh                  | 44.16   | 31.97  | 1.381 |
| 960  | Sadagoppan Ramesh             | 43.50   | 31.50  | 1.381 |
| 961  | Matthew Maynard               | 42.53   | 30.80  | 1.380 |
| 962  | Rob Bailey                    | 40.52   | 29.35  | 1.380 |
| 963  | Graeme Wood                   | 39.97   | 28.96  | 1.380 |
| 964  | Tamim Iqbal                   | 44.25   | 32.06  | 1.380 |
| 965  | Arthur Jones                  | 31.54   | 22.85  | 1.380 |
| 966  | Bhavik Thaker                 | 37.72   | 27.33  | 1.379 |
| 967  | Ernie Hayes                   | 32.21   | 23.34  | 1.379 |
| 968  | Kamran Akmal                  | 38.26   | 27.73  | 1.379 |
| 969  | Travis Head                   | 40.21   | 29.14  | 1.379 |
| 970  | Jack MacBryan                 | 29.49   | 21.37  | 1.379 |
| 971  | Farhad Hossain                | 37.28   | 27.02  | 1.379 |
| 972  | Clive Radley                  | 35.44   | 25.71  | 1.378 |
| 973  | Kenia Jayantilal              | 36.33   | 26.36  | 1.378 |
| 974  | Andre Peters                  | 25.56   | 18.55  | 1.377 |
| 975  | Mike Harris                   | 36.70   | 26.65  | 1.377 |
| 976  | Daljit Singh                  | 32.76   | 23.78  | 1.377 |
| 977  | Surya Yadav                   | 43.47   | 31.56  | 1.377 |
| 978  | Dharaka Ravi Teja             | 41.06   | 29.81  | 1.377 |
| 979  | Wriddhiman Saha               | 41.98   | 30.48  | 1.376 |
| 980  | Percy McDonnell               | 23.54   | 17.10  | 1.376 |
| 981  | Pierre de Bruyn               | 37.09   | 26.94  | 1.376 |
| 982  | Javed Burki                   | 36.37   | 26.42  | 1.376 |
| 983  | Brendan Nash                  | 38.95   | 28.30  | 1.376 |
| 984  | Kevin McKenzie                | 36.51   | 26.53  | 1.376 |
| 985  | Saeed Ahmed                   | 40.02   | 29.08  | 1.376 |
| 986  | Bill Alley                    | 31.88   | 23.17  | 1.376 |
| 987  | Rakesh Parikh                 | 45.37   | 32.98  | 1.375 |
| 988  | Ted Lester                    | 34.20   | 24.87  | 1.375 |
| 989  | Ben Smith                     | 39.86   | 28.99  | 1.374 |
| 990  | Ashraf Ali                    | 35.46   | 25.79  | 1.374 |
| 991  | Ally Brown                    | 42.67   | 31.04  | 1.374 |
| 992  | Kavaljit Singh                | 36.29   | 26.40  | 1.374 |
| 993  | Daniel Hughes                 | 37.48   | 27.28  | 1.374 |
| 994  | Aamer Malik                   | 39.64   | 28.85  | 1.373 |
| 995  | Kashif Naved                  | 33.47   | 24.36  | 1.373 |
| 996  | James Hildreth                | 41.00   | 29.85  | 1.373 |
| 997  | Tony Lewis                    | 32.42   | 23.61  | 1.372 |
| 998  | Kasun Bodhisha                | 32.47   | 23.65  | 1.372 |
| 999  | Arno Jacobs                   | 38.08   | 27.74  | 1.372 |
| 1000 | Shan Masood                   | 38.03   | 27.71  | 1.372 |
| 1001 | Joey Carew                    | 38.47   | 28.04  | 1.372 |
| 1002 | Ross Taylor                   | 41.78   | 30.45  | 1.371 |
| 1003 | Sam Robson                    | 38.05   | 27.74  | 1.371 |
| 1004 | Joseph Guy                    | 13.41   | 9.78   | 1.371 |
| 1005 | Tom Latham                    | 43.60   | 31.79  | 1.371 |
| 1006 | Afsar Nawaz                   | 37.44   | 27.30  | 1.371 |
| 1007 | Wayne Madsen                  | 39.35   | 28.70  | 1.371 |
| 1008 | Dirk Wellham                  | 42.25   | 30.81  | 1.371 |
| 1009 | Bob Wilson                    | 32.09   | 23.40  | 1.370 |
| 1010 | Mujahid Jamshed               | 32.20   | 23.49  | 1.370 |
| 1011 | John Waite                    | 35.11   | 25.61  | 1.370 |
| 1012 | Scotch Taylor                 | 31.59   | 23.04  | 1.370 |
| 1013 | Nic Maddinson                 | 40.06   | 29.23  | 1.370 |
| 1014 | Swapnil Asnodkar              | 39.74   | 29.00  | 1.370 |
| 1015 | Suresh Raina                  | 42.15   | 30.76  | 1.370 |
| 1016 | Hammad Azam                   | 35.63   | 26.01  | 1.369 |
| 1017 | Bryan Davis                   | 34.81   | 25.41  | 1.369 |
| 1018 | Denis Lindsay                 | 35.54   | 25.98  | 1.367 |
| 1019 | Rahul Dewan                   | 37.76   | 27.61  | 1.367 |
| 1020 | Theunis de Bruyn              | 42.06   | 30.76  | 1.367 |
| 1021 | Chaminda Liyanage             | 28.60   | 20.91  | 1.367 |
| 1022 | James Whitaker                | 38.56   | 28.20  | 1.367 |
| 1023 | Edward Lyttelton              | 22.36   | 16.35  | 1.367 |
| 1024 | Martin Young                  | 30.69   | 22.46  | 1.366 |
| 1025 | Mandy Yachad                  | 34.78   | 25.45  | 1.366 |
| 1026 | Richard Levi                  | 36.21   | 26.50  | 1.366 |
| 1027 | John Holt                     | 41.33   | 30.25  | 1.366 |
| 1028 | Michael Slater                | 40.85   | 29.90  | 1.365 |
| 1029 | Zohaib Khan                   | 36.45   | 26.69  | 1.365 |
| 1030 | Cecil Wood                    | 31.05   | 22.74  | 1.365 |
| 1031 | Kedar Chavan                  | 43.83   | 32.10  | 1.365 |
| 1032 | Wilfred Rhodes                | 30.81   | 22.57  | 1.364 |
| 1033 | Tommy Andrews                 | 39.48   | 28.93  | 1.364 |
| 1034 | Charlie Townsend              | 30.29   | 22.19  | 1.364 |
| 1035 | Damien Nadarajah              | 31.22   | 22.88  | 1.364 |
| 1036 | Philip Sharpe                 | 30.73   | 22.53  | 1.364 |
| 1037 | Graham Atkinson               | 31.13   | 22.82  | 1.364 |
| 1038 | Mohammad Kaif                 | 38.60   | 28.30  | 1.363 |
| 1039 | Greg Ritchie                  | 44.21   | 32.43  | 1.363 |
| 1040 | Pradeep Hewage                | 33.64   | 24.69  | 1.362 |
| 1041 | Santosh Jedhe                 | 50.02   | 36.70  | 1.362 |
| 1042 | Robert Christiani             | 40.50   | 29.72  | 1.362 |
| 1043 | Stephen Cook                  | 39.57   | 29.05  | 1.362 |
| 1044 | Nick Browne                   | 37.31   | 27.40  | 1.361 |
| 1045 | Dick Barlow                   | 20.61   | 15.14  | 1.361 |
| 1046 | Afaq Raheem                   | 35.35   | 25.97  | 1.361 |
| 1047 | Yaseen Vallie                 | 37.41   | 27.48  | 1.361 |
| 1048 | Sadiq Mohammad                | 37.51   | 27.56  | 1.360 |
| 1049 | Sheldon Gomes                 | 32.65   | 23.99  | 1.360 |
| 1050 | Mike Atherton                 | 40.83   | 30.01  | 1.360 |
| 1051 | Sikandar Raza                 | 37.29   | 27.40  | 1.360 |
| 1052 | Shai Hope                     | 34.52   | 25.37  | 1.360 |
| 1053 | Ivo Bligh                     | 20.70   | 15.21  | 1.360 |
| 1054 | Eddie Cooper                  | 31.98   | 23.50  | 1.360 |
| 1055 | Yasir Hameed                  | 34.85   | 25.62  | 1.360 |
| 1056 | Alan Jones                    | 32.89   | 24.17  | 1.360 |
| 1057 | Sam Hain                      | 38.13   | 28.04  | 1.359 |
| 1058 | Rory Burns                    | 41.06   | 30.20  | 1.359 |
| 1059 | Ruwan Kalpage                 | 34.16   | 25.14  | 1.358 |
| 1060 | Roger Prideaux                | 34.29   | 25.23  | 1.358 |
| 1061 | Ravikumar Samarth             | 39.10   | 28.78  | 1.358 |
| 1062 | Jack Potter                   | 41.22   | 30.33  | 1.358 |
| 1063 | Khalid Qayyum                 | 40.57   | 29.87  | 1.358 |
| 1064 | Ian Dev Singh                 | 37.13   | 27.33  | 1.358 |
| 1065 | Sheharyar Ghani               | 34.02   | 25.04  | 1.358 |
| 1066 | Alec Stewart                  | 40.06   | 29.50  | 1.358 |
| 1067 | Johnny Arnold                 | 32.82   | 24.17  | 1.357 |
| 1068 | Herschelle Gibbs              | 42.21   | 31.09  | 1.357 |
| 1069 | Peter Bowler                  | 40.51   | 29.84  | 1.357 |
| 1070 | Tom Clark                     | 29.38   | 21.65  | 1.357 |
| 1071 | Errol Stewart                 | 36.78   | 27.11  | 1.356 |
| 1072 | Madawa Warnapura              | 37.30   | 27.50  | 1.356 |
| 1073 | Barry Shepherd                | 41.16   | 30.34  | 1.356 |
| 1074 | Usman Tariq                   | 35.61   | 26.25  | 1.356 |
| 1075 | Bob Haywood                   | 28.77   | 21.21  | 1.356 |
| 1076 | Ijaz Butt                     | 34.30   | 25.29  | 1.356 |
| 1077 | Cyril Walters                 | 30.74   | 22.66  | 1.356 |
| 1078 | Shahid Javed                  | 32.18   | 23.73  | 1.356 |
| 1079 | Manoj Mendis                  | 32.81   | 24.19  | 1.356 |
| 1080 | Asif Iqbal                    | 37.26   | 27.48  | 1.355 |
| 1081 | Vaughn van Jaarsveld          | 40.58   | 29.93  | 1.355 |
| 1082 | Rameez Raja                   | 36.59   | 26.99  | 1.355 |
| 1083 | Ramnath Parkar                | 33.75   | 24.89  | 1.355 |
| 1084 | Grahame Bilby                 | 32.62   | 24.06  | 1.355 |
| 1085 | Vic Wilson                    | 31.33   | 23.11  | 1.355 |
| 1086 | Colin Pinch                   | 39.67   | 29.27  | 1.355 |
| 1087 | Peter Richardson              | 34.60   | 25.53  | 1.355 |
| 1088 | James Langridge               | 35.16   | 25.95  | 1.354 |
| 1089 | Andrew Strauss                | 42.72   | 31.53  | 1.354 |
| 1090 | Louis Tancred                 | 27.51   | 20.31  | 1.354 |
| 1091 | Talat Ali                     | 38.40   | 28.35  | 1.354 |
| 1092 | Edward Craig                  | 36.08   | 26.64  | 1.354 |
| 1093 | Lasith Abeyratne              | 36.80   | 27.18  | 1.353 |
| 1094 | Robin Uthappa                 | 40.71   | 30.08  | 1.353 |
| 1095 | Farhan Adil                   | 35.74   | 26.41  | 1.353 |
| 1096 | Arthur Richardson             | 41.57   | 30.72  | 1.352 |
| 1097 | Umair Khan                    | 34.34   | 25.39  | 1.352 |
| 1098 | Sudip Chatterjee              | 37.98   | 28.08  | 1.352 |
| 1099 | Shiv Sunder Das               | 38.68   | 28.60  | 1.352 |
| 1100 | Roger Iddison                 | 18.76   | 13.88  | 1.351 |
| 1101 | Bernard Constable             | 30.45   | 22.53  | 1.351 |
| 1102 | Akshath Reddy                 | 43.15   | 31.93  | 1.351 |
| 1103 | Bruce Blair                   | 32.58   | 24.12  | 1.350 |
| 1104 | Shaylen Pillay                | 35.73   | 26.45  | 1.350 |
| 1105 | Aqeel Anjum                   | 38.89   | 28.80  | 1.350 |
| 1106 | Leon Garrick                  | 32.17   | 23.83  | 1.350 |
| 1107 | Ameer Akbar                   | 35.43   | 26.24  | 1.349 |
| 1108 | Haroon Rasheed                | 36.23   | 26.84  | 1.349 |
| 1109 | Shitanshu Kotak               | 41.76   | 30.94  | 1.349 |
| 1110 | Roger Harris                  | 30.90   | 22.90  | 1.349 |
| 1111 | Sandeep Patil                 | 43.38   | 32.16  | 1.348 |
| 1112 | Mick Commaille                | 32.21   | 23.88  | 1.348 |
| 1113 | Joe Hardstaff                 | 31.34   | 23.24  | 1.348 |
| 1114 | Brian Bath                    | 35.62   | 26.42  | 1.348 |
| 1115 | Tom Killick                   | 40.35   | 29.93  | 1.347 |
| 1116 | Reetinder Sodhi               | 38.53   | 28.59  | 1.347 |
| 1117 | Tariq Alam                    | 34.26   | 25.42  | 1.347 |
| 1118 | Usman Saeed                   | 32.02   | 23.76  | 1.347 |
| 1119 | Rod Latham                    | 37.04   | 27.49  | 1.347 |
| 1120 | Robert Key                    | 40.45   | 30.02  | 1.347 |
| 1121 | Victor Eddy                   | 35.64   | 26.47  | 1.346 |
| 1122 | Upul Tharanga                 | 38.85   | 28.87  | 1.345 |
| 1123 | Mushtaq Ali                   | 35.90   | 26.68  | 1.345 |
| 1124 | Ravi Shastri                  | 44.00   | 32.70  | 1.345 |
| 1125 | Andrew Hudson                 | 36.62   | 27.22  | 1.345 |
| 1126 | Khurram Manzoor               | 37.86   | 28.14  | 1.345 |
| 1127 | Imran Butt                    | 35.58   | 26.46  | 1.344 |
| 1128 | Shane Watson                  | 42.57   | 31.66  | 1.344 |
| 1129 | Charles Palmer                | 31.74   | 23.60  | 1.344 |
| 1130 | Michael Carberry              | 41.02   | 30.51  | 1.344 |
| 1131 | Ian Craig                     | 37.96   | 28.24  | 1.344 |
| 1132 | Boeta Dippenaar               | 40.14   | 29.86  | 1.344 |
| 1133 | Rizwan Ahmed                  | 35.96   | 26.75  | 1.343 |
| 1134 | Roy Kilner                    | 30.01   | 22.33  | 1.343 |
| 1135 | Shane Dowrich                 | 33.43   | 24.88  | 1.343 |
| 1136 | Harry Pilling                 | 32.23   | 23.98  | 1.343 |
| 1137 | Tom Horan                     | 23.27   | 17.32  | 1.343 |
| 1138 | Francis Fenner                | 12.79   | 9.52   | 1.343 |
| 1139 | Naved Latif                   | 34.22   | 25.47  | 1.343 |
| 1140 | Gihan Perera                  | 30.81   | 22.94  | 1.343 |
| 1141 | Ossie Dawson                  | 34.58   | 25.74  | 1.343 |
| 1142 | James Douglas                 | 28.97   | 21.57  | 1.342 |
| 1143 | Maurice Foster                | 28.70   | 21.37  | 1.342 |
| 1144 | Ijaz Ahmed                    | 38.47   | 28.66  | 1.342 |
| 1145 | Kingsmill Key                 | 26.22   | 19.53  | 1.342 |
| 1146 | Leo O'Brien                   | 36.70   | 27.34  | 1.342 |
| 1147 | Dawid Malan                   | 38.47   | 28.67  | 1.342 |
| 1148 | Ibrahim Ansari                | 30.56   | 22.77  | 1.341 |
| 1149 | Jitender Singh                | 36.61   | 27.29  | 1.341 |
| 1150 | Ashok Menaria                 | 39.01   | 29.08  | 1.341 |
| 1151 | Ronnie Irani                  | 41.58   | 30.99  | 1.341 |
| 1152 | Billy Murdoch                 | 26.86   | 20.02  | 1.341 |
| 1153 | Mohammad Nawaz                | 37.11   | 27.66  | 1.341 |
| 1154 | Mark Benson                   | 40.23   | 30.00  | 1.341 |
| 1155 | Jimmy Gray                    | 30.73   | 22.91  | 1.340 |
| 1156 | Daryl Mitchell                | 38.34   | 28.59  | 1.340 |
| 1157 | Ron Headley                   | 31.12   | 23.22  | 1.340 |
| 1158 | Punit Bisht                   | 38.44   | 28.68  | 1.340 |
| 1159 | Sanath Jayasuriya             | 38.39   | 28.64  | 1.340 |
| 1160 | Manoj Sarathchandra           | 39.47   | 29.46  | 1.339 |
| 1161 | Nawab of Pataudi              | 33.67   | 25.15  | 1.339 |
| 1162 | Dominic Thornely              | 42.69   | 31.88  | 1.339 |
| 1163 | Milind Gunjal                 | 47.19   | 35.24  | 1.338 |
| 1164 | Lockhart Sebastien            | 32.89   | 24.57  | 1.338 |
| 1165 | Peter Fulton                  | 39.88   | 29.79  | 1.338 |
| 1166 | Charlie Barnett               | 32.71   | 24.44  | 1.338 |
| 1167 | Sam Northeast                 | 38.53   | 28.79  | 1.338 |
| 1168 | Matthew Kleinveldt            | 35.80   | 26.76  | 1.338 |
| 1169 | Rameez Aziz                   | 33.26   | 24.86  | 1.337 |
| 1170 | Amit Pathak                   | 36.23   | 27.08  | 1.337 |
| 1171 | Asela Jayasinghe              | 30.49   | 22.79  | 1.337 |
| 1172 | Dhananjaya de Silva           | 38.49   | 28.77  | 1.337 |
| 1173 | Aubrey Swanepoel              | 35.07   | 26.22  | 1.337 |
| 1174 | Owais Shah                    | 41.94   | 31.35  | 1.337 |
| 1175 | Lance Klusener                | 42.69   | 31.92  | 1.337 |
| 1176 | Jim Christy                   | 37.07   | 27.72  | 1.337 |
| 1177 | Kedar Devdhar                 | 38.57   | 28.84  | 1.337 |
| 1178 | George Anderson               | 16.35   | 12.23  | 1.336 |
| 1179 | Mike Denness                  | 33.48   | 25.05  | 1.336 |
| 1180 | Imran Nazir                   | 33.21   | 24.86  | 1.335 |
| 1181 | Adam Bacher                   | 38.33   | 28.70  | 1.335 |
| 1182 | Ramesh Mendis                 | 39.15   | 29.33  | 1.334 |
| 1183 | Chris Gaffaney                | 33.41   | 25.03  | 1.334 |
| 1184 | Martin Kent                   | 36.03   | 26.99  | 1.334 |
| 1185 | Kurtis Patterson              | 37.78   | 28.31  | 1.334 |
| 1186 | Lahiru Thirimanne             | 40.70   | 30.49  | 1.334 |
| 1187 | Sohail Jaffar                 | 35.00   | 26.23  | 1.334 |
| 1188 | Will Young                    | 42.17   | 31.61  | 1.334 |
| 1189 | Bert Wolton                   | 31.00   | 23.24  | 1.333 |
| 1190 | Chris Tavar?                  | 38.79   | 29.08  | 1.333 |
| 1191 | Thelston Payne                | 36.85   | 27.63  | 1.333 |
| 1192 | Nick Compton                  | 40.42   | 30.31  | 1.333 |
| 1193 | Barry Hadlee                  | 31.51   | 23.64  | 1.332 |
| 1194 | Teddy Hoad                    | 38.91   | 29.19  | 1.332 |
| 1195 | Neil Taylor                   | 39.56   | 29.69  | 1.332 |
| 1196 | Upul Fernando                 | 30.47   | 22.87  | 1.332 |
| 1197 | Robbie Muzzell                | 34.93   | 26.21  | 1.332 |
| 1198 | Tim Curtis                    | 40.68   | 30.54  | 1.332 |
| 1199 | Roston Chase                  | 34.30   | 25.75  | 1.331 |
| 1200 | Matthew Wade                  | 40.96   | 30.76  | 1.331 |
| 1201 | Faiek Davids                  | 30.54   | 22.93  | 1.331 |
| 1202 | Arthur Chipperfield           | 38.34   | 28.80  | 1.331 |
| 1203 | Zakir Hasan                   | 39.90   | 29.97  | 1.331 |
| 1204 | Bunny Lucas                   | 26.38   | 19.82  | 1.331 |
| 1205 | Jonathan Carter               | 31.39   | 23.59  | 1.330 |
| 1206 | Alfred Mynn                   | 13.42   | 10.09  | 1.330 |
| 1207 | Venkat Sundaram               | 32.12   | 24.14  | 1.330 |
| 1208 | Stork Hendry                  | 37.56   | 28.23  | 1.330 |
| 1209 | Chinthaka Jayasinghe          | 31.73   | 23.85  | 1.330 |
| 1210 | Patamada Belliappa            | 29.42   | 22.11  | 1.330 |
| 1211 | Regis Chakabva                | 35.58   | 26.75  | 1.330 |
| 1212 | Sarmad Bhatti                 | 34.81   | 26.18  | 1.329 |
| 1213 | Steve James                   | 40.63   | 30.56  | 1.329 |
| 1214 | Chris Dent                    | 37.89   | 28.50  | 1.329 |
| 1215 | Shoaib Malik                  | 37.26   | 28.03  | 1.329 |
| 1216 | Waldo Lategan                 | 33.75   | 25.39  | 1.329 |
| 1217 | Gerald Innes                  | 33.62   | 25.29  | 1.329 |
| 1218 | George Chatterton             | 13.65   | 10.27  | 1.328 |
| 1219 | Allan Watkins                 | 30.57   | 23.00  | 1.328 |
| 1220 | Kevin Curran                  | 36.86   | 27.75  | 1.328 |
| 1221 | Jacques Rudolph               | 41.56   | 31.29  | 1.328 |
| 1222 | Khurram Shehzad               | 32.35   | 24.36  | 1.327 |
| 1223 | Richard Jones                 | 35.73   | 26.92  | 1.327 |
| 1224 | John Carr                     | 38.91   | 29.32  | 1.327 |
| 1225 | Tom Pearce                    | 34.26   | 25.82  | 1.326 |
| 1226 | Bevan Congdon                 | 34.84   | 26.25  | 1.326 |
| 1227 | Shashikant Khandkar           | 40.38   | 30.43  | 1.326 |
| 1228 | Jim Allen                     | 34.07   | 25.69  | 1.326 |
| 1229 | Harry Brook                   | 35.85   | 27.03  | 1.326 |
| 1230 | Jaswant Bakrania              | 32.34   | 24.38  | 1.326 |
| 1231 | Lahiru Udara                  | 38.01   | 28.66  | 1.326 |
| 1232 | Umar Siddiq                   | 37.51   | 28.28  | 1.325 |
| 1233 | Sami Aslam                    | 37.95   | 28.62  | 1.325 |
| 1234 | Nasir Jamshed                 | 37.10   | 27.98  | 1.325 |
| 1235 | Mark Butcher                  | 40.70   | 30.70  | 1.325 |
| 1236 | Alan Fordham                  | 40.06   | 30.22  | 1.325 |
| 1237 | Mohammad Saad                 | 33.84   | 25.55  | 1.324 |
| 1238 | Peter Toohey                  | 37.98   | 28.68  | 1.324 |
| 1239 | Kirti Azad                    | 39.48   | 29.82  | 1.323 |
| 1240 | Alan Wells                    | 38.57   | 29.14  | 1.323 |
| 1241 | Craig Cumming                 | 38.25   | 28.90  | 1.323 |
| 1242 | Graeme Hole                   | 36.66   | 27.70  | 1.323 |
| 1243 | Henry Charlwood               | 21.19   | 16.02  | 1.323 |
| 1244 | Harry Walker                  | 14.70   | 11.11  | 1.323 |
| 1245 | Duleep Mendis                 | 35.82   | 27.07  | 1.323 |
| 1246 | Andre Malan                   | 38.37   | 29.00  | 1.323 |
| 1247 | Dominic Sibley                | 38.54   | 29.13  | 1.322 |
| 1248 | Dammika Ranatunga             | 35.23   | 26.63  | 1.322 |
| 1249 | Amay Khurasiya                | 40.80   | 30.84  | 1.322 |
| 1250 | George Bailey                 | 38.32   | 28.97  | 1.322 |
| 1251 | Ravneet Ricky                 | 37.33   | 28.22  | 1.322 |
| 1252 | Dawnley Joseph                | 30.89   | 23.36  | 1.322 |
| 1253 | Alfred Hartley                | 27.74   | 20.98  | 1.321 |
| 1254 | Hasan Adnan                   | 37.11   | 28.08  | 1.321 |
| 1255 | Colin Milburn                 | 33.07   | 25.02  | 1.321 |
| 1256 | Arun Karthik                  | 36.39   | 27.54  | 1.321 |
| 1257 | Andre Bruyns                  | 33.44   | 25.31  | 1.321 |
| 1258 | Abdul Rehman Muzammil         | 31.27   | 23.67  | 1.321 |
| 1259 | Murali Vijay                  | 41.84   | 31.68  | 1.320 |
| 1260 | Madhukar Gupte                | 36.83   | 27.90  | 1.320 |
| 1261 | Jack Gregory                  | 36.50   | 27.66  | 1.319 |
| 1262 | Madhav Apte                   | 38.79   | 29.39  | 1.319 |
| 1263 | Rishan Kavinga                | 29.32   | 22.21  | 1.319 |
| 1264 | Sandun Weerakkody             | 36.36   | 27.55  | 1.319 |
| 1265 | Ricardo Vasconcelos           | 36.22   | 27.45  | 1.319 |
| 1266 | Darrin Murray                 | 34.60   | 26.23  | 1.319 |
| 1267 | Sam Loxton                    | 36.97   | 28.03  | 1.319 |
| 1268 | George Emmett                 | 31.41   | 23.82  | 1.318 |
| 1269 | Naumanullah                   | 35.32   | 26.79  | 1.318 |
| 1270 | Joe Burns                     | 38.37   | 29.11  | 1.318 |
| 1271 | Chris Adams                   | 38.68   | 29.35  | 1.317 |
| 1272 | Shaun Marsh                   | 41.43   | 31.43  | 1.317 |
| 1273 | Henry Nicholls                | 39.67   | 30.10  | 1.317 |
| 1274 | Mohammad Shahid               | 31.24   | 23.70  | 1.317 |
| 1275 | Ayaz Tasawwar                 | 33.72   | 25.59  | 1.317 |
| 1276 | Jason Arnberger               | 39.79   | 30.21  | 1.317 |
| 1277 | Charlie McGahey               | 30.20   | 22.93  | 1.317 |
| 1278 | Waqar Hasan                   | 35.64   | 27.06  | 1.317 |
| 1279 | Ross Edwards                  | 39.27   | 29.82  | 1.317 |
