+-----------------------------+-----------------------------+-------+
| Batter                      | Fielder                     | Count |
| Jos Buttler                 | Daren Sammy                 | 2     |
| Shane Watson                | Kyle Abbott                 | 2     |
| Glenn Maxwell               | Faf du Plessis              | 2     |
| Shane Watson                | Faf du Plessis              | 2     |
| Mohammad Shahzad            | Mahmudullah                 | 2     |
| Subash Khakurel             | Aizaz Khan                  | 2     |
| Binod Bhandari              | Waqas Barkat                | 2     |
| Tanvir Afzal                | Gulbadeen Naib              | 2     |
| Asghar Stanikzai            | Babar Hayat                 | 2     |
| Glenn Maxwell               | Ahmed Shehzad               | 2     |
| Andre Russell               | Virat Kohli                 | 2     |
| Jos Buttler                 | Dinesh Chandimal            | 2     |
| Alex Hales                  | David Miller                | 2     |
| Aaron Finch                 | Virat Kohli                 | 2     |
| Dinesh Chandimal            | Alex Hales                  | 2     |
| Shane Watson                | Jean-Paul Duminy            | 2     |
| Jean-Paul Duminy            | Aaron Finch                 | 2     |
| Luke Ronchi                 | Ahmed Shehzad               | 2     |
| Dwayne Bravo                | Reeza Hendricks             | 2     |
| Andre Russell               | David Miller                | 2     |
| Kevin O'Brien               | Michael Leask               | 2     |
| Nasir Hossain               | Rilee Rossouw               | 2     |
| Shaiman Anwar               | Dawlat Zadran               | 2     |
| Tanvir Afzal                | Robert Taylor               | 2     |
| Colin Munro                 | AB de Villiers              | 2     |
| Jos Buttler                 | Patrick Cummins             | 2     |
| Mushfiqur Rahim             | Sikandar Raza               | 2     |
| Tanvir Afzal                | Ajay Lalcheta               | 2     |
| Jatinder Singh              | Babar Hayat                 | 2     |
| Sam Billings                | Umar Akmal                  | 2     |
| Shoaib Malik                | Sam Billings                | 2     |
| Karim Sadiq                 | Jatinder Singh              | 2     |
| Jatinder Singh              | Karim Sadiq                 | 2     |
| Tissara Perera              | Martin Guptill              | 2     |
| Mohammad Hafeez             | Todd Astle                  | 2     |
| Richmond Mutumbami          | Soumya Sarkar               | 2     |
| Malcolm Waller              | Soumya Sarkar               | 2     |
| David Warner                | Virat Kohli                 | 2     |
| Matthew Cross               | Nizakat Khan                | 2     |
| Vani Morea                  | George Dockrell             | 2     |
| Paul Stirling               | Mahuru Dai                  | 2     |
| Gary Wilson                 | Asad Vala                   | 2     |
| Stuart Poynter              | Lega Siaka                  | 2     |
| Rohit Sharma                | Dushmantha Chameera         | 2     |
| Shikhar Dhawan              | Dhanushka Gunathilleke      | 2     |
| Dasun Shanaka               | Suresh Raina                | 2     |
| Chamara Kapugedera          | Hardik Pandya               | 2     |
| Chris Jordan                | David Miller                | 2     |
| AB de Villiers              | Alex Hales                  | 2     |
| Joe Root                    | David Miller                | 2     |
| Babar Hayat                 | Samiullah Shenwari          | 2     |
| Rohit Sharma                | Soumya Sarkar               | 2     |
| Umar Akmal                  | Shakib Al Hasan             | 2     |
| Aaron Finch                 | Kagiso Rabada               | 2     |
| Mitchell Marsh              | David Miller                | 2     |
| Faf du Plessis              | Glenn Maxwell               | 2     |
| William Porterfield         | Ben Cooper                  | 2     |
| Paul Stirling               | Roelof van der Merwe        | 2     |
| Colin Munro                 | Hardik Pandya               | 2     |
| AB de Villiers              | Eoin Morgan                 | 2     |
| Corey Anderson              | Shoaib Malik                | 2     |
| Aaron Finch                 | Shikhar Dhawan              | 2     |
| Ross Taylor                 | Eoin Morgan                 | 2     |
| Ajinkya Rahane              | Dwayne Bravo                | 2     |
| Eoin Morgan                 | Chris Gayle                 | 2     |
| Mahendra Dhoni              | Marlon Samuels              | 2     |
| Shoaib Malik                | Kieron Pollard              | 2     |
| Nicolas Pooran              | Mohammad Nawaz              | 2     |
| Max O'Dowd                  | Calum MacLeod               | 2     |
| Zeeshan Maqsood             | Calum MacLeod               | 2     |
| George Dockrell             | Samiullah Shenwari          | 2     |
| Upul Tharanga               | Jhye Richardson             | 2     |
| Stuart Thompson             | Najibullah Zadaran          | 2     |
| Mohammad Nabi               | George Dockrell             | 2     |
| Asghar Stanikzai            | Stuart Thompson             | 2     |
| Kevin O'Brien               | Mohammad Nabi               | 2     |
| Babar Azam                  | David Miller                | 2     |
| David Miller                | Babar Azam                  | 2     |
| Mahela Udawatte             | Babar Azam                  | 2     |
| Fahim Ashraf                | Dhanushka Gunathilleke      | 2     |
| Martin Guptill              | Hardik Pandya               | 2     |
| Virat Kohli                 | Trent Boult                 | 2     |
| Colin Munro                 | Rohit Sharma                | 2     |
