+--------+-------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                               | Match                                                                   | StartDate  |
| P      | 7     | [Parab, Pathan, Pathan, Panchal, Patel, Pawar, Patel]                                               | Baroda v Mumbai                                                         | 2007-04-03 |
| O      | 7     | [Ouma, Obuya, Obuya, Odoyo, Odhiambo, Obanda, Ongondo]                                              | Kenya v New Zealand                                                     | 2007-09-12 |
| S      | 7     | [Sehwag, Singh, Sharma, Singh, Sharma, Sreesanth, Singh]                                            | India v England                                                         | 2007-09-19 |
| S      | 7     | [Sehwag, Singh, Sharma, Singh, Sharma, Sreesanth, Singh]                                            | India v Australia                                                       | 2007-09-22 |
| M      | 7     | [Mawoyo, Matsikenyeri, Masakadza, Mutizwa, Marumisa, Maruma, Mujaji]                                | Easterns v Centrals                                                     | 2008-03-19 |
| M      | 7     | [Matsikenyeri, Mawoyo, Marumisa, Maruma, Mutizwa, Musoso, M'shangwe]                                | Easterns v Westerns                                                     | 2009-05-13 |
| O      | 7     | [Obuya, Obanda, Obuya, Ouma, Onyango, Otieno, Odhiambo]                                             | Kenya v Uganda                                                          | 2010-02-02 |
| O      | 7     | [Obuya, Obanda, Ouma, Obuya, Odhiambo, Onyango, Odhiambo]                                           | Kenya v United Arab Emirates                                            | 2010-02-09 |
| A      | 7     | [Akmal, Akmal, Afridi, Alam, Aamer, Ajmal, Asif]                                                    | Pakistan v England                                                      | 2010-05-06 |
| A      | 7     | [Anjum, Athar, Ahmed, Ali, Ali, Awais, Ali]                                                         | Hyderabad Hawks v Karachi Dolphins                                      | 2010-10-11 |
| S      | 7     | [Singh, Singh, Sharma, Singh, Singh, Singh, Sran]                                                   | Punjab v Services                                                       | 2011-10-24 |
| S      | 7     | [Singh, Sharma, Singh, Singh, Singh, Sharma, Singh]                                                 | Punjab v Assam                                                          | 2012-03-23 |
| S      | 7     | [Singh, Singh, Sharma, Singh, Singh, Singh, Sharma]                                                 | Punjab v Madhya Pradesh                                                 | 2012-03-25 |
| S      | 7     | [Singh, Singh, Sharma, Singh, Singh, Singh, Sharma]                                                 | Punjab v Mumbai                                                         | 2012-03-26 |
| S      | 7     | [Singh, Singh, Sharma, Singh, Singh, Sharma, Singh]                                                 | Punjab v Baroda                                                         | 2012-03-27 |
| A      | 7     | [Ali, Aslam, Azam, Ali, Ashraf, Akmal, Aslam]                                                       | Lahore Eagles v Rawalpindi Rams                                         | 2012-12-06 |
| S      | 7     | [Srikar Bharat, Sai, Sumanth, Sahabuddin, Sivakumar, Swaroop Kumar, Sudhakar]                       | Andhra v Tamil Nadu                                                     | 2013-03-17 |
| S      | 7     | [Singh, Singh, Sidana, Singh, Sharma, Singh, Sharma]                                                | Punjab v Delhi                                                          | 2013-03-18 |
| S      | 7     | [Srikar Bharat, Sai, Sai Krishna, Sumanth, Sahabuddin, Swaroop Kumar, Sudhakar]                     | Andhra v Karnataka                                                      | 2013-03-22 |
| S      | 7     | [Singh, Singh, Singh, Sharma, Sidana, Singh, Singh]                                                 | Punjab v Baroda                                                         | 2013-03-27 |
| S      | 7     | [Singh, Singh, Sidana, Singh, Singh, Singh, Sharma]                                                 | Punjab v Bengal                                                         | 2013-03-28 |
| A      | 7     | [Ahmed, Ahmed, Ahmed, Ahmed, Abbas, Ali, Anjum]                                                     | Pakistan Television v National Bank of Pakistan                         | 2013-11-27 |
| A      | 7     | [Ahmed, Ahmed, Ahmed, Ahmed, Anjum, Abbas, Ali]                                                     | Pakistan Television v State Bank of Pakistan                            | 2013-11-28 |
| A      | 7     | [Abbas, Asif, Anwar, Abbas, Ali, Arafat, Ali]                                                       | Khan Research Laboratories v State Bank of Pakistan                     | 2013-11-29 |
| A      | 7     | [Ahmed, Anjum, Ahmed, Ashraf, Ahmed, Akbar, Ahmed]                                                  | Pakistan Television v Pakistan International Airlines                   | 2013-11-29 |
| A      | 7     | [Abbas, Asif, Anwar, Arafat, Abbas, Ali, Ali]                                                       | Khan Research Laboratories v National Bank of Pakistan                  | 2013-11-30 |
| A      | 7     | [Abbas, Anwar, Asif, Abbas, Ali, Ali, Ali]                                                          | Khan Research Laboratories v Pakistan Television                        | 2013-12-01 |
