+--------------------------------------------------------------------+-------+------+------+------+--------+
| Player                                                             | Count | Wins | Loss | Tied | Others |
| [G Kirsten, HH Gibbs, L Klusener, SM Pollock]                      | 26    | 12   | 4    | 0    | 10     |
| [CD McMillan, CL Cairns, DL Vettori, NJ Astle]                     | 26    | 10   | 10   | 0    | 6      |
| [HH Dippenaar, JH Kallis, MV Boucher, SM Pollock]                  | 26    | 11   | 8    | 0    | 7      |
| [DPMD Jayawardene, HP Tillakaratne, KC Sangakkara, MS Atapattu]    | 26    | 11   | 9    | 0    | 6      |
| [A Flintoff, GP Thorpe, ME Trescothick, MP Vaughan]                | 26    | 16   | 3    | 0    | 7      |
| [GC Smith, HH Gibbs, JA Rudolph, MV Boucher]                       | 26    | 11   | 9    | 0    | 6      |
| [G Gambhir, MS Dhoni, RS Dravid, V Sehwag]                         | 26    | 9    | 7    | 0    | 10     |
| [AD Mathews, DPMD Jayawardene, KC Sangakkara, NT Paranavitana]     | 26    | 7    | 7    | 0    | 12     |
| [AD Mathews, DPMD Jayawardene, KC Sangakkara, TT Samaraweera]      | 26    | 7    | 10   | 0    | 9      |
| [AJ Strauss, IJL Trott, IR Bell, KP Pietersen]                     | 26    | 12   | 7    | 0    | 7      |
| [AB de Villiers, AN Petersen, GC Smith, JH Kallis]                 | 26    | 14   | 3    | 0    | 9      |
| [F du Plessis, HM Amla, Q de Kock, T Bavuma]                       | 26    | 14   | 7    | 0    | 5      |
| [C Hill, MA Noble, VT Trumper, WW Armstrong]                       | 25    | 13   | 6    | 0    | 6      |
| [AL Hassett, AR Morris, KR Miller, RN Harvey]                      | 25    | 16   | 3    | 0    | 6      |
| [CC Hunte, GS Sobers, JS Solomon, RB Kanhai]                       | 25    | 13   | 5    | 1    | 6      |
| [Asif Iqbal, Majid Khan, Sadiq Mohammad, Zaheer Abbas]             | 25    | 5    | 6    | 0    | 14     |
| [Asif Iqbal, Majid Khan, Mushtaq Mohammad, Sadiq Mohammad]         | 25    | 5    | 6    | 0    | 14     |
| [APE Knott, AW Greig, KWR Fletcher, MH Denness]                    | 25    | 7    | 7    | 0    | 11     |
| [DB Vengsarkar, GR Viswanath, M Amarnath, SM Gavaskar]             | 25    | 4    | 12   | 0    | 9      |
| [DB Vengsarkar, Kapil Dev, SM Gavaskar, SM Patil]                  | 25    | 4    | 8    | 0    | 13     |
| [CH Lloyd, DL Haynes, HA Gomes, PJL Dujon]                         | 25    | 14   | 2    | 0    | 9      |
| [CH Lloyd, HA Gomes, IVA Richards, PJL Dujon]                      | 25    | 14   | 2    | 0    | 9      |
| [Imran Khan, Javed Miandad, Mudassar Nazar, Saleem Malik]          | 25    | 9    | 3    | 0    | 13     |
| [CL Hooper, IVA Richards, PJL Dujon, RB Richardson]                | 25    | 11   | 6    | 0    | 8      |
| [AL Logie, CL Hooper, IVA Richards, PJL Dujon]                     | 25    | 13   | 4    | 0    | 8      |
| [DC Boon, DM Jones, GR Marsh, MA Taylor]                           | 25    | 13   | 3    | 0    | 9      |
| [AR Border, DC Boon, GR Marsh, MA Taylor]                          | 25    | 13   | 3    | 0    | 9      |
| [AR Border, DM Jones, GR Marsh, MA Taylor]                         | 25    | 13   | 3    | 0    | 9      |
| [Kapil Dev, M Azharuddin, SR Tendulkar, SV Manjrekar]              | 25    | 4    | 7    | 0    | 14     |
| [BM McMillan, DJ Cullinan, G Kirsten, WJ Cronje]                   | 25    | 10   | 7    | 0    | 8      |
| [DJ Cullinan, G Kirsten, JN Rhodes, SM Pollock]                    | 25    | 11   | 4    | 0    | 10     |
| [A Ranatunga, MS Atapattu, PA de Silva, ST Jayasuriya]             | 25    | 7    | 6    | 0    | 12     |
| [AJ Stewart, MA Atherton, MA Butcher, N Hussain]                   | 25    | 8    | 10   | 0    | 7      |
| [G Kirsten, HH Gibbs, JH Kallis, L Klusener]                       | 25    | 11   | 4    | 0    | 10     |
| [HH Gibbs, JH Kallis, L Klusener, SM Pollock]                      | 25    | 11   | 4    | 0    | 10     |
| [JH Kallis, MV Boucher, SM Pollock, WJ Cronje]                     | 25    | 16   | 4    | 0    | 5      |
| [DR Martyn, JL Langer, ML Hayden, SR Waugh]                        | 25    | 17   | 3    | 0    | 5      |
| [CD McMillan, MH Richardson, NJ Astle, SP Fleming]                 | 25    | 8    | 7    | 0    | 10     |
| [AC Gilchrist, ME Waugh, ML Hayden, RT Ponting]                    | 25    | 18   | 4    | 0    | 3      |
| [DPMD Jayawardene, KC Sangakkara, MS Atapattu, TM Dilshan]         | 25    | 9    | 10   | 0    | 6      |
| [HP Tillakaratne, KC Sangakkara, MS Atapattu, ST Jayasuriya]       | 25    | 11   | 8    | 0    | 6      |
| [DPMD Jayawardene, HP Tillakaratne, KC Sangakkara, ST Jayasuriya]  | 25    | 11   | 8    | 0    | 6      |
| [AG Prince, GC Smith, HH Gibbs, JH Kallis]                         | 25    | 15   | 8    | 0    | 2      |
| [AB de Villiers, GC Smith, JA Rudolph, JH Kallis]                  | 25    | 10   | 8    | 0    | 7      |
| [AB de Villiers, GC Smith, HH Gibbs, JH Kallis]                    | 25    | 12   | 8    | 0    | 5      |
| [AB de Villiers, GC Smith, HH Gibbs, MV Boucher]                   | 25    | 12   | 8    | 0    | 5      |
| [AB de Villiers, AG Prince, HH Gibbs, MV Boucher]                  | 25    | 12   | 10   | 0    | 3      |
| [KC Sangakkara, NT Paranavitana, TM Dilshan, TT Samaraweera]       | 25    | 7    | 7    | 0    | 11     |
| [DPMD Jayawardene, NT Paranavitana, TM Dilshan, TT Samaraweera]    | 25    | 7    | 7    | 0    | 11     |
| [AD Mathews, DPMD Jayawardene, TM Dilshan, TT Samaraweera]         | 25    | 6    | 11   | 0    | 8      |
| [AN Petersen, GC Smith, HM Amla, JH Kallis]                        | 25    | 13   | 3    | 0    | 9      |
| [AB de Villiers, AN Petersen, HM Amla, JH Kallis]                  | 25    | 13   | 3    | 0    | 9      |
| [AM Rahane, CA Pujara, M Vijay, RA Jadeja]                         | 25    | 14   | 5    | 0    | 6      |
| [AM Rahane, CA Pujara, S Dhawan, V Kohli]                          | 25    | 10   | 7    | 0    | 8      |
| [C de Grandhomme, HM Nicholls, KS Williamson, TWM Latham]          | 25    | 17   | 4    | 0    | 4      |
| [IM Chappell, IR Redpath, KR Stackpole, WM Lawry]                  | 24    | 7    | 10   | 0    | 7      |
| [Asif Iqbal, Mushtaq Mohammad, Sadiq Mohammad, Zaheer Abbas]       | 24    | 5    | 6    | 0    | 13     |
| [Asif Iqbal, Imran Khan, Majid Khan, Zaheer Abbas]                 | 24    | 7    | 5    | 0    | 12     |
| [APE Knott, AW Greig, DL Amiss, MH Denness]                        | 24    | 7    | 6    | 0    | 11     |
| [AI Kallicharran, BD Julien, CH Lloyd, RC Fredericks]              | 24    | 8    | 6    | 0    | 10     |
| [AI Kallicharran, CH Lloyd, IVA Richards, RC Fredericks]           | 24    | 9    | 9    | 0    | 6      |
| [Imran Khan, Javed Miandad, Mohsin Khan, Mudassar Nazar]           | 24    | 13   | 5    | 0    | 6      |
| [CG Greenidge, CH Lloyd, HA Gomes, PJL Dujon]                      | 24    | 14   | 1    | 0    | 9      |
| [Javed Miandad, Mohsin Khan, Mudassar Nazar, Saleem Malik]         | 24    | 9    | 4    | 0    | 11     |
| [Javed Miandad, Rameez Raja, Saleem Malik, Shoaib Mohammad]        | 24    | 8    | 1    | 0    | 15     |
| [CL Hooper, DL Haynes, IVA Richards, RB Richardson]                | 24    | 10   | 6    | 0    | 8      |
| [AL Logie, CL Hooper, DL Haynes, IVA Richards]                     | 24    | 12   | 4    | 0    | 8      |
| [CG Greenidge, CL Hooper, DL Haynes, PJL Dujon]                    | 24    | 10   | 5    | 0    | 9      |
| [CG Greenidge, CL Hooper, PJL Dujon, RB Richardson]                | 24    | 10   | 5    | 0    | 9      |
| [AL Logie, CG Greenidge, CL Hooper, PJL Dujon]                     | 24    | 11   | 4    | 0    | 9      |
| [Kapil Dev, M Azharuddin, M Prabhakar, SV Manjrekar]               | 24    | 4    | 7    | 0    | 13     |
| [Kapil Dev, M Prabhakar, SR Tendulkar, SV Manjrekar]               | 24    | 4    | 7    | 0    | 13     |
| [DJ Cullinan, JN Rhodes, SM Pollock, WJ Cronje]                    | 24    | 12   | 3    | 0    | 9      |
| [G Kirsten, MV Boucher, SM Pollock, WJ Cronje]                     | 24    | 14   | 4    | 0    | 6      |
| [G Kirsten, HH Gibbs, L Klusener, MV Boucher]                      | 24    | 11   | 4    | 0    | 9      |
| [HH Gibbs, JH Kallis, L Klusener, MV Boucher]                      | 24    | 11   | 4    | 0    | 9      |
| [HH Gibbs, L Klusener, MV Boucher, SM Pollock]                     | 24    | 11   | 4    | 0    | 9      |
| [G Kirsten, JH Kallis, MV Boucher, WJ Cronje]                      | 24    | 14   | 4    | 0    | 6      |
| [JL Langer, ME Waugh, MJ Slater, RT Ponting]                       | 24    | 16   | 4    | 0    | 4      |
| [A Flintoff, MA Butcher, MP Vaughan, N Hussain]                    | 24    | 8    | 7    | 0    | 9      |
| [AC Gilchrist, ME Waugh, ML Hayden, SR Waugh]                      | 24    | 18   | 3    | 0    | 3      |
| [G Kirsten, HH Gibbs, ND McKenzie, SM Pollock]                     | 24    | 10   | 7    | 0    | 7      |
| [DR Martyn, JL Langer, RT Ponting, SR Waugh]                       | 24    | 16   | 3    | 0    | 5      |
| [A Flintoff, MA Butcher, ME Trescothick, MP Vaughan]               | 24    | 11   | 4    | 0    | 9      |
| [IK Pathan, RS Dravid, V Sehwag, VVS Laxman]                       | 24    | 10   | 5    | 0    | 9      |
| [AB de Villiers, HH Gibbs, JH Kallis, MV Boucher]                  | 24    | 11   | 9    | 0    | 4      |
| [IR Bell, KP Pietersen, MJ Prior, PD Collingwood]                  | 24    | 9    | 6    | 0    | 9      |
| [BJ Haddin, MEK Hussey, MJ Clarke, SR Watson]                      | 24    | 11   | 7    | 0    | 6      |
| [AD Mathews, KC Sangakkara, NT Paranavitana, TM Dilshan]           | 24    | 6    | 7    | 0    | 11     |
| [AD Mathews, DPMD Jayawardene, NT Paranavitana, TM Dilshan]        | 24    | 6    | 7    | 0    | 11     |
| [AD Mathews, KC Sangakkara, TM Dilshan, TT Samaraweera]            | 24    | 6    | 10   | 0    | 8      |
| [BA Stokes, JC Buttler, JE Root, JM Bairstow]                      | 24    | 9    | 13   | 0    | 2      |
+--------------------------------------------------------------------+-------+------+------+------+--------+
