+--------------------------------------------------------------------+-------+------+------+------+--------+
| Player                                                             | Count | Wins | Loss | Tied | Others |
| [AC Gilchrist, JL Langer, RT Ponting, SR Waugh]                    | 42    | 32   | 5    | 0    | 5      |
| [SC Ganguly, SR Tendulkar, V Sehwag, VVS Laxman]                   | 42    | 14   | 11   | 0    | 17     |
| [AJ Strauss, IR Bell, KP Pietersen, PD Collingwood]                | 42    | 16   | 14   | 0    | 12     |
| [AJ Strauss, AN Cook, IR Bell, PD Collingwood]                     | 42    | 16   | 14   | 0    | 12     |
| [AJ Strauss, AN Cook, IR Bell, MJ Prior]                           | 42    | 18   | 12   | 0    | 12     |
| [AL Logie, CG Greenidge, IVA Richards, PJL Dujon]                  | 41    | 22   | 3    | 0    | 16     |
| [AL Logie, DL Haynes, PJL Dujon, RB Richardson]                    | 41    | 19   | 7    | 0    | 15     |
| [AR Border, DC Boon, DM Jones, GR Marsh]                           | 41    | 15   | 7    | 1    | 18     |
| [G Gambhir, RS Dravid, V Sehwag, VVS Laxman]                       | 41    | 17   | 11   | 0    | 13     |
| [G Gambhir, SR Tendulkar, V Sehwag, VVS Laxman]                    | 41    | 17   | 11   | 0    | 13     |
| [G Gambhir, RS Dravid, SR Tendulkar, VVS Laxman]                   | 41    | 16   | 12   | 0    | 13     |
| [MS Dhoni, SR Tendulkar, V Sehwag, VVS Laxman]                     | 41    | 16   | 9    | 0    | 16     |
| [DL Haynes, HA Gomes, IVA Richards, PJL Dujon]                     | 40    | 22   | 4    | 0    | 14     |
| [AL Logie, CG Greenidge, DL Haynes, IVA Richards]                  | 40    | 21   | 3    | 0    | 16     |
| [DJ Cullinan, G Kirsten, JH Kallis, SM Pollock]                    | 40    | 19   | 7    | 0    | 14     |
| [G Gambhir, RS Dravid, SR Tendulkar, V Sehwag]                     | 40    | 16   | 11   | 0    | 13     |
| [BJ Haddin, MEK Hussey, MJ Clarke, RT Ponting]                     | 40    | 22   | 11   | 0    | 7      |
| [CG Greenidge, CH Lloyd, DL Haynes, IVA Richards]                  | 39    | 24   | 1    | 0    | 14     |
| [CG Greenidge, DL Haynes, HA Gomes, PJL Dujon]                     | 39    | 22   | 3    | 0    | 14     |
| [CG Greenidge, HA Gomes, IVA Richards, PJL Dujon]                  | 39    | 22   | 3    | 0    | 14     |
| [AR Border, DC Boon, GR Marsh, SR Waugh]                           | 39    | 10   | 9    | 1    | 19     |
| [MA Taylor, ME Waugh, MJ Slater, SR Waugh]                         | 39    | 21   | 9    | 0    | 9      |
| [AJ Stewart, GP Thorpe, MA Atherton, N Hussain]                    | 39    | 11   | 12   | 0    | 16     |
| [AC Gilchrist, ML Hayden, RT Ponting, SR Waugh]                    | 39    | 29   | 5    | 0    | 5      |
| [AN Cook, IJL Trott, IR Bell, KP Pietersen]                        | 39    | 18   | 9    | 0    | 12     |
| [IJL Trott, IR Bell, KP Pietersen, MJ Prior]                       | 39    | 18   | 9    | 0    | 12     |
| [AR Border, DC Boon, MA Taylor, SR Waugh]                          | 38    | 19   | 5    | 0    | 14     |
| [AC Gilchrist, JL Langer, ML Hayden, SR Waugh]                     | 38    | 27   | 6    | 0    | 5      |
| [AJ Strauss, IR Bell, KP Pietersen, MJ Prior]                      | 38    | 17   | 10   | 0    | 11     |
| [AL Logie, CG Greenidge, PJL Dujon, RB Richardson]                 | 37    | 18   | 5    | 0    | 14     |
| [AL Logie, IVA Richards, PJL Dujon, RB Richardson]                 | 37    | 19   | 5    | 0    | 13     |
| [G Kirsten, JH Kallis, L Klusener, SM Pollock]                     | 37    | 15   | 7    | 0    | 15     |
| [CD McMillan, DL Vettori, NJ Astle, SP Fleming]                    | 37    | 14   | 12   | 0    | 11     |
| [DJ Cullinan, JH Kallis, MV Boucher, SM Pollock]                   | 37    | 21   | 5    | 0    | 11     |
| [JH Kallis, L Klusener, MV Boucher, SM Pollock]                    | 37    | 17   | 6    | 0    | 14     |
| [BC Lara, CH Gayle, RR Sarwan, S Chanderpaul]                      | 37    | 6    | 22   | 0    | 9      |
| [AL Logie, CG Greenidge, DL Haynes, RB Richardson]                 | 36    | 17   | 5    | 0    | 14     |
| [AL Logie, DL Haynes, IVA Richards, RB Richardson]                 | 36    | 18   | 5    | 0    | 13     |
| [DC Boon, MA Taylor, ME Waugh, SR Waugh]                           | 36    | 19   | 7    | 0    | 10     |
| [JL Langer, ME Waugh, RT Ponting, SR Waugh]                        | 36    | 24   | 5    | 0    | 7      |
| [G Kirsten, JH Kallis, MV Boucher, ND McKenzie]                    | 36    | 16   | 10   | 0    | 10     |
| [JL Langer, ML Hayden, RT Ponting, SR Waugh]                       | 36    | 26   | 5    | 0    | 5      |
| [AR Border, DC Boon, DM Jones, SR Waugh]                           | 35    | 11   | 6    | 1    | 17     |
| [DJ Cullinan, G Kirsten, MV Boucher, SM Pollock]                   | 35    | 18   | 5    | 0    | 12     |
| [G Kirsten, L Klusener, MV Boucher, SM Pollock]                    | 35    | 15   | 6    | 0    | 14     |
| [DJ Cullinan, G Kirsten, JH Kallis, MV Boucher]                    | 35    | 18   | 5    | 0    | 12     |
| [G Kirsten, JH Kallis, L Klusener, MV Boucher]                     | 35    | 15   | 6    | 0    | 14     |
| [JH Kallis, MV Boucher, ND McKenzie, SM Pollock]                   | 35    | 16   | 9    | 0    | 10     |
| [GC Smith, HH Gibbs, MV Boucher, SM Pollock]                       | 35    | 17   | 11   | 0    | 7      |
