+----------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                         | Matches | Wins | Loss | Tied | Others |
| [AJ Strauss, AN Cook, JM Anderson, KP Pietersen]               | 55      | 25   | 15   | 0    | 15     |
| [AB de Villiers, GC Smith, HM Amla, M Morkel]                  | 55      | 28   | 13   | 0    | 14     |
| [AN Cook, JM Anderson, KP Pietersen, SCJ Broad]                | 55      | 24   | 14   | 0    | 17     |
| [AN Cook, GP Swann, JM Anderson, MJ Prior]                     | 55      | 28   | 15   | 0    | 12     |
| [AN Cook, JM Anderson, MJ Prior, SCJ Broad]                    | 55      | 22   | 15   | 0    | 18     |
| [KS Williamson, LRPL Taylor, TA Boult, TG Southee]             | 55      | 33   | 13   | 0    | 9      |
| [DB Vengsarkar, GR Viswanath, SM Gavaskar, SMH Kirmani]        | 54      | 10   | 15   | 0    | 29     |
| [CG Greenidge, DL Haynes, PJL Dujon, RB Richardson]            | 54      | 28   | 8    | 0    | 18     |
| [DC Boon, IA Healy, MA Taylor, SR Waugh]                       | 54      | 28   | 9    | 0    | 17     |
| [ME Waugh, MJ Slater, SK Warne, SR Waugh]                      | 54      | 33   | 13   | 0    | 8      |
| [AC Gilchrist, JL Langer, RT Ponting, SK Warne]                | 54      | 41   | 5    | 0    | 8      |
| [HH Gibbs, JH Kallis, M Ntini, MV Boucher]                     | 54      | 27   | 16   | 0    | 11     |
| [RS Dravid, SR Tendulkar, V Sehwag, Z Khan]                    | 54      | 22   | 15   | 0    | 17     |
| [AB de Villiers, AG Prince, GC Smith, MV Boucher]              | 54      | 29   | 13   | 0    | 12     |
| [AB de Villiers, AG Prince, JH Kallis, MV Boucher]             | 54      | 29   | 14   | 0    | 11     |
| [AJ Strauss, AN Cook, KP Pietersen, PD Collingwood]            | 54      | 22   | 15   | 0    | 17     |
| [BJ Watling, KS Williamson, LRPL Taylor, TA Boult]             | 54      | 30   | 13   | 0    | 11     |
+----------------------------------------------------------------+---------+------+------+------+--------+
