+------+--------------------------+---------+--------+-------+
| Rank | Batsman                  | Average | Others | Ratio |
| 406  | Rajin Saleh              | 23.92   | 23.78  | 1.006 |
| 407  | Stuart Carlisle          | 27.67   | 27.51  | 1.005 |
| 408  | Michael Vaughan          | 27.15   | 27.04  | 1.003 |
| 409  | Dinesh Mongia            | 27.95   | 27.85  | 1.003 |
| 410  | Naeem Islam              | 27.08   | 27.03  | 1.001 |
| 411  | Noor Ali Zadran          | 24.81   | 24.78  | 1.001 |
| 412  | Lou Vincent              | 27.11   | 27.11  | 0.999 |
| 413  | Craig McMillan           | 28.18   | 28.21  | 0.999 |
| 414  | Marnus Labuschagne       | 37.40   | 37.51  | 0.997 |
| 415  | Karim Sadiq              | 23.75   | 23.83  | 0.996 |
| 416  | David Hookes             | 24.29   | 24.42  | 0.994 |
| 417  | Vijay Bharadwaj          | 27.20   | 27.35  | 0.994 |
| 418  | Soumya Sarkar            | 32.14   | 32.34  | 0.993 |
| 419  | Raman Lamba              | 27.00   | 27.19  | 0.992 |
| 420  | David Houghton           | 26.37   | 26.61  | 0.991 |
| 421  | Wavell Hinds             | 28.51   | 28.86  | 0.987 |
| 422  | Morne van Wyk            | 26.56   | 26.89  | 0.987 |
| 423  | Kusal Mendis             | 29.83   | 30.20  | 0.987 |
| 424  | Asif Mujtaba             | 26.04   | 26.38  | 0.987 |
| 425  | Collins Obuya            | 25.20   | 25.57  | 0.985 |
| 426  | Zahoor Elahi             | 22.84   | 23.19  | 0.985 |
| 427  | Asghar Stanikzai         | 24.73   | 25.16  | 0.982 |
| 428  | Mark Boucher             | 28.57   | 29.10  | 0.981 |
| 429  | Kraigg Brathwaite        | 27.80   | 28.32  | 0.981 |
| 430  | Sharjeel Khan            | 32.48   | 33.27  | 0.976 |
| 431  | Dinesh Karthik           | 30.20   | 30.95  | 0.975 |
| 432  | Kim Hughes               | 24.00   | 24.60  | 0.975 |
| 433  | Binod Bhandari           | 20.66   | 21.19  | 0.975 |
| 434  | Jehan Mubarak            | 22.70   | 23.28  | 0.975 |
| 435  | Greg Ritchie             | 27.40   | 28.10  | 0.974 |
| 436  | Mudassar Nazar           | 25.26   | 25.94  | 0.973 |
| 437  | Dylan Budge              | 28.12   | 28.89  | 0.973 |
| 438  | Manish Pandey            | 33.29   | 34.25  | 0.972 |
| 439  | Peter Forrest            | 26.28   | 27.04  | 0.971 |
| 440  | Hamilton Masakadza       | 27.73   | 28.55  | 0.971 |
| 441  | Mohammad Wasim           | 23.60   | 24.31  | 0.970 |
| 442  | Travis Dowlin            | 25.33   | 26.12  | 0.969 |
| 443  | Hamish Marshall          | 27.43   | 28.28  | 0.969 |
| 444  | Ruvindu Gunasekera       | 23.94   | 24.77  | 0.966 |
| 445  | Wajahatullah Wasti       | 23.26   | 24.07  | 0.966 |
| 446  | Suraj Kumar              | 25.23   | 26.11  | 0.965 |
| 447  | Johnson Charles          | 26.72   | 27.69  | 0.965 |
| 448  | Daren Ganga              | 25.54   | 26.47  | 0.965 |
| 449  | Vikram Solanki           | 26.75   | 27.78  | 0.963 |
| 450  | Jimmy Maher              | 25.76   | 26.77  | 0.962 |
| 451  | Alpesh Vadher            | 27.80   | 28.89  | 0.962 |
| 452  | Maurice Odumbe           | 26.09   | 27.20  | 0.959 |
| 453  | Imran Nazir              | 24.61   | 25.66  | 0.958 |
| 454  | Qasim Umar               | 22.92   | 23.91  | 0.958 |
| 455  | Nehemiah Perry           | 26.50   | 27.64  | 0.958 |
| 456  | Geoff Howarth            | 23.06   | 24.11  | 0.956 |
| 457  | Deryck Murray            | 24.50   | 25.63  | 0.955 |
| 458  | Carlisle Best            | 24.89   | 26.04  | 0.955 |
| 459  | Stuart Law               | 26.89   | 28.16  | 0.954 |
| 460  | Saleem Mukuddem          | 23.64   | 24.77  | 0.954 |
| 461  | Craig Kieswetter         | 30.11   | 31.67  | 0.950 |
| 462  | Sam Billings             | 33.72   | 35.57  | 0.948 |
| 463  | Javed Ahmadi             | 23.84   | 25.19  | 0.946 |
| 464  | Sandeep Patil            | 24.51   | 25.92  | 0.945 |
| 465  | Rick McCosker            | 22.85   | 24.18  | 0.945 |
| 466  | Naved Latif              | 23.81   | 25.23  | 0.943 |
| 467  | James Vince              | 30.00   | 31.78  | 0.943 |
| 468  | Stuart Binny             | 28.75   | 30.46  | 0.943 |
| 469  | Brad Hodge               | 30.26   | 32.09  | 0.942 |
| 470  | Moneeb Iqbal             | 24.00   | 25.45  | 0.942 |
| 471  | Ravi Jadeja              | 32.58   | 34.57  | 0.942 |
| 472  | Darron Reekers           | 25.31   | 26.87  | 0.941 |
| 473  | Aftab Ahmed              | 24.73   | 26.27  | 0.941 |
| 474  | Chad Soper               | 22.25   | 23.64  | 0.941 |
| 475  | Kieron Pollard           | 26.01   | 27.69  | 0.939 |
| 476  | Murray Goodwin           | 27.13   | 28.94  | 0.937 |
| 477  | Shamsur Rahman           | 26.60   | 28.37  | 0.937 |
| 478  | Jimmy Neesham            | 28.69   | 30.66  | 0.935 |
| 479  | Jimmy Hansra             | 23.38   | 25.00  | 0.935 |
| 480  | Corey Anderson           | 27.72   | 29.66  | 0.934 |
| 481  | Manoj Tiwary             | 26.09   | 27.93  | 0.933 |
| 482  | Peter Willey             | 23.39   | 25.07  | 0.932 |
| 483  | Hardik Pandya            | 32.97   | 35.35  | 0.932 |
| 484  | Thilina Kandamby         | 29.00   | 31.14  | 0.931 |
| 485  | Ikram Alikhil            | 26.00   | 27.94  | 0.930 |
| 486  | Dhananjaya de Silva      | 26.64   | 28.65  | 0.929 |
| 487  | Dasun Shanaka            | 27.16   | 29.26  | 0.928 |
| 488  | John Crawley             | 21.36   | 23.04  | 0.927 |
| 489  | Dirk Wellham             | 25.26   | 27.25  | 0.927 |
| 490  | Adam Parore              | 25.68   | 27.71  | 0.926 |
| 491  | Farhaan Behardien        | 30.68   | 33.12  | 0.926 |
| 492  | Shaun Pollock            | 26.45   | 28.56  | 0.926 |
| 493  | Terry Duffin             | 23.73   | 25.63  | 0.926 |
| 494  | Zahid Fazal              | 23.20   | 25.05  | 0.925 |
| 495  | Kevin Curran             | 26.09   | 28.18  | 0.925 |
| 496  | Mohammad Hussain         | 30.80   | 33.28  | 0.925 |
| 497  | Narsingh Deonarine       | 26.23   | 28.36  | 0.924 |
| 498  | Sunil Dhaniram           | 24.72   | 26.76  | 0.924 |
| 499  | Andre Russell            | 27.21   | 29.45  | 0.923 |
| 500  | Shoaib Mohammad          | 24.40   | 26.42  | 0.923 |
| 501  | Marcus Stoinis           | 31.57   | 34.24  | 0.922 |
| 502  | Desmond Chumney          | 20.89   | 22.68  | 0.920 |
| 503  | Neil Broom               | 26.94   | 29.25  | 0.920 |
| 504  | Devon Smith              | 24.62   | 26.80  | 0.918 |
| 505  | Jacob Martin             | 22.57   | 24.56  | 0.918 |
| 506  | Elton Chigumbura         | 25.23   | 27.46  | 0.918 |
| 507  | Mark Alleyne             | 21.57   | 23.48  | 0.918 |
| 508  | Thilan Samaraweera       | 27.80   | 30.30  | 0.917 |
| 509  | Bryan Young              | 24.52   | 26.74  | 0.917 |
| 510  | Tony Ura                 | 22.32   | 24.36  | 0.916 |
| 511  | BJ Watling               | 24.91   | 27.23  | 0.914 |
| 512  | Taufeeq Umar             | 24.04   | 26.31  | 0.913 |
| 513  | Mithun Ali               | 27.46   | 30.09  | 0.912 |
| 514  | Simon O'Donnell          | 25.34   | 27.86  | 0.909 |
| 515  | Rizwan Cheema            | 24.64   | 27.12  | 0.908 |
| 516  | Rohan Mustafa            | 24.18   | 26.68  | 0.906 |
| 517  | Adam Hollioake           | 25.25   | 27.86  | 0.906 |
| 518  | Anwar Ali                | 29.18   | 32.20  | 0.906 |
| 519  | Sir Ian Botham           | 23.21   | 25.64  | 0.905 |
| 520  | Kamran Akmal             | 26.09   | 28.85  | 0.904 |
| 521  | Bas Zuiderent            | 23.84   | 26.39  | 0.903 |
| 522  | Philip Mustard           | 23.30   | 25.80  | 0.902 |
| 523  | Kennedy Otieno           | 23.44   | 25.96  | 0.902 |
| 524  | Thomas Odoyo             | 23.49   | 26.02  | 0.902 |
| 525  | Khushal Bhurtel          | 20.25   | 22.44  | 0.902 |
| 526  | Rick Darling             | 21.35   | 23.73  | 0.899 |
| 527  | Dwayne Bravo             | 25.36   | 28.21  | 0.898 |
| 528  | Surinder Khanna          | 22.00   | 24.49  | 0.898 |
| 529  | Andy Waller              | 23.37   | 26.03  | 0.897 |
| 530  | Hazratullah Zazai        | 22.56   | 25.13  | 0.897 |
| 531  | Dipendra Airee           | 19.40   | 21.61  | 0.897 |
| 532  | Tarisai Musakanda        | 21.71   | 24.29  | 0.893 |
| 533  | Nicky Boje               | 26.67   | 29.93  | 0.891 |
| 534  | Daren Sammy              | 24.94   | 27.99  | 0.891 |
| 535  | Ihsanullah               | 21.92   | 24.62  | 0.890 |
| 536  | Hitesh Modi              | 23.59   | 26.57  | 0.887 |
| 537  | Manzoor Elahi            | 22.45   | 25.29  | 0.887 |
| 538  | Usman Ghani              | 25.58   | 28.85  | 0.886 |
| 539  | Wayne Larkins            | 24.62   | 27.77  | 0.886 |
| 540  | David Wiese              | 29.66   | 33.48  | 0.885 |
| 541  | Robin Singh              | 25.95   | 29.31  | 0.885 |
| 542  | Sam Curran               | 28.20   | 31.85  | 0.885 |
| 543  | John Morrison            | 21.00   | 23.72  | 0.884 |
| 544  | Ricardo Powell           | 24.82   | 28.04  | 0.884 |
| 545  | Matthew Wade             | 26.29   | 29.74  | 0.884 |
| 546  | Junaid Siddique          | 23.00   | 26.01  | 0.883 |
| 547  | Aiden Markram            | 27.24   | 30.83  | 0.883 |
| 548  | Ross Lyons               | 22.50   | 25.50  | 0.882 |
| 549  | Charles Coventry         | 24.44   | 27.70  | 0.882 |
| 550  | Sir Richard Hadlee       | 21.61   | 24.51  | 0.881 |
| 551  | Sean Ervine              | 25.85   | 29.31  | 0.881 |
| 552  | Manjural Islam           | 20.68   | 23.46  | 0.881 |
| 553  | Collis King              | 23.33   | 26.46  | 0.881 |
| 554  | Alex Cusack              | 22.57   | 25.61  | 0.881 |
| 555  | Kapil Dev                | 23.79   | 27.02  | 0.880 |
| 556  | Brian McMillan           | 23.36   | 26.54  | 0.880 |
| 557  | Javed Omar               | 23.85   | 27.16  | 0.878 |
| 558  | Hayden Walsh             | 23.16   | 26.38  | 0.877 |
| 559  | Junior Murray            | 22.60   | 25.76  | 0.877 |
| 560  | Manoj Prabhakar          | 24.12   | 27.51  | 0.877 |
| 561  | Roland Holder            | 23.96   | 27.34  | 0.876 |
| 562  | Sadiq Mohammad           | 21.27   | 24.29  | 0.875 |
| 563  | Moin Khan                | 23.00   | 26.25  | 0.875 |
| 564  | Reeza Hendricks          | 25.68   | 29.37  | 0.874 |
| 565  | Mitchell Santner         | 27.26   | 31.20  | 0.873 |
| 566  | James Franklin           | 23.98   | 27.45  | 0.873 |
| 567  | John Mooney              | 23.48   | 26.92  | 0.872 |
| 568  | Jeff Dujon               | 23.15   | 26.56  | 0.871 |
| 569  | Tim Paine                | 27.81   | 31.96  | 0.870 |
| 570  | Reetinder Sodhi          | 25.45   | 29.26  | 0.869 |
| 571  | Peter Handscomb          | 33.26   | 38.28  | 0.868 |
| 572  | Rishabh Pant             | 32.50   | 37.47  | 0.867 |
| 573  | Wesley Madhevere         | 27.00   | 31.14  | 0.866 |
| 574  | James Hopes              | 25.01   | 28.94  | 0.864 |
| 575  | Asad Shafiq              | 24.74   | 28.63  | 0.863 |
| 576  | Vusimuzi Sibanda         | 24.54   | 28.43  | 0.863 |
| 577  | Shardul Thakur           | 34.16   | 39.63  | 0.861 |
| 578  | Woorkeri Raman           | 23.73   | 27.56  | 0.860 |
| 579  | Dougie Lockhart          | 24.22   | 28.17  | 0.859 |
| 580  | Michael Slater           | 24.07   | 28.01  | 0.859 |
| 581  | Rodney Trott             | 21.66   | 25.23  | 0.858 |
| 582  | Simi Singh               | 22.79   | 26.56  | 0.858 |
| 583  | Denesh Ramdin            | 25.00   | 29.14  | 0.857 |
| 584  | Shahid Afridi            | 23.57   | 27.53  | 0.856 |
| 585  | Guy de Alwis             | 21.10   | 24.65  | 0.855 |
| 586  | Gary Wilson              | 23.81   | 27.82  | 0.855 |
| 587  | Asela Gunaratne          | 27.38   | 32.01  | 0.855 |
| 588  | Sidath Wettimuny         | 24.56   | 28.73  | 0.854 |
| 589  | Ashfaq Ahmed             | 21.50   | 25.15  | 0.854 |
| 590  | Khaled Mashud            | 21.90   | 25.63  | 0.854 |
| 591  | Wasim Raja               | 22.34   | 26.15  | 0.854 |
| 592  | Mark Ramprakash          | 26.85   | 31.43  | 0.854 |
| 593  | Jacob Oram               | 24.09   | 28.22  | 0.853 |
| 594  | Alviro Petersen          | 28.00   | 32.81  | 0.853 |
| 595  | Akram Khan               | 23.23   | 27.26  | 0.852 |
| 596  | Shafiqullah Shinwari     | 22.63   | 26.56  | 0.852 |
| 597  | Colin de Grandhomme      | 26.50   | 31.14  | 0.850 |
| 598  | Dermot Reeve             | 24.25   | 28.51  | 0.850 |
| 599  | Kirk Edwards             | 23.64   | 27.80  | 0.850 |
| 600  | Ghulam Shabbir           | 21.73   | 25.56  | 0.850 |
| 601  | Mohammad Ashraful        | 22.23   | 26.20  | 0.848 |
| 602  | Philo Wallace            | 21.24   | 25.07  | 0.847 |
| 603  | Aamer Malik              | 25.27   | 29.84  | 0.846 |
| 604  | Faisal Iqbal             | 22.42   | 26.51  | 0.845 |
| 605  | Wayne Phillips           | 24.34   | 28.83  | 0.844 |
| 606  | Tom Moody                | 23.28   | 27.61  | 0.843 |
| 607  | Ridley Jacobs            | 23.31   | 27.65  | 0.843 |
| 608  | Geoff Barnett            | 20.68   | 24.53  | 0.842 |
| 609  | Shane Thomson            | 22.95   | 27.28  | 0.841 |
| 610  | Mitchell McClenaghan     | 27.00   | 32.11  | 0.840 |
| 611  | Chetan Sharma            | 24.00   | 28.56  | 0.840 |
| 612  | Swapnil Patil            | 26.30   | 31.34  | 0.839 |
| 613  | Paul Wiseman             | 22.50   | 26.81  | 0.838 |
| 614  | Robin Uthappa            | 25.94   | 31.02  | 0.836 |
| 615  | Daan van Bunge           | 21.10   | 25.26  | 0.835 |
| 616  | Peter Borren             | 22.31   | 26.71  | 0.835 |
| 617  | Chamunorwa Chibhabha     | 23.02   | 27.60  | 0.834 |
| 618  | Sameer Dighe             | 23.27   | 27.90  | 0.834 |
| 619  | Michael Leask            | 23.46   | 28.26  | 0.830 |
| 620  | Dimuth Karunaratne       | 27.39   | 33.06  | 0.828 |
| 621  | Rovman Powell            | 25.35   | 30.62  | 0.827 |
| 622  | Josh Davey               | 22.59   | 27.29  | 0.827 |
| 623  | Lega Siaka               | 19.92   | 24.10  | 0.826 |
| 624  | Dean Brownlie            | 25.78   | 31.22  | 0.825 |
| 625  | Hamish Gardiner          | 23.81   | 28.87  | 0.824 |
| 626  | Llorne Howell            | 23.91   | 29.00  | 0.824 |
| 627  | Matt Prior               | 24.18   | 29.34  | 0.824 |
| 628  | Habibul Bashar           | 21.68   | 26.31  | 0.823 |
| 629  | Seren Waters             | 20.95   | 25.44  | 0.823 |
| 630  | Kumar Dharmasena         | 22.62   | 27.48  | 0.823 |
| 631  | Geraint Jones            | 24.62   | 29.93  | 0.822 |
| 632  | Morris Ouma              | 20.84   | 25.34  | 0.822 |
| 633  | Matthew Cross            | 22.86   | 27.80  | 0.822 |
| 634  | Romesh Kaluwitharana     | 22.22   | 27.06  | 0.821 |
| 635  | Aminul Islam             | 23.35   | 28.54  | 0.817 |
| 636  | Chris Old                | 18.77   | 22.96  | 0.817 |
| 637  | Waseem Muhammad          | 20.45   | 25.01  | 0.817 |
| 638  | Duleep Mendis            | 23.49   | 28.75  | 0.817 |
| 639  | Chandika Hathurusingha   | 20.90   | 25.62  | 0.815 |
| 640  | Stuart Matsikenyeri      | 22.01   | 27.00  | 0.815 |
| 641  | Trevor Jesty             | 21.16   | 26.00  | 0.813 |
| 642  | Alan Knott               | 20.00   | 24.59  | 0.813 |
| 643  | Yalaka Venugopal Rao     | 24.22   | 29.84  | 0.811 |
| 644  | Shahid Mahboob           | 23.80   | 29.33  | 0.811 |
| 645  | Colin Smith              | 19.63   | 24.27  | 0.809 |
| 646  | Dipak Chudasama          | 22.84   | 28.23  | 0.809 |
| 647  | Sabbir Rahman            | 25.63   | 31.71  | 0.808 |
| 648  | Hiral Patel              | 21.27   | 26.38  | 0.806 |
| 649  | Rod Marsh                | 20.08   | 24.91  | 0.806 |
| 650  | Mosaddek Hossain         | 25.83   | 32.07  | 0.805 |
| 651  | Aizaz Khan               | 20.00   | 24.88  | 0.803 |
| 652  | Derek Pringle            | 23.61   | 29.42  | 0.802 |
| 653  | Sanjeeva Ranatunga       | 23.00   | 28.68  | 0.801 |
| 654  | Gulbadeen Naib           | 21.01   | 26.24  | 0.800 |
| 655  | Pravin Amre              | 20.52   | 25.72  | 0.797 |
| 656  | Kevin Arnott             | 23.80   | 29.84  | 0.797 |
| 657  | Rashid Khan              | 20.16   | 25.29  | 0.797 |
| 658  | Paul Strang              | 22.24   | 27.95  | 0.795 |
| 659  | Sachith Pathirana        | 25.53   | 32.17  | 0.793 |
| 660  | Craig Wishart            | 23.22   | 29.27  | 0.793 |
| 661  | Guy Whittall             | 22.54   | 28.48  | 0.791 |
| 662  | Shehan Jayasuriya        | 21.66   | 27.40  | 0.790 |
| 663  | Hannan Sarkar            | 19.15   | 24.23  | 0.790 |
| 664  | James Marshall           | 25.00   | 31.65  | 0.789 |
| 665  | John Hastings            | 27.10   | 34.32  | 0.789 |
| 666  | Mohammad Rizwan          | 28.03   | 35.50  | 0.789 |
| 667  | Sewnarine Chattergoon    | 24.66   | 31.28  | 0.788 |
| 668  | Atul Bedade              | 22.57   | 28.65  | 0.787 |
| 669  | Rakep Patel              | 20.03   | 25.46  | 0.786 |
| 670  | George Codrington        | 19.58   | 24.90  | 0.786 |
| 671  | Jason Holder             | 24.62   | 31.31  | 0.786 |
| 672  | Ashan Priyanjan          | 23.33   | 29.69  | 0.785 |
| 673  | Mominul Haque            | 22.28   | 28.35  | 0.785 |
| 674  | Athula Samarasekera      | 22.81   | 29.03  | 0.785 |
| 675  | Gundappa Viswanath       | 19.95   | 25.39  | 0.785 |
| 676  | Alei Nao                 | 20.00   | 25.55  | 0.782 |
| 677  | Ben Cooper               | 18.70   | 23.93  | 0.781 |
| 678  | Ian Healy                | 21.00   | 26.92  | 0.779 |
| 679  | Kyle McCallan            | 20.05   | 25.71  | 0.779 |
| 680  | Paul Nixon               | 21.21   | 27.22  | 0.779 |
| 681  | Colin Munro              | 24.92   | 32.20  | 0.773 |
| 682  | Alok Kapali              | 19.60   | 25.34  | 0.773 |
| 683  | David Obuya              | 19.75   | 25.58  | 0.772 |
| 684  | Yusuf Pathan             | 27.00   | 34.99  | 0.771 |
| 685  | Peter Taylor             | 19.86   | 25.76  | 0.771 |
| 686  | Peter Moor               | 20.67   | 26.90  | 0.768 |
| 687  | Andrew Poynter           | 19.61   | 25.55  | 0.767 |
| 688  | Solomon Mire             | 20.31   | 26.57  | 0.764 |
| 689  | Kieran Powell            | 22.84   | 29.93  | 0.762 |
| 690  | Chris Woakes             | 25.78   | 33.84  | 0.761 |
| 691  | Tim Robinson             | 22.96   | 30.17  | 0.761 |
| 692  | Janeiro Tucker           | 19.84   | 26.10  | 0.760 |
| 693  | Keith Dabengwa           | 19.03   | 25.04  | 0.760 |
| 694  | Tanvir Afzal             | 18.25   | 24.01  | 0.760 |
| 695  | Peter Connell            | 20.00   | 26.33  | 0.759 |
| 696  | Pragyan Ojha             | 23.00   | 30.29  | 0.759 |
| 697  | Nathan Hauritz           | 22.46   | 29.59  | 0.759 |
| 698  | Alfred Luseno            | 17.00   | 22.40  | 0.758 |
| 699  | Irfan Pathan             | 23.39   | 30.84  | 0.758 |
| 700  | Rod Latham               | 20.10   | 26.53  | 0.757 |
| 701  | Ally Brown               | 22.12   | 29.25  | 0.756 |
| 702  | Albie Morkel             | 23.69   | 31.37  | 0.755 |
| 703  | Syed Kirmani             | 20.72   | 27.44  | 0.755 |
| 704  | Dan Christian            | 21.00   | 27.86  | 0.753 |
| 705  | Lee Germon               | 19.96   | 26.56  | 0.751 |
| 706  | Brian Hastings           | 18.87   | 25.13  | 0.751 |
| 707  | Chamara Kapugedera       | 21.09   | 28.11  | 0.750 |
| 708  | Ryan Burl                | 19.50   | 26.03  | 0.749 |
| 709  | Parthiv Patel            | 23.74   | 31.69  | 0.748 |
| 710  | Trent Johnston           | 19.55   | 26.14  | 0.747 |
| 711  | Pete Rinke               | 17.61   | 23.55  | 0.747 |
| 712  | Andy Bichel              | 20.47   | 27.43  | 0.746 |
| 713  | Loots Bosman             | 25.08   | 33.65  | 0.745 |
| 714  | Brendon Kuruppu          | 20.03   | 26.90  | 0.744 |
| 715  | Wanindu Hasaranga        | 23.73   | 31.91  | 0.743 |
| 716  | Andre Botha              | 19.58   | 26.34  | 0.743 |
| 717  | Dammika Prasad           | 21.50   | 29.00  | 0.741 |
| 718  | Craig Wallace            | 20.95   | 28.27  | 0.741 |
| 719  | Shadab Khan              | 24.11   | 32.54  | 0.740 |
| 720  | Sandeep Jyoti            | 22.00   | 29.74  | 0.739 |
| 721  | Haroon Rasheed           | 20.75   | 28.11  | 0.738 |
| 722  | Roston Chase             | 24.04   | 32.67  | 0.735 |
| 723  | Con de Lange             | 20.50   | 27.87  | 0.735 |
| 724  | Nikita Miller            | 20.28   | 27.59  | 0.735 |
| 725  | Andy Phehlukwayo         | 24.56   | 33.45  | 0.734 |
| 726  | Greg Blewett             | 20.40   | 27.79  | 0.734 |
| 727  | Minhajul Abedin          | 18.87   | 25.71  | 0.733 |
| 728  | Ajay Sharma              | 20.19   | 27.52  | 0.733 |
| 729  | Dogodo Bau               | 18.54   | 25.28  | 0.733 |
| 730  | Andrew Hall              | 21.04   | 28.73  | 0.732 |
| 731  | Alan Dawson              | 23.00   | 31.40  | 0.732 |
| 732  | Michael Swart            | 19.70   | 26.91  | 0.732 |
| 733  | Luke Ronchi              | 23.67   | 32.35  | 0.731 |
| 734  | Dimitri Mascarenhas      | 22.27   | 30.43  | 0.731 |
| 735  | Hasan Raza               | 18.61   | 25.45  | 0.731 |
| 736  | Mehrab Hossain           | 17.25   | 23.58  | 0.731 |
| 737  | Nafees Iqbal             | 19.31   | 26.45  | 0.729 |
| 738  | Anshuman Gaekwad         | 20.69   | 28.37  | 0.729 |
| 739  | Norman Vanua             | 17.68   | 24.28  | 0.728 |
| 740  | Mark Vermeulen           | 22.25   | 30.57  | 0.727 |
| 741  | Dave Richardson          | 19.72   | 27.11  | 0.727 |
| 742  | Dion Ebrahim             | 20.61   | 28.35  | 0.727 |
| 743  | Iftikhar Ahmed           | 24.80   | 34.14  | 0.726 |
| 744  | Ben Hollioake            | 20.60   | 28.37  | 0.725 |
| 745  | Ashraf Ali               | 17.25   | 23.80  | 0.724 |
| 746  | Bernard Scholtz          | 19.33   | 26.69  | 0.724 |
| 747  | Chris Nevin              | 20.33   | 28.07  | 0.724 |
| 748  | Matt Horne               | 20.41   | 28.23  | 0.722 |
| 749  | Jason Kila               | 15.90   | 22.00  | 0.722 |
| 750  | Suresh Perera            | 17.72   | 24.57  | 0.721 |
| 751  | Chandrakant Pandit       | 20.71   | 28.71  | 0.721 |
| 752  | Rashid Latif             | 19.42   | 27.04  | 0.717 |
| 753  | Milinda Siriwardene      | 22.43   | 31.32  | 0.716 |
| 754  | Shabir Noori             | 19.20   | 26.81  | 0.716 |
| 755  | Naimur Rahman            | 19.52   | 27.39  | 0.712 |
| 756  | Carlton Baugh            | 20.08   | 28.25  | 0.710 |
| 757  | Sylvester Joseph         | 16.10   | 22.65  | 0.710 |
| 758  | Regis Chakabva           | 21.29   | 29.98  | 0.710 |
| 759  | Karima Gore              | 16.15   | 22.82  | 0.707 |
| 760  | Madan Lal                | 19.09   | 27.00  | 0.707 |
| 761  | Jonathan Carter          | 23.24   | 32.86  | 0.707 |
| 762  | Umar Amin                | 18.06   | 25.60  | 0.705 |
| 763  | Moeen Ali                | 25.02   | 35.52  | 0.704 |
| 764  | Gordon Drummond          | 18.46   | 26.26  | 0.702 |
| 765  | Brad Hogg                | 20.25   | 28.86  | 0.701 |
| 766  | Nathan McCullum          | 20.98   | 29.89  | 0.701 |
| 767  | Gavin Rennie             | 19.90   | 28.38  | 0.701 |
| 768  | Tony Greig               | 16.81   | 23.99  | 0.700 |
| 769  | Anthony McGrath          | 16.60   | 23.69  | 0.700 |
| 770  | Thilan Thushara          | 18.66   | 26.68  | 0.699 |
| 771  | Ruwan Kalpage            | 20.58   | 29.43  | 0.699 |
| 772  | Evan Gray                | 16.33   | 23.36  | 0.699 |
| 773  | Xavier Marshall          | 17.52   | 25.08  | 0.698 |
| 774  | Farveez Maharoof         | 19.52   | 27.96  | 0.698 |
| 775  | Jahurul Islam            | 22.50   | 32.28  | 0.696 |
| 776  | Ashton Agar              | 23.60   | 33.90  | 0.696 |
| 777  | Amal Silva               | 22.05   | 31.67  | 0.696 |
| 778  | Malcolm Jarvis           | 18.50   | 26.58  | 0.695 |
| 779  | Sese Bau                 | 17.11   | 24.60  | 0.695 |
| 780  | Tony Blain               | 16.37   | 23.53  | 0.695 |
| 781  | Chris Read               | 17.64   | 25.39  | 0.694 |
| 782  | Bas de Leede             | 16.15   | 23.25  | 0.694 |
| 783  | Robin Peterson           | 20.59   | 29.64  | 0.694 |
| 784  | Keemo Paul               | 23.77   | 34.25  | 0.694 |
| 785  | Adam Dale                | 19.50   | 28.09  | 0.694 |
| 786  | Lorcan Tucker            | 20.05   | 28.91  | 0.693 |
| 787  | Shahriar Hossain         | 19.05   | 27.48  | 0.693 |
| 788  | Shingirai Masakadza      | 21.25   | 30.67  | 0.692 |
| 789  | Glenn Rogers             | 16.20   | 23.38  | 0.692 |
| 790  | Andrew White             | 18.04   | 26.06  | 0.692 |
| 791  | Richmond Mutumbami       | 19.31   | 27.94  | 0.691 |
| 792  | Somachandra de Silva     | 19.52   | 28.25  | 0.690 |
| 793  | Malcolm Waller           | 19.07   | 27.65  | 0.689 |
| 794  | Usman Limbada            | 18.90   | 27.43  | 0.688 |
| 795  | Ghulam Parkar            | 18.33   | 26.63  | 0.688 |
| 796  | Mark Dekker              | 18.95   | 27.55  | 0.687 |
| 797  | Shaul Karnain            | 19.08   | 27.83  | 0.685 |
| 798  | Max Sorensen             | 20.83   | 30.38  | 0.685 |
| 799  | Lance Cairns             | 16.72   | 24.49  | 0.682 |
| 800  | Dale Benkenstein         | 17.94   | 26.27  | 0.682 |
| 801  | Martin van Jaarsveld     | 20.66   | 30.34  | 0.681 |
| 802  | Adam Bacher              | 20.76   | 30.49  | 0.681 |
| 803  | Asif Ali                 | 25.46   | 37.40  | 0.680 |
| 804  | Jason Mohammed           | 21.72   | 31.92  | 0.680 |
| 805  | Michael Yardy            | 20.37   | 29.94  | 0.680 |
| 806  | Jeroen Smits             | 16.90   | 24.84  | 0.680 |
| 807  | Gary Ballance            | 21.21   | 31.20  | 0.679 |
| 808  | Justin Vaughan           | 18.00   | 26.47  | 0.679 |
| 809  | Jimmy Kamande            | 17.29   | 25.52  | 0.677 |
| 810  | Luke Wright              | 20.20   | 29.81  | 0.677 |
| 811  | Lawrence Rowe            | 17.00   | 25.15  | 0.675 |
| 812  | Dawlat Zadran            | 17.68   | 26.20  | 0.675 |
| 813  | Nayan Mongia             | 20.19   | 30.04  | 0.672 |
| 814  | Trevor Chappell          | 17.61   | 26.23  | 0.671 |
| 815  | Kiplin Doriga            | 15.36   | 22.90  | 0.670 |
| 816  | Peter Lever              | 17.00   | 25.35  | 0.670 |
