+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| Match# | Player                    | BBI   | HS  | Match                      | StartDate  | Venue                                                           |
| 4      | Subashis Roy              | 3/118 | 12  | Bangladesh v South Africa  | 2017-10-06 | Mangaung Oval, Bloemfontein                                     |
| 4      | Malinda Pushpakumara      | 3/28  | 42  | Sri Lanka v England        | 2018-11-23 | Sinhalese Sports Club Ground, Colombo                           |
| 3      | Wilfred Flowers           | 5/46  | 56  | England v Australia        | 1885-02-20 | Association Ground, Sydney                                      |
| 3      | Sydney Callaway           | 5/37  | 41  | Australia v England        | 1895-01-11 | Adelaide Oval, Adelaide                                         |
| 3      | Ledger Hill               | 4/8   | 124 | England v South Africa     | 1896-03-21 | Newlands, Cape Town                                             |
| 3      | Bonnor Middleton          | 5/51  | 22  | South Africa v England     | 1899-02-14 | Old Wanderers, Johannesburg                                     |
| 3      | Charlie Llewellyn         | 6/92  | 90  | South Africa v Australia   | 1902-10-11 | Old Wanderers, Johannesburg                                     |
| 3      | John Gunn                 | 5/76  | 24  | England v Australia        | 1902-01-17 | Adelaide Oval, Adelaide                                         |
| 3      | Jack Sharp                | 3/67  | 105 | England v Australia        | 1909-08-09 | Kennington Oval, Kennington                                     |
| 3      | Claude Carter             | 6/50  | 45  | South Africa v England     | 1914-02-14 | Lord's, Durban                                                  |
| 3      | Les Townsend              | 2/22  | 40  | England v India            | 1934-01-05 | Eden Gardens, Calcutta                                          |
| 3      | Giff Vivian               | 4/58  | 100 | New Zealand v South Africa | 1932-03-04 | Basin Reserve, Wellington                                       |
| 3      | Morris Sievers            | 5/21  | 25  | Australia v England        | 1937-01-01 | Melbourne Cricket Ground, Melbourne                             |
| 3      | Jack Iverson              | 6/27  | 1   | Australia v England        | 1951-01-05 | Sydney Cricket Ground, Sydney                                   |
| 3      | Geoff Chubb               | 6/51  | 15  | South Africa v England     | 1951-07-05 | Old Trafford, Manchester                                        |
| 3      | Fred Ridgway              | 4/83  | 24  | England v India            | 1951-12-30 | Eden Gardens, Calcutta                                          |
| 3      | Robin Hobbs               | 3/25  | 15  | England v India            | 1967-07-13 | Edgbaston, Birmingham                                           |
| 3      | Murray Webb               | 2/114 | 12  | New Zealand v Australia    | 1974-03-01 | Basin Reserve, Wellington                                       |
| 3      | Graeme Beard              | 1/26  | 49  | Australia v Pakistan       | 1980-03-18 | Gaddafi Stadium, Lahore                                         |
| 3      | Robin Jackman             | 4/110 | 17  | England v Pakistan         | 1982-08-12 | Lord's Cricket Ground, St John's Wood                           |
| 3      | Saliya Ahangama           | 5/52  | 11  | Sri Lanka v India          | 1985-09-14 | Asgiriya Stadium, Kandy                                         |
| 3      | Atul Wassan               | 4/108 | 53  | India v New Zealand        | 1990-02-22 | Eden Park, Auckland                                             |
| 3      | Steve Watkin              | 4/65  | 13  | England v Australia        | 1993-08-19 | The Foster's Oval, Kennington                                   |
| 3      | Gary Crocker              | 2/65  | 33  | Zimbabwe v New Zealand     | 1992-11-07 | Harare Sports Club, Harare                                      |
| 3      | Dodda Ganesh              | 2/28  | 8   | India v West Indies        | 1997-03-27 | Kensington Oval, Bridgetown                                     |
| 3      | Nilesh Kulkarni           | 1/70  | 4   | India v Australia          | 2001-03-18 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| 3      | Harvinder Singh           | 2/62  | 6   | India v Sri Lanka          | 2001-08-22 | Asgiriya Stadium, Kandy                                         |
| 3      | Neil McGarrell            | 4/23  | 33  | West Indies v Zimbabwe     | 2001-07-27 | Harare Sports Club, Harare                                      |
| 3      | Usman Afzaal              | 1/49  | 54  | England v Australia        | 2001-08-23 | The AMP Oval, Kennington                                        |
| 3      | Claude Henderson          | 4/116 | 30  | South Africa v Australia   | 2001-12-14 | Adelaide Oval, Adelaide                                         |
| 3      | Charitha Buddhika         | 4/27  | 45  | Sri Lanka v Zimbabwe       | 2002-01-04 | Asgiriya Stadium, Kandy                                         |
| 3      | Brad Williams             | 4/53  | 10  | Australia v India          | 2003-12-26 | Melbourne Cricket Ground, Melbourne                             |
| 3      | Jhye Richardson           | 5/42  | 9   | Australia v England        | 2021-12-16 | Adelaide Oval, Adelaide                                         |
| 3      | Milton Shumba             | 1/64  | 41  | Zimbabwe v Bangladesh      | 2021-07-07 | Harare Sports Club, Harare                                      |
| 2      | Allen Hill                | 4/27  | 49  | England v Australia        | 1877-03-31 | Melbourne Cricket Ground, Melbourne                             |
| 2      | Charles Vintcent          | 3/88  | 9   | South Africa v England     | 1889-03-25 | Newlands, Cape Town                                             |
| 2      | Percie Charlton           | 3/18  | 11  | Australia v England        | 1890-08-11 | Kennington Oval, Kennington                                     |
| 2      | Joseph Willoughby         | 2/37  | 5   | South Africa v England     | 1896-03-21 | Newlands, Cape Town                                             |
| 2      | Schofield Haigh           | 6/11  | 25  | England v South Africa     | 1899-04-01 | Newlands, Cape Town                                             |
| 2      | Walter Brearley           | 5/110 | 11  | England v Australia        | 1905-08-14 | Kennington Oval, Kennington                                     |
| 2      | Neville Knox              | 2/39  | 8   | England v South Africa     | 1907-08-19 | Kennington Oval, Kennington                                     |
| 2      | Major Booth               | 4/49  | 32  | England v South Africa     | 1914-02-27 | St George's Park, Port Elizabeth                                |
| 2      | Eric Marx                 | 3/85  | 36  | South Africa v Australia   | 1921-11-12 | Old Wanderers, Johannesburg                                     |
| 2      | Neville Quinn             | 6/92  | 28  | South Africa v England     | 1929-07-13 | Headingley, Leeds                                               |
| 2      | Cyril Allcott             | 2/102 | 33  | New Zealand v England      | 1930-02-21 | Eden Park, Auckland                                             |
| 2      | Herb McGirr               | 1/65  | 51  | New Zealand v England      | 1930-02-21 | Eden Park, Auckland                                             |
| 2      | Alec Hurwood              | 4/22  | 5   | Australia v West Indies    | 1931-01-01 | Sydney Cricket Ground, Sydney                                   |
| 2      | Phil Lee                  | 4/111 | 42  | Australia v England        | 1933-02-23 | Sydney Cricket Ground, Sydney                                   |
| 2      | Naoomal Jaoomal           | 1/4   | 43  | India v England            | 1934-01-05 | Eden Gardens, Calcutta                                          |
| 2      | Doug Freeman              | 1/91  | 1   | New Zealand v England      | 1933-03-31 | Eden Park, Auckland                                             |
| 2      | Errol Holmes              | 1/10  | 85  | England v West Indies      | 1935-01-24 | Queen's Park Oval, Port of Spain                                |
| 2      | Mervyn Waite              | 1/150 | 8   | Australia v England        | 1938-08-20 | Kennington Oval, Kennington                                     |
| 2      | Foffie Williams           | 3/51  | 72  | West Indies v England      | 1948-01-21 | Kensington Oval, Bridgetown                                     |
| 2      | Les Jackson               | 2/26  | 8   | England v Australia        | 1961-07-06 | Headingley, Leeds                                               |
| 2      | Bill Bell                 | 1/54  | 21  | New Zealand v South Africa | 1954-02-05 | St George's Park, Port Elizabeth                                |
| 2      | Gundibail Sunderam        | 2/46  | 3   | India v New Zealand        | 1955-12-28 | Eden Gardens, Calcutta                                          |
| 2      | Ron Gaunt                 | 3/53  | 3   | Australia v England        | 1961-08-17 | Kennington Oval, Kennington                                     |
