+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| Match# | Player                    | BBI   | HS  | Match                      | StartDate  | Venue                                                           |
| 1      | Jack Newman               | 2/76  | 19  | New Zealand v South Africa | 1932-02-27 | Lancaster Park, Christchurch                                    |
| 1      | Lisle Nagel               | 2/110 | 21  | Australia v England        | 1932-12-02 | Sydney Cricket Ground, Sydney                                   |
| 1      | Harry Alexander           | 1/129 | 17  | Australia v England        | 1933-02-23 | Sydney Cricket Ground, Sydney                                   |
| 1      | Dennis Smith              | 1/113 | 4   | New Zealand v England      | 1933-03-24 | Lancaster Park, Christchurch                                    |
| 1      | Father Marriott           | 6/59  | 0   | England v West Indies      | 1933-08-12 | Kennington Oval, Kennington                                     |
| 1      | Ben Sealey                | 1/10  | 29  | West Indies v England      | 1933-08-12 | Kennington Oval, Kennington                                     |
| 1      | Rustomji Jamshedji        | 3/137 | 4   | India v England            | 1933-12-15 | Gymkhana Ground, Bombay                                         |
| 1      | Morappakam Gopalan        | 1/39  | 11  | India v England            | 1934-01-05 | Eden Gardens, Calcutta                                          |
| 1      | Hans Ebeling              | 3/74  | 41  | Australia v England        | 1934-08-18 | Kennington Oval, Kennington                                     |
| 1      | James Neblett             | 1/44  | 11  | West Indies v England      | 1935-02-14 | Bourda, Georgetown                                              |
| 1      | George Mudie              | 2/23  | 5   | West Indies v England      | 1935-03-14 | Sabina Park, Kingston                                           |
| 1      | Eric Davies               | 4/75  | 3   | South Africa v Australia   | 1936-02-15 | Old Wanderers, Johannesburg                                     |
| 1      | Jim Parks                 | 2/26  | 22  | England v New Zealand      | 1937-06-26 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Norm Gallichan            | 3/99  | 30  | New Zealand v England      | 1937-07-24 | Old Trafford, Manchester                                        |
| 1      | Austin Matthews           | 1/13  | 2   | England v New Zealand      | 1937-08-14 | Kennington Oval, Kennington                                     |
| 1      | Reg Sinfield              | 1/51  | 6   | England v Australia        | 1938-06-10 | Trent Bridge, Nottingham                                        |
| 1      | Reg Perks                 | 5/100 | 2   | England v South Africa     | 1939-03-03 | Kingsmead, Durban                                               |
| 1      | Tyrell Johnson            | 2/53  | 9   | West Indies v England      | 1939-08-19 | Kennington Oval, Kennington                                     |
| 1      | Ces Burke                 | 2/30  | 3   | New Zealand v Australia    | 1946-03-29 | Basin Reserve, Wellington                                       |
| 1      | Frank Smailes             | 3/44  | 25  | England v India            | 1946-06-22 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Dick Pollard              | 5/24  | 10  | England v India            | 1946-07-20 | Old Trafford, Manchester                                        |
| 1      | Fred Freer                | 2/49  | 28  | Australia v England        | 1946-12-13 | Sydney Cricket Ground, Sydney                                   |
| 1      | Roy Scott                 | 1/74  | 18  | New Zealand v England      | 1947-03-21 | Lancaster Park, Christchurch                                    |
| 1      | Jack Martin               | 1/111 | 26  | England v South Africa     | 1947-06-07 | Trent Bridge, Nottingham                                        |
| 1      | George Pope               | 1/49  | 8   | England v South Africa     | 1947-06-21 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Jack Plimsoll             | 3/128 | 8   | South Africa v England     | 1947-07-05 | Old Trafford, Manchester                                        |
| 1      | Berkeley Gaskin           | 1/15  | 10  | West Indies v England      | 1948-01-21 | Kensington Oval, Bridgetown                                     |
| 1      | Len Johnson               | 3/8   | 25  | Australia v India          | 1948-02-06 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Alec Coxon                | 2/90  | 19  | England v Australia        | 1948-06-24 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Mantu Banerjee            | 4/120 | 0   | India v West Indies        | 1948-12-31 | Eden Gardens, Calcutta                                          |
| 1      | Martin Hanley             | 1/57  | 0   | South Africa v England     | 1949-01-01 | Newlands, Cape Town                                             |
| 1      | Nirode Chowdhury          | 1/130 | 3   | India v West Indies        | 1949-01-27 | Madras Cricket Club Ground, Chepauk, Madras                     |
| 1      | Shute Banerjee            | 4/54  | 8   | India v West Indies        | 1949-02-04 | Brabourne Stadium, Bombay                                       |
| 1      | Fish Markham              | 1/34  | 20  | South Africa v England     | 1949-02-12 | Ellis Park, Johannesburg                                        |
| 1      | Fen Cresswell             | 6/168 | 12  | New Zealand v England      | 1949-08-13 | Kennington Oval, Kennington                                     |
| 1      | Bob Berry                 | 5/63  | 4   | England v West Indies      | 1950-06-08 | Old Trafford, Manchester                                        |
| 1      | Coimbatarao Gopinath      | 1/11  | 50  | India v England            | 1951-12-14 | Brabourne Stadium, Bombay                                       |
| 1      | Shah Nyalchand            | 3/97  | 6   | India v Pakistan           | 1952-10-23 | University Ground, Lucknow                                      |
| 1      | Eric Fisher               | 1/78  | 14  | New Zealand v South Africa | 1953-03-06 | Basin Reserve, Wellington                                       |
| 1      | Matt Poore                | 2/28  | 45  | New Zealand v South Africa | 1953-03-13 | Eden Park, Auckland                                             |
| 1      | David Ironside            | 5/51  | 13  | South Africa v New Zealand | 1953-12-24 | Ellis Park, Johannesburg                                        |
| 1      | Khalid Hasan              | 2/116 | 10  | Pakistan v England         | 1954-07-01 | Trent Bridge, Nottingham                                        |
| 1      | Miran Bakhsh              | 2/82  | 1   | Pakistan v India           | 1955-01-29 | Bagh-e-Jinnah, Lahore                                           |
| 1      | Bunny Butler              | 2/151 | 16  | West Indies v Australia    | 1955-04-11 | Queen's Park Oval, Port of Spain                                |
| 1      | Norman Marshall           | 1/22  | 8   | West Indies v Australia    | 1955-04-26 | Bourda, Georgetown                                              |
| 1      | Sadashiv Patil            | 1/15  | 14  | India v New Zealand        | 1955-12-02 | Brabourne Stadium, Bombay                                       |
| 1      | Jack Rutherford           | 1/11  | 30  | Australia v India          | 1956-10-26 | Brabourne Stadium, Bombay                                       |
| 1      | Fazal-ur-Rehman           | 1/43  | 8   | Pakistan v West Indies     | 1958-03-13 | Bourda, Georgetown                                              |
| 1      | Jaswick Taylor            | 5/109 | 4   | West Indies v Pakistan     | 1958-03-26 | Queen's Park Oval, Port of Spain                                |
| 1      | Manohar Hardikar          | 1/9   | 32  | India v West Indies        | 1958-11-28 | Brabourne Stadium, Bombay                                       |
| 1      | Keith Slater              | 2/40  | 1   | Australia v England        | 1959-01-09 | Sydney Cricket Ground, Sydney                                   |
| 1      | Charran Singh             | 2/28  | 11  | West Indies v England      | 1960-01-28 | Queen's Park Oval, Port of Spain                                |
| 1      | Johnny Martin             | 3/56  | 55  | Australia v West Indies    | 1960-12-30 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Des Hoare                 | 2/68  | 35  | Australia v West Indies    | 1961-01-27 | Adelaide Oval, Adelaide                                         |
| 1      | Vaman Kumar               | 5/64  | 6   | India v Pakistan           | 1961-02-08 | Feroz Shah Kotla, Delhi                                         |
| 1      | Afaq Hussain              | 1/40  | 35  | Pakistan v England         | 1961-10-21 | Gaddafi Stadium, Lahore                                         |
| 1      | Alan Brown                | 3/27  | 3   | England v Pakistan         | 1961-10-21 | Gaddafi Stadium, Lahore                                         |
| 1      | Bruce Morrison            | 2/129 | 10  | New Zealand v England      | 1963-03-01 | Basin Reserve, Wellington                                       |
| 1      | Farooq Hameed             | 1/82  | 3   | Pakistan v Australia       | 1964-12-04 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Glen Hall                 | 1/94  | 0   | South Africa v England     | 1965-01-01 | Newlands, Cape Town                                             |
| 1      | Mufassir-ul-Haq           | 2/50  | 8   | Pakistan v New Zealand     | 1965-02-12 | Lancaster Park, Christchurch                                    |
| 1      | Mike Macaulay             | 1/10  | 21  | South Africa v England     | 1965-02-12 | St George's Park, Port Elizabeth                                |
| 1      | Ken Palmer                | 1/113 | 10  | England v South Africa     | 1965-02-12 | St George's Park, Port Elizabeth                                |
| 1      | Tony White                | 2/34  | 57  | West Indies v Australia    | 1965-03-03 | Sabina Park, Kingston                                           |
| 1      | Graham Vivian             | 1/14  | 43  | New Zealand v India        | 1965-03-05 | Eden Gardens, Calcutta                                          |
| 1      | Salahuddin                | 2/36  | 34  | Pakistan v New Zealand     | 1965-03-27 | Pindi Club Ground, Rawalpindi                                   |
| 1      | Ajit Pai                  | 2/29  | 9   | India v New Zealand        | 1969-09-25 | Brabourne Stadium, Bombay                                       |
| 1      | Mohammad Nazir            | 7/99  | 29  | Pakistan v New Zealand     | 1969-10-24 | National Stadium, Karachi                                       |
| 1      | Grahame Chevalier         | 3/68  | 0   | South Africa v Australia   | 1970-01-22 | Newlands, Cape Town                                             |
| 1      | Ken Eastwood              | 1/21  | 5   | Australia v England        | 1971-02-12 | Sydney Cricket Ground, Sydney                                   |
| 1      | Tony Dell                 | 3/65  | 3   | Australia v England        | 1971-02-12 | Sydney Cricket Ground, Sydney                                   |
| 1      | Imtiaz Ali                | 2/37  | 1   | West Indies v India        | 1976-04-07 | Queen's Park Oval, Port of Spain                                |
| 1      | John Lever                | 7/46  | 53  | England v India            | 1976-12-17 | Feroz Shah Kotla, Delhi                                         |
| 1      | Mick Malone               | 5/63  | 46  | Australia v England        | 1977-08-25 | Kennington Oval, Kennington                                     |
| 1      | Ian Callen                | 3/83  | 22  | Australia v India          | 1978-01-28 | Adelaide Oval, Adelaide                                         |
| 1      | Phil Carlson              | 2/41  | 21  | Australia v England        | 1979-01-27 | Adelaide Oval, Adelaide                                         |
| 1      | Azhar Khan                | 1/1   | 14  | Pakistan v Australia       | 1980-03-18 | Gaddafi Stadium, Lahore                                         |
| 1      | Rangy Nanan               | 2/37  | 8   | West Indies v Pakistan     | 1980-12-08 | Iqbal Stadium, Faisalabad                                       |
| 1      | Yograj Singh              | 1/63  | 6   | India v New Zealand        | 1981-02-21 | Basin Reserve, Wellington                                       |
| 1      | Ian Greig                 | 4/53  | 14  | England v Pakistan         | 1982-07-29 | Edgbaston, Birmingham                                           |
| 1      | Tony Pigott               | 2/75  | 8   | England v New Zealand      | 1984-02-03 | Lancaster Park, Christchurch                                    |
| 1      | Jon Agnew                 | 2/51  | 5   | England v West Indies      | 1984-08-09 | Kennington Oval, Kennington                                     |
| 1      | Arnie Sidebottom          | 1/65  | 2   | England v Australia        | 1985-07-11 | Trent Bridge, Nottingham                                        |
| 1      | Vaughan Brown             | 1/17  | 36  | New Zealand v Australia    | 1985-11-08 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| 1      | Stu Gillespie             | 1/79  | 28  | New Zealand v Australia    | 1986-02-21 | Basin Reserve, Wellington                                       |
| 1      | Gary Robertson            | 1/91  | 12  | New Zealand v Australia    | 1986-03-13 | Eden Park, Auckland                                             |
| 1      | Tony Gray                 | 4/39  | 12  | West Indies v Pakistan     | 1986-10-24 | Iqbal Stadium, Faisalabad                                       |
| 1      | Tony Dodemaide            | 6/58  | 50  | Australia v New Zealand    | 1987-12-26 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Athula Samarasekera       | 2/38  | 57  | Sri Lanka v England        | 1988-08-25 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Margashayam Venkataramana | 1/10  | 0   | India v West Indies        | 1989-04-28 | Sabina Park, Kingston                                           |
| 1      | Salil Ankola              | 1/35  | 6   | India v Pakistan           | 1989-11-15 | National Stadium, Karachi                                       |
| 1      | Ezra Moseley              | 2/70  | 26  | West Indies v England      | 1990-03-23 | Queen's Park Oval, Port of Spain                                |
| 1      | Neil Williams             | 2/148 | 38  | England v India            | 1990-08-23 | The Foster's Oval, Kennington                                   |
| 1      | Masood Anwar              | 2/59  | 37  | Pakistan v West Indies     | 1990-12-06 | Gaddafi Stadium, Lahore                                         |
| 1      | Subroto Banerjee          | 3/47  | 3   | India v Australia          | 1992-01-02 | Sydney Cricket Ground, Sydney                                   |
| 1      | Tertius Bosch             | 2/61  | 5   | South Africa v West Indies | 1992-04-18 | Kensington Oval, Bridgetown                                     |
| 1      | Ujesh Ranchod             | 1/45  | 7   | Zimbabwe v India           | 1993-03-13 | Feroz Shah Kotla, Delhi                                         |
| 1      | Nadeem Khan               | 2/147 | 25  | Pakistan v West Indies     | 1993-05-01 | Antigua Recreation Ground, St John's                            |
| 1      | Peter Such                | 6/67  | 14  | England v Australia        | 1993-06-03 | Old Trafford, Manchester                                        |
| 1      | Piyal Wijetunge           | 1/58  | 10  | Sri Lanka v South Africa   | 1993-08-25 | Tyronne Fernando Stadium, Moratuwa                              |
| 1      | Ashfaq Ahmed              | 2/31  | 1   | Pakistan v Zimbabwe        | 1993-12-09 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| 1      | Joey Benjamin             | 4/42  | 0   | England v South Africa     | 1994-08-18 | The Foster's Oval, Kennington                                   |
| 1      | Charlie Lock              | 3/68  | 8   | Zimbabwe v South Africa    | 1995-10-13 | Harare Sports Club, Harare                                      |
| 1      | Paras Mhambrey            | 1/43  | 28  | India v England            | 1996-06-06 | Edgbaston, Birmingham                                           |
| 1      | Simon Brown               | 1/60  | 10  | England v Pakistan         | 1996-07-25 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Everton Matambanadzo      | 2/62  | 7   | Zimbabwe v Pakistan        | 1996-10-24 | Iqbal Stadium, Faisalabad                                       |
| 1      | Adam Hollioake            | 2/31  | 45  | England v Australia        | 1997-08-07 | Trent Bridge, Nottingham                                        |
| 1      | Debasis Mohanty           | 4/78  | 0   | India v Sri Lanka          | 1997-08-09 | Sinhalese Sports Club Ground, Colombo                           |
| 1      | Simon Cook                | 5/39  | 3   | Australia v New Zealand    | 1997-11-20 | Western Australia Cricket Association Ground, Perth             |
| 1      | Gavin Robertson           | 4/72  | 57  | Australia v India          | 1998-03-06 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| 1      | Adam Dale                 | 3/71  | 5   | Australia v India          | 1998-03-25 | M Chinnaswamy Stadium, Bangalore                                |
| 1      | Suresh Perera             | 1/104 | 43  | Sri Lanka v England        | 1998-08-27 | The Foster's Oval, Kennington                                   |
| 1      | Shakeel Ahmed             | 4/91  | 1   | Pakistan v Australia       | 1998-10-22 | National Stadium, Karachi                                       |
| 1      | Matt Nicholson            | 3/56  | 9   | Australia v England        | 1998-12-26 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Robin Singh               | 2/74  | 0   | India v New Zealand        | 1999-01-02 | WestpacTrust Park, Hamilton                                     |
| 1      | Eric Upashantha           | 2/41  | 6   | Sri Lanka v India          | 1999-02-24 | Sinhalese Sports Club Ground, Colombo                           |
| 1      | Irfan Fazil               | 1/30  | 3   | Pakistan v Sri Lanka       | 2000-03-12 | National Stadium, Karachi                                       |
| 1      | Ranjan Das                | 1/64  | 2   | Bangladesh v India         | 2000-11-10 | Bangabandhu National Stadium, Dhaka                             |
| 1      | Rahul Sanghvi             | 2/67  | 2   | India v Australia          | 2001-02-27 | Wankhede Stadium, Mumbai                                        |
| 1      | Dinuka Hettiarachchi      | 2/36  | 0   | Sri Lanka v England        | 2001-03-15 | Sinhalese Sports Club Ground, Colombo                           |
| 1      | Sairaj Bahutule           | 1/32  | 21  | India v Australia          | 2001-03-18 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| 1      | Iqbal Siddiqui            | 1/32  | 24  | India v England            | 2001-12-03 | Punjab Cricket Association Stadium, Mohali                      |
| 1      | Andre Adams               | 3/44  | 11  | New Zealand v England      | 2002-03-30 | Eden Park, Auckland                                             |
| 1      | Chamila Gamage            | 2/33  | 40  | Sri Lanka v Bangladesh     | 2002-07-28 | Sinhalese Sports Club Ground, Colombo                           |
| 1      | Gareth Breese             | 2/108 | 5   | West Indies v India        | 2002-10-17 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| 1      | Kaushal Lokuarachchi      | 2/47  | 28  | Sri Lanka v New Zealand    | 2003-04-25 | P Saravanamuttu Stadium, Colombo                                |
| 1      | Kabir Ali                 | 3/80  | 9   | England v South Africa     | 2003-08-21 | Headingley, Leeds                                               |
| 1      | Yasir Ali                 | 1/12  | 1   | Pakistan v Bangladesh      | 2003-09-03 | Multan Cricket Stadium, Multan                                  |
| 1      | Martin Saggers            | 2/29  | 1   | England v Bangladesh       | 2003-10-29 | MA Aziz Stadium, Chittagong                                     |
| 1      | Riaz Afridi               | 2/42  | 9   | Pakistan v Sri Lanka       | 2004-10-28 | National Stadium, Karachi                                       |
| 1      | Waddington Mwayenga       | 1/79  | 14  | Zimbabwe v India           | 2005-09-20 | Harare Sports Club, Harare                                      |
| 1      | Jon Lewis                 | 3/68  | 20  | England v Sri Lanka        | 2006-06-02 | Trent Bridge, Nottingham                                        |
| 1      | Sohail Tanvir             | 3/83  | 13  | Pakistan v India           | 2007-11-22 | Feroz Shah Kotla, Delhi                                         |
| 1      | Ishara Amerasinghe        | 1/62  | 0   | Sri Lanka v West Indies    | 2008-04-03 | Queen's Park Oval, Port of Spain                                |
| 1      | Amit Jaggernauth          | 1/74  | 0   | West Indies v Australia    | 2008-05-22 | Sabina Park, Kingston                                           |
| 1      | Beau Casson               | 3/86  | 10  | Australia v West Indies    | 2008-06-12 | Kensington Oval, Bridgetown                                     |
| 1      | Darren Pattinson          | 2/95  | 13  | England v South Africa     | 2008-07-18 | Headingley, Leeds                                               |
| 1      | Albie Morkel              | 1/44  | 58  | South Africa v Australia   | 2009-03-19 | Sahara Park Newlands, Cape Town                                 |
| 1      | Abdur Rauf                | 2/59  | 31  | Pakistan v Sri Lanka       | 2009-07-04 | Galle International Stadium, Galle                              |
| 1      | Gavin Tonge               | 1/28  | 23  | West Indies v Australia    | 2009-12-16 | Western Australia Cricket Association Ground, Perth             |
| 1      | Clinton McKay             | 1/56  | 10  | Australia v West Indies    | 2009-12-16 | Western Australia Cricket Association Ground, Perth             |
| 1      | Friedel de Wet            | 4/55  | 20  | South Africa v England     | 2009-12-16 | SuperSport Park, Centurion                                      |
| 1      | Ajmal Shahzad             | 3/45  | 5   | England v Bangladesh       | 2010-06-04 | Old Trafford, Manchester                                        |
| 1      | Brandon Bess              | 1/65  | 11  | West Indies v South Africa | 2010-06-26 | Kensington Oval, Bridgetown                                     |
| 1      | Peter George              | 2/48  | 2   | Australia v India          | 2010-10-09 | M Chinnaswamy Stadium, Bangalore                                |
| 1      | Andre Russell             | 1/73  | 2   | West Indies v Sri Lanka    | 2010-11-15 | Galle International Stadium, Galle                              |
| 1      | Andy McKay                | 1/120 | 20  | New Zealand v India        | 2010-11-20 | Vidarbha Cricket Association Stadium, Nagpur                    |
| 1      | Greg Lamb                 | 3/120 | 39  | Zimbabwe v Pakistan        | 2011-09-01 | Queens Sports Club, Bulawayo                                    |
| 1      | Suhrawadi Shuvo           | 3/73  | 15  | Bangladesh v West Indies   | 2011-10-29 | Shere Bangla National Stadium, Mirpur                           |
| 1      | Njabulo Ncube             | 1/80  | 14  | Zimbabwe v New Zealand     | 2011-11-01 | Queens Sports Club, Bulawayo                                    |
| 1      | Kosala Kulasekara         | 1/65  | 15  | Sri Lanka v Pakistan       | 2011-11-03 | Sharjah Cricket Association Stadium, Sharjah                    |
| 1      | Marchant de Lange         | 7/81  | 9   | South Africa v Sri Lanka   | 2011-12-26 | Sahara Stadium Kingsmead, Durban                                |
| 1      | Vinay Kumar               | 1/73  | 6   | India v Australia          | 2012-01-13 | Western Australia Cricket Association Ground, Perth             |
| 1      | John Hastings             | 1/51  | 32  | Australia v South Africa   | 2012-11-30 | Western Australia Cricket Association Ground, Perth             |
| 1      | Colin Munro               | 2/40  | 15  | New Zealand v South Africa | 2013-01-11 | Axxess DSL St George's, Port Elizabeth                          |
| 1      | Moises Henriques          | 1/48  | 81  | Australia v India          | 2013-02-22 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| 1      | Ehsan Adil                | 2/54  | 12  | Pakistan v South Africa    | 2013-02-22 | SuperSport Park, Centurion                                      |
| 1      | Bruce Martin              | 4/43  | 41  | New Zealand v England      | 2013-03-06 | University Oval, Dunedin                                        |
| 1      | Ziaur Rahman              | 4/63  | 14  | Bangladesh v Zimbabwe      | 2013-04-25 | Harare Sports Club, Harare                                      |
| 1      | James Faulkner            | 4/51  | 23  | Australia v England        | 2013-08-21 | The Kia Oval, Kennington                                        |
| 1      | Sheldon Cotterell         | 1/72  | 5   | West Indies v India        | 2013-11-06 | Eden Gardens, Kolkata                                           |
| 1      | Scott Borthwick           | 3/33  | 4   | England v Australia        | 2014-01-03 | Sydney Cricket Ground, Sydney                                   |
| 1      | Tafadzwa Kamungozi        | 1/51  | 5   | Zimbabwe v Bangladesh      | 2014-10-25 | Shere Bangla National Stadium, Mirpur                           |
| 1      | Karn Sharma               | 2/95  | 4   | India v Australia          | 2014-12-09 | Adelaide Oval, Adelaide                                         |
| 1      | Kenroy Peters             | 2/69  | 0   | West Indies v South Africa | 2014-12-26 | St George's Park, Port Elizabeth                                |
| 1      | Hardus Viljoen            | 1/79  | 20  | South Africa v England     | 2016-01-14 | Bidvest Wanderers Stadium, Johannesburg                         |
| 1      | Joe Mennie                | 1/85  | 10  | Australia v South Africa   | 2016-11-12 | Blundstone Arena, Hobart                                        |
| 1      | Toby Roland-Jones         | 5/57  | 25  | England v South Africa     | 2017-07-27 | The Kia Oval, Kennington                                        |
| 1      | Solomon Mire              | 1/22  | 47  | Zimbabwe v West Indies     | 2017-10-21 | Queens Sports Club, Bulawayo                                    |
| 1      | Raymon Reifer             | 1/36  | 29  | West Indies v New Zealand  | 2017-12-09 | Seddon Park, Hamilton                                           |
| 1      | Mason Crane               | 1/193 | 4   | England v Australia        | 2018-01-04 | Sydney Cricket Ground, Sydney                                   |
| 1      | Sanjamul Islam            | 1/153 | 24  | Bangladesh v Sri Lanka     | 2018-01-31 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| 1      | Chadd Sayers              | 2/78  | 0   | Australia v South Africa   | 2018-03-30 | Bidvest Wanderers Stadium, Johannesburg                         |
| 1      | Mujeeb Zadran             | 1/75  | 15  | Afghanistan v India        | 2018-06-14 | M Chinnaswamy Stadium, Bangalore                                |
| 1      | Mir Hamza                 | 1/40  | 4   | Pakistan v Australia       | 2018-10-16 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| 1      | Wellington Masakadza      | 2/33  | 17  | Zimbabwe v Bangladesh      | 2018-11-03 | Sylhet Stadium, Sylhet                                          |
| 1      | Brandon Mavuta            | 4/21  | 6   | Zimbabwe v Bangladesh      | 2018-11-03 | Sylhet Stadium, Sylhet                                          |
| 1      | Nazmul Islam              | 2/27  | 4   | Bangladesh v Zimbabwe      | 2018-11-03 | Sylhet Stadium, Sylhet                                          |
| 1      | Chamika Karunaratne       | 1/130 | 22  | Sri Lanka v Australia      | 2019-02-01 | Manuka Oval, Canberra                                           |
| 1      | George Dockrell           | 2/63  | 39  | Ireland v Afghanistan      | 2019-03-15 | Rajiv Gandhi International Cricket Stadium, Dehra Dun           |
| 1      | James Cameron-Dow         | 2/94  | 32  | Ireland v Afghanistan      | 2019-03-15 | Rajiv Gandhi International Cricket Stadium, Dehra Dun           |
| 1      | Waqar Salamkheil          | 2/35  | 1   | Afghanistan v Ireland      | 2019-03-15 | Rajiv Gandhi International Cricket Stadium, Dehra Dun           |
| 1      | Mark Adair                | 3/32  | 8   | Ireland v England          | 2019-07-24 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Qais Ahmad                | 1/22  | 14  | Afghanistan v Bangladesh   | 2019-09-05 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| 1      | Senuran Muthusamy         | 1/63  | 49  | South Africa v India       | 2019-10-02 | Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam |
| 1      | Shahbaz Nadeem            | 2/18  | 1   | India v South Africa       | 2019-10-19 | Jharkhand State Cricket Association Oval Ground, Ranchi         |
| 1      | Beuran Hendricks          | 5/64  | 5   | South Africa v England     | 2020-01-24 | Imperial Wanderers Stadium, Johannesburg                        |
| 1      | Charlton Tshuma           | 1/85  | 3   | Zimbabwe v Bangladesh      | 2020-02-22 | Shere Bangla National Stadium, Mirpur                           |
| 1      | Chemar Holder             | 2/110 | 13  | West Indies v New Zealand  | 2020-12-11 | Basin Reserve, Wellington                                       |
| 1      | Wanindu Hasaranga         | 4/171 | 59  | Sri Lanka v South Africa   | 2020-12-26 | SuperSport Park, Centurion                                      |
| 1      | Thangarasu Natarajan      | 3/78  | 1   | India v Australia          | 2021-01-15 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| 1      | Luke Jongwe               | 1/68  | 37  | Zimbabwe v Pakistan        | 2021-05-07 | Harare Sports Club, Harare                                      |
| 1      | Glenton Stuurman          | 1/124 | 11  | South Africa v New Zealand | 2022-02-17 | Hagley Oval, Christchurch                                       |
| 1      | Matthew Fisher            | 1/67  | 0   | England v West Indies      | 2022-03-16 | Kensington Oval, Bridgetown                                     |
| 1      | Matt Parkinson            | 1/47  | 8   | England v New Zealand      | 2022-06-02 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Michael Bracewell         | 3/62  | 49  | New Zealand v England      | 2022-06-10 | Trent Bridge, Nottingham                                        |
| 1      | Jamie Overton             | 1/61  | 97  | England v New Zealand      | 2022-06-23 | Headingley, Leeds                                               |
| 1      | Jeffrey Vandersay         | 2/68  | 8   | Sri Lanka v Australia      | 2022-06-29 | Galle International Stadium, Galle                              |
| 1      | Zahid Mahmood             | 4/235 | 17  | Pakistan v England         | 2022-12-01 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| 1      | Haris Rauf                | 1/78  | 12  | Pakistan v England         | 2022-12-01 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| 1      | Devon Thomas              | 2/53  | 19  | West Indies v Australia    | 2022-12-08 | Adelaide Oval, Adelaide                                         |
| 1      | Abrar Ahmed               | 7/114 | 17  | Pakistan v England         | 2022-12-09 | Multan Cricket Stadium, Multan                                  |
| 1      | Rehan Ahmed               | 5/48  | 10  | England v Pakistan         | 2022-12-17 | National Stadium, Karachi                                       |
+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
