+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
| Mark Waugh-139           | Australia v West Indies    | 1991-04-27 | Antigua Recreation Ground, St John's                            |
| Craig McMillan-139       | New Zealand v Zimbabwe     | 1998-02-19 | Basin Reserve, Wellington                                       |
| Vic Richardson-138       | Australia v England        | 1925-01-01 | Melbourne Cricket Ground, Melbourne                             |
| Sir Ian Botham-138       | England v Australia        | 1986-11-14 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Mark Waugh-138           | Australia v England        | 1991-01-25 | Adelaide Oval, Adelaide                                         |
| Kenneth Weekes-137       | West Indies v England      | 1939-08-19 | Kennington Oval, Kennington                                     |
| Denis Lindsay-137        | South Africa v Australia   | 1967-01-20 | Kingsmead, Durban                                               |
| Sir Ian Botham-137       | England v India            | 1979-08-16 | Headingley, Leeds                                               |
| Asad Shafiq-137          | Pakistan v New Zealand     | 2014-11-26 | Sharjah Cricket Association Stadium, Sharjah                    |
| Asad Shafiq-137          | Pakistan v Australia       | 2016-12-15 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Bryan Valentine-136      | England v India            | 1933-12-15 | Gymkhana Ground, Bombay                                         |
| George Mann-136          | England v South Africa     | 1949-03-05 | St George's Park, Port Elizabeth                                |
| Ted Dexter-136           | England v West Indies      | 1960-01-06 | Kensington Oval, Bridgetown                                     |
| Kyle Verreynne-136       | South Africa v New Zealand | 2022-02-25 | Hagley Oval, Christchurch                                       |
| Jack Russell-135         | England v Australia        | 1921-01-14 | Adelaide Oval, Adelaide                                         |
| Asif Iqbal-135           | Pakistan v West Indies     | 1977-04-15 | Sabina Park, Kingston                                           |
| Paul Collingwood-135     | England v South Africa     | 2008-07-30 | Edgbaston, Birmingham                                           |
| Asif Iqbal-134           | Pakistan v Australia       | 1979-03-24 | Western Australia Cricket Association Ground, Perth             |
| Shoaib Malik-134         | Pakistan v Sri Lanka       | 2009-07-20 | Sinhalese Sports Club Ground, Colombo                           |
| Daniel Vettori-134       | New Zealand v Pakistan     | 2009-12-11 | McLean Park, Napier                                             |
| Warwick Armstrong-133    | Australia v England        | 1908-02-07 | Melbourne Cricket Ground, Melbourne                             |
| Jacob Oram-133           | New Zealand v South Africa | 2006-04-15 | SuperSport Park, Centurion                                      |
| Garry Sobers-132         | West Indies v India        | 1971-04-13 | Queen's Park Oval, Port of Spain                                |
| Dinesh Chandimal-132     | Sri Lanka v Australia      | 2016-08-13 | Sinhalese Sports Club Ground, Colombo                           |
| Denis Lindsay-131        | South Africa v Australia   | 1967-02-03 | New Wanderers Stadium, Johannesburg                             |
