+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
| Shimron Hetmyer-93       | West Indies v Bangladesh   | 2018-11-30 | Shere Bangla National Stadium, Mirpur                           |
| Steve Waugh-92           | Australia v England        | 1989-07-27 | Old Trafford, Manchester                                        |
| Basit Ali-92             | Pakistan v West Indies     | 1993-04-23 | Kensington Oval, Bridgetown                                     |
| Hashan Tillakaratne-92   | Sri Lanka v South Africa   | 1993-08-25 | Tyronne Fernando Stadium, Moratuwa                              |
| Ricky Ponting-92         | Australia v West Indies    | 2000-12-15 | Adelaide Oval, Adelaide                                         |
| Azhar Ali-92             | Pakistan v England         | 2010-08-18 | The Brit Oval, Kennington                                       |
| Jermaine Blackwood-92    | West Indies v Sri Lanka    | 2015-10-14 | Galle International Stadium, Galle                              |
| Rishabh Pant-92          | India v West Indies        | 2018-10-12 | Rajiv Gandhi International Stadium, Uppal, Hyderabad            |
| Michael Bevan-91         | Australia v Pakistan       | 1994-11-01 | Gaddafi Stadium, Lahore                                         |
| Roland Holder-91         | West Indies v India        | 1997-03-14 | Queen's Park Oval, Port of Spain                                |
| Asim Kamal-91            | Pakistan v India           | 2005-03-08 | Punjab Cricket Association Stadium, Mohali                      |
| Mohammad Kaif-91         | India v England            | 2006-03-01 | Vidarbha Cricket Association Ground, Nagpur                     |
| Angelo Mathews-91        | Sri Lanka v Pakistan       | 2013-12-31 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Rishabh Pant-91          | India v England            | 2021-02-05 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| Jock Cameron-90          | South Africa v England     | 1935-06-29 | Lord's Cricket Ground, St John's Wood                           |
| Everton Weekes-90        | West Indies v England      | 1957-06-20 | Lord's Cricket Ground, St John's Wood                           |
| Alan Knott-90            | England v India            | 1971-08-19 | Kennington Oval, Kennington                                     |
| Arjuna Ranatunga-90      | Sri Lanka v Australia      | 1983-04-22 | Asgiriya Stadium, Kandy                                         |
| Neil McKenzie-90         | South Africa v England     | 2003-08-14 | Trent Bridge, Nottingham                                        |
| Majid Khan-89            | Pakistan v Australia       | 1980-02-27 | National Stadium, Karachi                                       |
| Allan Border-89          | Australia v England        | 1983-01-02 | Sydney Cricket Ground, Sydney                                   |
| Ranjan Madugalle-89      | Sri Lanka v New Zealand    | 1984-03-24 | Colombo Cricket Club Ground, Colombo                            |
| Adam Parore-89           | New Zealand v South Africa | 1995-03-04 | Eden Park, Auckland                                             |
| VVS Laxman-89            | India v South Africa       | 2001-11-16 | St George's Park, Port Elizabeth                                |
| Andrew Flintoff-89       | England v Australia        | 2007-01-02 | Sydney Cricket Ground, Sydney                                   |
| Mike Hussey-89           | Australia v India          | 2011-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Angelo Mathews-89        | Sri Lanka v South Africa   | 2014-07-16 | Galle International Stadium, Galle                              |
| Archie MacLaren-88       | England v Australia        | 1899-06-15 | Lord's Cricket Ground, St John's Wood                           |
| Trevor Bailey-88         | England v Australia        | 1954-11-26 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Mohammad Ilyas-88        | Pakistan v New Zealand     | 1965-02-12 | Lancaster Park, Christchurch                                    |
| Basil D'Oliveira-88      | England v West Indies      | 1966-08-04 | Headingley, Leeds                                               |
| Allan Border-88          | Australia v New Zealand    | 1993-02-25 | Lancaster Park, Christchurch                                    |
| Arjuna Ranatunga-88      | Sri Lanka v South Africa   | 2000-07-30 | Asgiriya Stadium, Kandy                                         |
| Gus Logie-87             | West Indies v India        | 1989-04-15 | Queen's Park Oval, Port of Spain                                |
| Michael Bevan-87         | Australia v West Indies    | 1997-02-01 | Western Australia Cricket Association Ground, Perth             |
| Jonty Rhodes-87          | South Africa v West Indies | 1998-12-26 | Kingsmead, Durban                                               |
| Neil McKenzie-87         | South Africa v Australia   | 2001-12-14 | Adelaide Oval, Adelaide                                         |
| Johnny Taylor-86         | Australia v England        | 1925-02-13 | Melbourne Cricket Ground, Melbourne                             |
| Collie Smith-86          | West Indies v Pakistan     | 1958-03-26 | Queen's Park Oval, Port of Spain                                |
| Nawab of Pataudi-86      | India v Australia          | 1964-10-10 | Brabourne Stadium, Bombay                                       |
| Keith Fletcher-86        | England v West Indies      | 1973-08-23 | Lord's Cricket Ground, St John's Wood                           |
| Jonty Rhodes-86          | South Africa v India       | 1993-01-02 | Newlands, Cape Town                                             |
| Graham Thorpe-86         | England v West Indies      | 1994-03-25 | Queen's Park Oval, Port of Spain                                |
| Grant Flower-86          | Zimbabwe v India           | 2001-06-15 | Harare Sports Club, Harare                                      |
| Sean Ervine-86           | Zimbabwe v Bangladesh      | 2004-02-19 | Harare Sports Club, Harare                                      |
| Elton Chigumbura-86      | Zimbabwe v Bangladesh      | 2013-04-25 | Harare Sports Club, Harare                                      |
| Quinton de Kock-86       | South Africa v Sri Lanka   | 2019-02-21 | St George's Park, Port Elizabeth                                |
| Len Darling-85           | Australia v England        | 1933-02-23 | Sydney Cricket Ground, Sydney                                   |
| Peter Toohey-85          | Australia v India          | 1978-01-07 | Sydney Cricket Ground, Sydney                                   |
| Hansie Cronje-85         | South Africa v Pakistan    | 1998-03-06 | St George's Park, Port Elizabeth                                |
| Jonty Rhodes-85          | South Africa v England     | 1998-08-06 | Headingley, Leeds                                               |
| Alok Kapali-85           | Bangladesh v West Indies   | 2002-12-16 | MA Aziz Stadium, Chittagong                                     |
| Tatenda Taibu-85         | Zimbabwe v Bangladesh      | 2005-01-14 | Bangabandhu National Stadium, Dhaka                             |
| Jermaine Blackwood-85    | West Indies v England      | 2015-05-01 | Kensington Oval, Bridgetown                                     |
| Ben Stokes-85            | England v Bangladesh       | 2016-10-20 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| BJ Watling-85            | New Zealand v England      | 2018-03-30 | Hagley Oval, Christchurch                                       |
| Sikandar Raza-85         | Zimbabwe v Afghanistan     | 2021-03-10 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Wasim Raja-84            | Pakistan v West Indies     | 1977-03-04 | Queen's Park Oval, Port of Spain                                |
| Sandeep Patil-84         | India v Pakistan           | 1983-01-03 | Iqbal Stadium, Faisalabad                                       |
| Shane Thomson-84         | New Zealand v South Africa | 1994-11-25 | New Wanderers Stadium, Johannesburg                             |
| Angelo Mathews-84        | Sri Lanka v New Zealand    | 2012-11-25 | P Sara Oval, Colombo                                            |
| Travis Head-84           | Australia v Sri Lanka      | 2019-01-24 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Philip Sharpe-83         | England v West Indies      | 1963-08-22 | Kennington Oval, Kennington                                     |
| Jeremy Coney-83          | New Zealand v West Indies  | 1985-04-26 | Kensington Oval, Bridgetown                                     |
| John Crawley-83          | England v Australia        | 1997-07-03 | Old Trafford, Manchester                                        |
| Andy Flower-83           | Zimbabwe v India           | 2001-06-07 | Queens Sports Club, Bulawayo                                    |
| Faisal Iqbal-83          | Pakistan v Australia       | 2002-10-03 | P Saravanamuttu Stadium, Colombo                                |
| Thilan Samaraweera-83    | Sri Lanka v India          | 2010-08-03 | P Sara Oval, Colombo                                            |
| Asad Shafiq-83           | Pakistan v New Zealand     | 2011-01-07 | Seddon Park, Hamilton                                           |
| AB de Villiers-83        | South Africa v New Zealand | 2012-03-15 | Seddon Park, Hamilton                                           |
| Peter Toohey-82          | Australia v India          | 1977-12-02 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Jeremy Coney-82          | New Zealand v Pakistan     | 1979-02-23 | Eden Park, Auckland                                             |
| Peter Willey-82          | England v Australia        | 1981-07-02 | Lord's Cricket Ground, St John's Wood                           |
| Imran Khan-82            | Pakistan v Australia       | 1990-02-03 | Sydney Cricket Ground, Sydney                                   |
| Shane Thomson-82         | New Zealand v South Africa | 1994-12-26 | Kingsmead, Durban                                               |
| Suresh Raina-82          | India v West Indies        | 2011-06-20 | Sabina Park, Kingston                                           |
| Mahendra Dhoni-82        | India v England            | 2014-08-15 | The Kia Oval, Kennington                                        |
| Rohit Sharma-82          | India v New Zealand        | 2016-09-30 | Eden Gardens, Kolkata                                           |
| CK Nayudu-81             | India v England            | 1936-08-15 | Kennington Oval, Kennington                                     |
| Denis Lindsay-81         | South Africa v Australia   | 1966-12-31 | Newlands, Cape Town                                             |
| Gus Logie-81             | West Indies v England      | 1988-06-16 | Lord's Cricket Ground, St John's Wood                           |
| Mohammad Azharuddin-81   | India v New Zealand        | 1988-12-02 | Lal Bahadur Shastri Stadium, Hyderabad                          |
| Sanath Jayasuriya-81     | Sri Lanka v Pakistan       | 1992-01-02 | Iqbal Stadium, Faisalabad                                       |
| Brendan Nash-81          | West Indies v England      | 2009-05-06 | Lord's Cricket Ground, St John's Wood                           |
| Jonathan Bairstow-81     | England v Pakistan         | 2016-08-11 | The Kia Oval, Kennington                                        |
| Shimron Hetmyer-81       | West Indies v England      | 2019-01-23 | Kensington Oval, Bridgetown                                     |
| Ollie Pope-81            | England v India            | 2021-09-02 | The Kia Oval, Kennington                                        |
| Bill Ponsford-80         | Australia v England        | 1925-02-27 | Sydney Cricket Ground, Sydney                                   |
| Garry Sobers-80          | West Indies v Pakistan     | 1958-02-05 | Queen's Park Oval, Port of Spain                                |
| Quinton de Kock-80       | South Africa v Sri Lanka   | 2019-02-13 | Kingsmead, Durban                                               |
| Patsy Hendren-79         | England v Australia        | 1934-06-08 | Trent Bridge, Nottingham                                        |
| Freddie Brown-79         | England v Australia        | 1951-01-05 | Sydney Cricket Ground, Sydney                                   |
| Lee Irvine-79            | South Africa v Australia   | 1970-02-19 | New Wanderers Stadium, Johannesburg                             |
| Jimmy Adams-79           | West Indies v South Africa | 1992-04-18 | Kensington Oval, Bridgetown                                     |
| Craig McMillan-79        | New Zealand v Australia    | 2000-03-31 | WestpacTrust Park, Hamilton                                     |
| Umar Akmal-79            | Pakistan v England         | 2010-08-26 | Lord's Cricket Ground, St John's Wood                           |
| Jermaine Blackwood-79    | West Indies v England      | 2017-08-17 | Edgbaston, Birmingham                                           |
| Ben Stokes-79            | England v West Indies      | 2019-02-09 | Darren Sammy National Cricket Stadium, Gros Islet               |
| Jack Ryder-78            | Australia v South Africa   | 1921-11-05 | Lord's, Durban                                                  |
| Stan Nichols-78          | England v New Zealand      | 1930-01-24 | Basin Reserve, Wellington                                       |
| Barry Shepherd-78        | Australia v South Africa   | 1964-01-24 | Adelaide Oval, Adelaide                                         |
| Allan Border-78          | Australia v West Indies    | 1982-01-30 | Adelaide Oval, Adelaide                                         |
| Arjuna Ranatunga-78      | Sri Lanka v England        | 1988-08-25 | Lord's Cricket Ground, St John's Wood                           |
| Craig McMillan-78        | New Zealand v Australia    | 2000-03-11 | Eden Park, Auckland                                             |
| Alec Stewart-78          | England v India            | 2002-08-22 | Headingley, Leeds                                               |
| Shane Watson-78          | Australia v India          | 2008-10-17 | Punjab Cricket Association Stadium, Mohali                      |
| Suresh Raina-78          | India v England            | 2011-07-21 | Lord's Cricket Ground, St John's Wood                           |
| Jimmy Neesham-78         | New Zealand v West Indies  | 2014-06-26 | Kensington Oval, Bridgetown                                     |
| Sarfraz Ahmed-78         | Pakistan v Sri Lanka       | 2015-07-03 | Pallekele Cricket Stadium, Pallekele                            |
| Russell Endean-77        | South Africa v Australia   | 1957-12-23 | New Wanderers Stadium, Johannesburg                             |
| Wasim Raja-77            | Pakistan v West Indies     | 1980-12-22 | National Stadium, Karachi                                       |
| Gus Logie-77             | West Indies v Australia    | 1991-03-01 | Sabina Park, Kingston                                           |
| Sanath Jayasuriya-77     | Sri Lanka v Pakistan       | 1991-12-12 | Jinnah Stadium, Sialkot                                         |
| Shiv Chanderpaul-77      | West Indies v England      | 1994-04-08 | Kensington Oval, Bridgetown                                     |
| Andrew Flintoff-77       | England v Sri Lanka        | 2003-12-18 | Sinhalese Sports Club Ground, Colombo                           |
| Dwayne Bravo-77          | West Indies v England      | 2004-08-12 | Old Trafford, Manchester                                        |
| Joe Root-77              | England v India            | 2014-08-07 | Emirates Old Trafford, Manchester                               |
| BJ Watling-77            | New Zealand v Sri Lanka    | 2019-08-14 | Galle International Stadium, Galle                              |
| Jack Hearne-76           | England v Australia        | 1911-12-15 | Sydney Cricket Ground, Sydney                                   |
| Robert Christiani-76     | West Indies v Australia    | 1951-11-30 | Sydney Cricket Ground, Sydney                                   |
| Tony Greig-76            | England v West Indies      | 1976-07-22 | Headingley, Leeds                                               |
| Jonty Rhodes-76          | South Africa v Australia   | 1994-01-02 | Sydney Cricket Ground, Sydney                                   |
| Ijaz Ahmed-76            | Pakistan v Zimbabwe        | 1995-02-07 | Queens Sports Club, Bulawayo                                    |
| Chris Cairns-76          | New Zealand v Pakistan     | 1995-12-08 | Lancaster Park, Christchurch                                    |
| Michael Vaughan-76       | England v West Indies      | 2000-08-17 | Headingley, Leeds                                               |
| Tatenda Taibu-76         | Zimbabwe v New Zealand     | 2005-08-15 | Queens Sports Club, Bulawayo                                    |
| Ian Bell-76              | England v Australia        | 2010-11-25 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Thilan Samaraweera-76    | Sri Lanka v New Zealand    | 2012-11-25 | P Sara Oval, Colombo                                            |
| Chandu Borde-75          | India v England            | 1959-07-23 | Old Trafford, Manchester                                        |
| Eknath Solkar-75         | India v England            | 1972-12-20 | Feroz Shah Kotla, Delhi                                         |
| Derek Randall-75         | England v New Zealand      | 1983-07-14 | Kennington Oval, Kennington                                     |
| Inzamam-ul-Haq-75        | Pakistan v New Zealand     | 1993-01-02 | Trust Bank Park, Hamilton                                       |
| Keith Arthurton-75       | West Indies v England      | 1995-06-22 | Lord's Cricket Ground, St John's Wood                           |
| Arjuna Ranatunga-75      | Sri Lanka v Zimbabwe       | 1996-09-11 | R Premadasa Stadium, Colombo                                    |
| Neil Johnson-75          | Zimbabwe v Australia       | 1999-10-14 | Harare Sports Club, Harare                                      |
| Virat Kohli-75           | India v Australia          | 2012-01-13 | Western Australia Cricket Association Ground, Perth             |
| Asad Shafiq-75           | Pakistan v Sri Lanka       | 2012-07-08 | Pallekele Cricket Stadium, Pallekele                            |
| George Ulyett-74         | England v Australia        | 1890-07-21 | Lord's Cricket Ground, St John's Wood                           |
| Joe Darling-74           | Australia v England        | 1895-03-01 | Melbourne Cricket Ground, Melbourne                             |
| Dattu Phadkar-74         | India v West Indies        | 1948-12-09 | Brabourne Stadium, Bombay                                       |
| Ken Mackay-74            | Australia v West Indies    | 1960-12-30 | Melbourne Cricket Ground, Melbourne                             |
| Zin Harris-74            | New Zealand v South Africa | 1961-12-08 | Kingsmead, Durban                                               |
| Sir Ian Botham-74        | England v Australia        | 1979-01-27 | Adelaide Oval, Adelaide                                         |
| Jimmy Adams-74           | West Indies v Australia    | 1996-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Nathan Astle-74          | New Zealand v India        | 1999-10-29 | Sardar Patel Stadium, Motera, Ahmedabad                         |
| Jacob Oram-74            | New Zealand v Sri Lanka    | 2003-05-03 | Asgiriya Stadium, Kandy                                         |
| Shiv Chanderpaul-74      | West Indies v South Africa | 2003-12-12 | New Wanderers Stadium, Johannesburg                             |
| Dinesh Chandimal-74      | Sri Lanka v Pakistan       | 2019-12-19 | National Stadium, Karachi                                       |
| Joe Darling-73           | Australia v England        | 1905-07-24 | Old Trafford, Manchester                                        |
| Gerry Alexander-73       | West Indies v Australia    | 1961-02-10 | Melbourne Cricket Ground, Melbourne                             |
| Steve Waugh-73           | Australia v England        | 1987-01-10 | Sydney Cricket Ground, Sydney                                   |
| Allan Border-73          | Australia v West Indies    | 1992-11-27 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Shoaib Malik-73          | Pakistan v South Africa    | 2007-10-01 | National Stadium, Karachi                                       |
| Jean-Paul Duminy-73      | South Africa v Australia   | 2009-03-06 | Sahara Stadium Kingsmead, Durban                                |
| Shakib Al Hasan-73       | Bangladesh v West Indies   | 2011-10-29 | Shere Bangla National Stadium, Mirpur                           |
| Mike Hussey-73           | Australia v West Indies    | 2012-04-15 | Queen's Park Oval, Port of Spain                                |
| Joe Hardstaff-72         | England v Australia        | 1908-01-10 | Adelaide Oval, Adelaide                                         |
| Sir Clive Lloyd-72       | West Indies v Australia    | 1984-12-30 | Sydney Cricket Ground, Sydney                                   |
| Romesh Kaluwitharana-72  | Sri Lanka v New Zealand    | 1998-05-27 | R Premadasa Stadium, Colombo                                    |
| Grant Flower-72          | Zimbabwe v Sri Lanka       | 2002-01-04 | Asgiriya Stadium, Kandy                                         |
| Andrew Flintoff-72       | England v West Indies      | 2004-08-19 | The Brit Oval, Kennington                                       |
| VVS Laxman-72            | India v Pakistan           | 2007-11-22 | Feroz Shah Kotla, Delhi                                         |
| Travis Head-72           | Australia v India          | 2018-12-06 | Adelaide Oval, Adelaide                                         |
| Jackie Grant-71          | West Indies v Australia    | 1930-12-12 | Adelaide Oval, Adelaide                                         |
| Salim Durani-71          | India v England            | 1961-11-11 | Brabourne Stadium, Bombay                                       |
| Mahendra Dhoni-71        | India v England            | 2014-08-07 | Emirates Old Trafford, Manchester                               |
| Babar Azam-71            | Pakistan v South Africa    | 2018-12-26 | SuperSport Park, Centurion                                      |
| Brian Close-70           | England v West Indies      | 1963-06-20 | Lord's Cricket Ground, St John's Wood                           |
| Jonty Rhodes-70          | South Africa v Zimbabwe    | 1999-10-29 | Goodyear Park, Bloemfontein                                     |
| Andrew Flintoff-70       | England v India            | 2006-03-09 | Punjab Cricket Association Stadium, Mohali                      |
| Ben Stokes-70            | England v India            | 2016-11-17 | Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam |
| Liton Das-70             | Bangladesh v South Africa  | 2017-10-06 | Mangaung Oval, Bloemfontein                                     |
| Roshen Silva-70          | Sri Lanka v Bangladesh     | 2018-02-08 | Shere Bangla National Stadium, Mirpur                           |
| Jos Buttler-70           | England v Australia        | 2019-09-12 | The Kia Oval, Kennington                                        |
| Imtiaz Ahmed-69          | Pakistan v India           | 1955-02-12 | Peshawar Club Ground, Peshawar                                  |
| Bob Barber-69            | England v India            | 1961-12-01 | Modi Stadium, Kanpur                                            |
| Tiger Lance-69           | South Africa v England     | 1965-08-26 | Kennington Oval, Kennington                                     |
| Jonty Rhodes-69          | South Africa v Australia   | 1994-03-04 | New Wanderers Stadium, Johannesburg                             |
| Greg Blewett-69          | Australia v West Indies    | 1996-11-29 | Sydney Cricket Ground, Sydney                                   |
| Mark Ramprakash-69       | England v New Zealand      | 1999-08-05 | Old Trafford, Manchester                                        |
| Tillakaratne Dilshan-69  | Sri Lanka v Pakistan       | 2006-03-26 | Sinhalese Sports Club Ground, Colombo                           |
| David Bernard-69         | West Indies v Bangladesh   | 2009-07-17 | Queen's Park (New), St George's                                 |
| AB de Villiers-69        | South Africa v Sri Lanka   | 2011-12-26 | Sahara Stadium Kingsmead, Durban                                |
| Brendon McCullum-69      | New Zealand v England      | 2013-03-14 | Basin Reserve, Wellington                                       |
| Jermaine Blackwood-69    | West Indies v New Zealand  | 2020-12-11 | Basin Reserve, Wellington                                       |
| Keith Rigg-68            | Australia v South Africa   | 1931-12-31 | Melbourne Cricket Ground, Melbourne                             |
| Tony Greig-68            | England v India            | 1972-12-20 | Feroz Shah Kotla, Delhi                                         |
| Rahul Dravid-68          | India v Zimbabwe           | 2001-06-15 | Harare Sports Club, Harare                                      |
| Hasan Raza-68            | Pakistan v Australia       | 2002-10-19 | Sharjah Cricket Association Stadium, Sharjah                    |
| Milinda Siriwardene-68   | Sri Lanka v West Indies    | 2015-10-22 | P Sara Oval, Colombo                                            |
| Mushfiqur Rahim-68       | Bangladesh v Australia     | 2017-09-04 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| Paul Sheahan-67          | Australia v South Africa   | 1970-03-05 | St George's Park, Port Elizabeth                                |
| Tony Greig-67            | England v India            | 1972-12-30 | Eden Gardens, Calcutta                                          |
| Bob Simpson-67           | Australia v West Indies    | 1978-03-31 | Bourda, Georgetown                                              |
| Allan Lamb-67            | England v India            | 1984-12-31 | Eden Gardens, Calcutta                                          |
| Damien Martyn-67         | Australia v West Indies    | 1992-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Basit Ali-67             | Pakistan v New Zealand     | 1994-02-24 | Lancaster Park, Christchurch                                    |
| Steve Waugh-67           | Australia v India          | 1996-10-10 | Feroz Shah Kotla, Delhi                                         |
| Shiv Chanderpaul-67      | West Indies v India        | 2002-04-19 | Queen's Park Oval, Port of Spain                                |
| Daniel Vettori-67        | New Zealand v Sri Lanka    | 2009-08-18 | Galle International Stadium, Galle                              |
| Faf du Plessis-67        | South Africa v Australia   | 2014-03-01 | Sahara Park Newlands, Cape Town                                 |
| Mahmudullah-67           | Bangladesh v New Zealand   | 2019-03-08 | Basin Reserve, Wellington                                       |
| John Beck-66             | New Zealand v West Indies  | 1956-02-03 | Carisbrook, Dunedin                                             |
| Tony MacGibbon-66        | New Zealand v England      | 1958-07-24 | Old Trafford, Manchester                                        |
| Ken Barrington-66        | England v Australia        | 1961-06-22 | Lord's Cricket Ground, St John's Wood                           |
| Saleem Malik-66          | Pakistan v New Zealand     | 1985-01-18 | Basin Reserve, Wellington                                       |
| Saleem Malik-66          | Pakistan v West Indies     | 1988-04-14 | Queen's Park Oval, Port of Spain                                |
| Sanath Jayasuriya-66     | Sri Lanka v England        | 1991-08-22 | Lord's Cricket Ground, St John's Wood                           |
| Andrew Symonds-66        | Australia v India          | 2008-01-16 | Western Australia Cricket Association Ground, Perth             |
| Doug Walters-65          | Australia v New Zealand    | 1974-03-08 | Lancaster Park, Christchurch                                    |
| Wasim Raja-65            | Pakistan v West Indies     | 1977-03-04 | Queen's Park Oval, Port of Spain                                |
| Sandeep Patil-65         | India v Australia          | 1981-01-02 | Sydney Cricket Ground, Sydney                                   |
| Inzamam-ul-Haq-65        | Pakistan v Zimbabwe        | 1995-01-31 | Harare Sports Club, Harare                                      |
| Hashan Tillakaratne-65   | Sri Lanka v Australia      | 1996-01-25 | Adelaide Oval, Adelaide                                         |
| Arjuna Ranatunga-65      | Sri Lanka v Pakistan       | 2000-06-21 | Galle International Stadium, Galle                              |
| Alec Stewart-65          | England v Australia        | 2001-07-05 | Edgbaston, Birmingham                                           |
| VVS Laxman-65            | India v West Indies        | 2002-05-18 | Sabina Park, Kingston                                           |
| Tillakaratne Dilshan-65  | Sri Lanka v India          | 2005-12-18 | Sardar Patel Stadium, Motera, Ahmedabad                         |
| AB de Villiers-65        | South Africa v Sri Lanka   | 2006-07-27 | Sinhalese Sports Club Ground, Colombo                           |
| Dave Nourse-64           | South Africa v Australia   | 1910-12-09 | Sydney Cricket Ground, Sydney                                   |
| Wallis Mathias-64        | Pakistan v West Indies     | 1959-03-06 | Dacca Stadium, Dacca                                            |
| Nawab of Pataudi-64      | India v England            | 1967-06-08 | Headingley, Leeds                                               |
| Farokh Engineer-64       | India v England            | 1974-07-04 | Edgbaston, Birmingham                                           |
| Mike Brearley-64         | England v Australia        | 1979-12-14 | Western Australia Cricket Association Ground, Perth             |
| Allan Border-64          | Australia v England        | 1981-07-02 | Lord's Cricket Ground, St John's Wood                           |
| Sir Ian Botham-64        | England v West Indies      | 1984-06-14 | Edgbaston, Birmingham                                           |
| Greg Ritchie-64          | Australia v England        | 1985-08-29 | Kennington Oval, Kennington                                     |
| Jeff Dujon-64            | West Indies v England      | 1988-08-04 | Kennington Oval, Kennington                                     |
| Mark Waugh-64            | Australia v West Indies    | 1991-04-05 | Queen's Park Oval, Port of Spain                                |
| Steve Waugh-64           | Australia v South Africa   | 1994-03-25 | Kingsmead, Durban                                               |
| Mark Ramprakash-64       | England v West Indies      | 1998-02-27 | Bourda, Georgetown                                              |
| Jonty Rhodes-64          | South Africa v West Indies | 1998-12-10 | St George's Park, Port Elizabeth                                |
| Mahendra Dhoni-64        | India v England            | 2006-03-18 | Wankhede Stadium, Mumbai                                        |
| Mushfiqur Rahim-64       | Bangladesh v Zimbabwe      | 2014-10-25 | Shere Bangla National Stadium, Mirpur                           |
| Jos Buttler-64           | England v Sri Lanka        | 2018-11-23 | Sinhalese Sports Club Ground, Colombo                           |
| George Thompson-63       | England v South Africa     | 1910-01-01 | Old Wanderers, Johannesburg                                     |
| Graeme Hole-63           | Australia v England        | 1951-02-23 | Melbourne Cricket Ground, Melbourne                             |
| Philip Sharpe-63         | England v West Indies      | 1963-08-22 | Kennington Oval, Kennington                                     |
| Allan Border-63          | Australia v England        | 1981-06-18 | Trent Bridge, Nottingham                                        |
| Ruwan Kalpage-63         | Sri Lanka v India          | 1994-01-26 | M Chinnaswamy Stadium, Bangalore                                |
| Alec Stewart-63          | England v Australia        | 1998-12-11 | Adelaide Oval, Adelaide                                         |
| Daren Ganga-63           | West Indies v Bangladesh   | 2002-12-16 | MA Aziz Stadium, Chittagong                                     |
| BJ Watling-63            | New Zealand v South Africa | 2013-01-11 | Axxess DSL St George's, Port Elizabeth                          |
| Roston Chase-63          | West Indies v Pakistan     | 2017-04-21 | Sabina Park, Kingston                                           |
| Shimron Hetmyer-63       | West Indies v Bangladesh   | 2018-11-22 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| Mithun Ali-63            | Bangladesh v Pakistan      | 2020-02-07 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| Tom Lowry-62             | New Zealand v England      | 1931-07-29 | Kennington Oval, Kennington                                     |
| Paul Sheahan-62          | Australia v South Africa   | 1970-02-05 | Kingsmead, Durban                                               |
| Tony Greig-62            | England v Australia        | 1972-06-08 | Old Trafford, Manchester                                        |
| Dipak Patel-62           | New Zealand v Australia    | 1987-12-04 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Carl Hooper-62           | West Indies v Sri Lanka    | 1993-12-08 | Tyronne Fernando Stadium, Moratuwa                              |
| Greg Blewett-62          | Australia v West Indies    | 1996-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Guy Whittall-62          | Zimbabwe v Pakistan        | 1998-03-21 | Harare Sports Club, Harare                                      |
| Babar Azam-62            | Pakistan v New Zealand     | 2018-11-16 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| David Denton-61          | England v South Africa     | 1906-03-10 | Old Wanderers, Johannesburg                                     |
| Mushtaq Mohammad-61      | Pakistan v India           | 1960-12-30 | Eden Gardens, Calcutta                                          |
| Vic Pollard-61           | New Zealand v Pakistan     | 1973-02-07 | Carisbrook, Dunedin                                             |
| Sir Ian Botham-61        | England v New Zealand      | 1983-08-11 | Lord's Cricket Ground, St John's Wood                           |
| Gus Logie-61             | West Indies v Australia    | 1991-04-27 | Antigua Recreation Ground, St John's                            |
| Andy Flower-61           | Zimbabwe v Pakistan        | 1996-10-24 | Iqbal Stadium, Faisalabad                                       |
| Dwayne Bravo-61          | West Indies v South Africa | 2010-06-26 | Kensington Oval, Bridgetown                                     |
| Mushfiqur Rahim-61       | Bangladesh v Sri Lanka     | 2014-01-27 | Shere Bangla National Stadium, Mirpur                           |
| Ollie Pope-61            | England v South Africa     | 2020-01-03 | PPC Newlands, Cape Town                                         |
| George Fullerton-60      | South Africa v England     | 1951-06-21 | Lord's Cricket Ground, St John's Wood                           |
| John Waite-60            | South Africa v England     | 1955-08-13 | Kennington Oval, Kennington                                     |
| Sir Clive Lloyd-60       | West Indies v England      | 1984-08-09 | Kennington Oval, Kennington                                     |
| Graham Thorpe-60         | England v Australia        | 1993-08-05 | Edgbaston, Birmingham                                           |
| Marlon Samuels-60        | West Indies v Australia    | 2000-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Ben Stokes-60            | England v West Indies      | 2017-09-07 | Lord's Cricket Ground, St John's Wood                           |
| Herbie Taylor-59         | South Africa v England     | 1924-07-12 | Headingley, Leeds                                               |
