+-------------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                                                                                                                | Matches | Wins | Loss | Tied | Others |
| [AJ Harris, CMW Read, DJ Hussey, GD Clough, GJ Smith, GP Swann, MA Ealham, PJ Franks, SP Fleming, SR Patel, WR Smith]                                 | 5       | 1    | 4    | 0    | 0      |
| [A Flower, AP Palladino, AR Adams, Danish Kaneria, GW Flower, JD Middlebrook, JS Foster, ML Pettini, RC Irani, RN ten Doeschate, RS Bopara]           | 5       | 3    | 1    | 0    | 1      |
| [DI Stevens, GO Jones, JC Tredwell, JL Denly, M Morkel, M van Jaarsveld, MJ Walker, NJ Dexter, R McLaren, SJ Cook, Yasir Arafat]                      | 5       | 3    | 1    | 0    | 1      |
| [AG Wharf, BJ Wright, DA Cosker, DL Hemp, DS Harrison, HH Gibbs, JWM Dalrymple, MA Wallace, MJ Powell, RDB Croft, RE Watkins]                         | 5       | 2    | 2    | 0    | 1      |
| [AG Botha, CR Woakes, CS Martin, IDK Salisbury, IJ Westwood, IJL Trott, JO Troughton, MJ Powell, NM Carter, T Frost, TD Groenewald]                   | 5       | 5    | 0    | 0    | 0      |
| [AJ Hall, DJG Sales, J Louw, JF Brown, JJ van der Wath, L Klusener, MH Wessels, N Boje, NJ O'Brien, RA White, SP Crook]                               | 5       | 2    | 3    | 0    | 0      |
| [CJL Rogers, DJ Pipe, GG Wagg, GM Smith, GT Park, JL Sadler, MAK Lawson, SG Law, T Lungley, TD Groenewald, WW Hinds]                                  | 5       | 2    | 3    | 0    | 0      |
| [AC Thomas, AV Suppiah, BJ Phillips, C Kieswetter, CM Willoughby, JC Hildreth, JL Langer, ME Trescothick, MTC Waller, PD Trego, Z de Bruyn]           | 5       | 3    | 2    | 0    | 0      |
| [BJ Hodge, CW Henderson, J du Toit, JGE Benning, JJ Cobb, JWA Taylor, MJ Hoggard, MN Malik, NL Buck, PA Nixon, WI Jefferson]                          | 5       | 2    | 3    | 0    | 0      |
| [AD Brown, AD Hales, CMW Read, DJ Hussey, DJ Pattinson, DP Nannes, GG White, MJ Wood, RJ Sidebottom, SJ Mullaney, SR Patel]                           | 5       | 2    | 2    | 1    | 0      |
