+------------------------+---------+------------+----------+
| Player                 | FC High | listA High | T20 High |
| Rakep Patel            | 130     | 124        | 103      |
| Tom Westley            | 254     | 134        | 109      |
| Adam Lyth              | 251     | 144        | 161      |
| Richie Berrington      | 129     | 110        | 100      |
| Josh Cobb              | 148     | 146        | 103      |
| Ajinkya Rahane         | 265     | 187        | 105      |
| Sam Northeast          | 191     | 132        | 114      |
| Matthew Wade           | 152     | 155        | 130      |
| Craig Williams         | 184     | 129        | 125      |
| Shan Masood            | 199     | 182        | 103      |
| Umar Akmal             | 248     | 136        | 115      |
| Wriddaman Saha         | 203     | 116        | 129      |
| Rilee Rossouw          | 319     | 156        | 112      |
| Khaya Zondo            | 175     | 117        | 100      |
| Jonathan Vandiar       | 172     | 153        | 107      |
| Kane Williamson        | 284     | 148        | 101      |
| George Worker          | 210     | 194        | 106      |
| Dan Christian          | 131     | 117        | 129      |
| David Miller           | 177     | 139        | 120      |
| Steven Smith           | 239     | 164        | 101      |
| Rassie van der Dussen  | 175     | 134        | 112      |
| Usman Khawaja          | 214     | 166        | 109      |
| Jonathan Carter        | 149     | 133        | 111      |
| Paul Stirling          | 146     | 177        | 115      |
| Greg Smith             | 158     | 135        | 102      |
| Temba Bavuma           | 180     | 117        | 104      |
| Sabbir Rahman          | 165     | 112        | 122      |
| Sarel Erwee            | 200     | 116        | 103      |
| Ishank Jaggi           | 201     | 159        | 108      |
| Manish Pandey          | 238     | 142        | 129      |
| Mizanur Rahman         | 176     | 115        | 100      |
| Prashant Gupta         | 144     | 129        | 102      |
| Hamish Rutherford      | 239     | 155        | 106      |
| Ashan Priyanjan        | 235     | 136        | 108      |
| Anamul Haque           | 216     | 150        | 105      |
| Shahzaib Hasan         | 156     | 171        | 101      |
| Mohammad Rizwan        | 224     | 141        | 104      |
| Cameron Delport        | 163     | 169        | 129      |
| Marcus Stoinis         | 170     | 146        | 147      |
| Johnson Charles        | 151     | 177        | 105      |
| David Warner           | 335     | 197        | 135      |
| Devon Conway           | 327     | 152        | 105      |
| David Willey           | 104     | 167        | 118      |
| Alex Hales             | 236     | 187        | 116      |
| James Vince            | 240     | 190        | 107      |
| Jonathan Bairstow      | 246     | 174        | 114      |
| Dinesh Chandimal       | 354     | 119        | 101      |
| Mohammad Shahzad       | 214     | 143        | 118      |
| Jos Buttler            | 152     | 150        | 124      |
| Shehan Jayasuriya      | 237     | 161        | 107      |
| Sharjeel Khan          | 279     | 194        | 117      |
| Kedar Devdhar          | 224     | 148        | 100      |
| Quinton de Kock        | 194     | 178        | 126      |
| Aaron Finch            | 288     | 188        | 172      |
| Chris Lynn             | 250     | 135        | 113      |
| Ben Stokes             | 258     | 164        | 107      |
| Jason Roy              | 143     | 180        | 122      |
| Javed Ahmadi           | 197     | 125        | 117      |
| Biplab Samantray       | 171     | 100        | 102      |
| Akshath Reddy          | 250     | 154        | 105      |
| Lokesh Rahul           | 337     | 131        | 132      |
| Tom Latham             | 264     | 137        | 110      |
| Unmukt Chand           | 151     | 127        | 125      |
| Asif Ali               | 114     | 138        | 100      |
| Babar Azam             | 266     | 158        | 122      |
| Aditya Waghmode        | 142     | 148        | 101      |
| Glenn Maxwell          | 278     | 146        | 145      |
| Irosh Samarasooriya    | 147     | 139        | 108      |
| Dhanushka Gunathilleke | 152     | 133        | 102      |
| Ian Cockbain           | 151     | 108        | 123      |
| Daniel Bell-Drummond   | 206     | 171        | 112      |
| Peter Handscomb        | 215     | 140        | 103      |
| Sanju Samson           | 211     | 212        | 119      |
| Manprit Juneja         | 201     | 114        | 108      |
| Keaton Jennings        | 221     | 139        | 108      |
| Sheldon Jackson        | 186     | 150        | 106      |
| Dasun Shanaka          | 130     | 121        | 131      |
| Travis Head            | 223     | 230        | 101      |
| Andries Gous           | 256     | 163        | 101      |
| Yassar Cook            | 154     | 123        | 102      |
| Will Young             | 162     | 136        | 101      |
| Chanderpaul Hemraj     | 144     | 103        | 105      |
| Evin Lewis             | 104     | 176        | 125      |
| Marco Marais           | 300     | 122        | 106      |
| Saurabh Wakaskar       | 185     | 104        | 118      |
| Fakhar Zaman           | 205     | 210        | 100      |
| Alex Carey             | 143     | 128        | 101      |
| Jean-Pierre Kotze      | 102     | 148        | 101      |
| Mayank Agarwal         | 304     | 176        | 111      |
| Ricky Bhui             | 187     | 103        | 108      |
| Abhimanyu Easwaran     | 233     | 149        | 107      |
| Karun Nair             | 328     | 120        | 111      |
| Theunis de Bruyn       | 202     | 183        | 100      |
| Zubayr Hamza           | 222     | 156        | 106      |
| Tom Kohler-Cadmore     | 176     | 164        | 127      |
| Shimron Hetmyer        | 107     | 139        | 100      |
| Tom Abell              | 135     | 106        | 101      |
| Mukhtar Ahmed          | 144     | 161        | 123      |
| Ben McDermott          | 107     | 117        | 114      |
| Deepak Hooda           | 293     | 161        | 108      |
| Shreyas Iyer           | 202     | 148        | 147      |
| Tim Seifert            | 167     | 104        | 107      |
| Ishan Kishan           | 273     | 173        | 113      |
| Virat Singh            | 140     | 100        | 103      |
| Sadeera Samarawickrama | 185     | 130        | 100      |
| Nazmul Hossain         | 253     | 150        | 115      |
| Joe Clarke             | 194     | 139        | 136      |
| George Munsey          | 100     | 108        | 127      |
| Stevie Eskinazi        | 179     | 130        | 102      |
| Rishabh Pant           | 308     | 135        | 128      |
| Khushdil Shah          | 122     | 154        | 100      |
| Janneman Malan         | 208     | 177        | 128      |
| Mark Chapman           | 146     | 157        | 101      |
| Jake Weatherald        | 198     | 141        | 115      |
| Liam Livingstone       | 224     | 129        | 103      |
| Adam Hose              | 111     | 101        | 119      |
| Ruturaj Gaikwad        | 129     | 187        | 101      |
| Tony de Zorzi          | 213     | 137        | 106      |
| Jacques Snyman         | 209     | 135        | 117      |
| Ashan Randika          | 133     | 124        | 117      |
| Glenn Phillips         | 138     | 156        | 116      |
| Max Holden             | 153     | 166        | 102      |
| Simi Singh             | 121     | 121        | 109      |
| Zak Crawley            | 267     | 120        | 108      |
| Hazratullah Zazai      | 133     | 103        | 162      |
+------------------------+---------+------------+----------+
