+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Cecil Burton                 | 104     | 2273  | 130     | 15  | 142 | 19.76   | 2        | 7       | 0     | -          | 0       | 0         |
| Walker Wainwright            | 24      | 648   | 36      | 3   | 62  | 19.63   | 0        | 2       | 0     | -          | 0       | 0         |
| George Anderson              | 35      | 1009  | 60      | 8   | 99  | 19.40   | 0        | 3       | 0     | -          | 0       | 0         |
| Robert Collinson             | 2       | 58    | 3       | 0   | 34  | 19.33   | 0        | 0       | 0     | -          | 0       | 0         |
| Roger Iddison                | 74      | 2139  | 128     | 17  | 112 | 19.27   | 1        | 8       | 0     | -          | 0       | 0         |
| Henry Wilkinson              | 48      | 1382  | 75      | 3   | 113 | 19.19   | 1        | 6       | 0     | -          | 0       | 0         |
| Frank Smailes                | 262     | 5686  | 339     | 42  | 117 | 19.14   | 3        | 23      | 0     | -          | 0       | 0         |
| Robert Moorhouse             | 208     | 5239  | 319     | 45  | 113 | 19.12   | 3        | 25      | 0     | -          | 0       | 0         |
| Ron Aspinall                 | 36      | 763   | 48      | 8   | 75  | 19.07   | 0        | 4       | 0     | -          | 0       | 0         |
| Schofield Haigh              | 513     | 10993 | 687     | 110 | 159 | 19.05   | 4        | 44      | 1     | 1099300.00 | 0       | 0         |
| Thomas Birtles               | 37      | 876   | 57      | 11  | 104 | 19.04   | 1        | 0       | 0     | -          | 0       | 0         |
| George Smith                 | 4       | 114   | 7       | 1   | 37  | 19.00   | 0        | 0       | 0     | -          | 0       | 0         |
| George Cawthray              | 4       | 114   | 6       | 0   | 30  | 19.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Michael Cownley              | 2       | 19    | 2       | 1   | 19  | 19.00   | 0        | 0       | 0     | -          | 0       | 0         |
| David Wigley                 | 1       | 19    | 2       | 1   | 15  | 19.00   | 0        | 0       | 31    | 61.29      | 0       | 0         |
| Mitchell Claydon             | 3       | 38    | 2       | 0   | 38  | 19.00   | 0        | 0       | 50    | 76.00      | 0       | 0         |
| Norman Kilner                | 69      | 1253  | 73      | 7   | 112 | 18.98   | 2        | 6       | 0     | -          | 11      | 0         |
| Harry Duke                   | 17      | 436   | 25      | 2   | 54  | 18.95   | 0        | 2       | 1215  | 35.88      | 0       | 0         |
| Freddie Jakeman              | 10      | 262   | 16      | 2   | 51  | 18.71   | 0        | 1       | 0     | -          | 3       | 0         |
| Deon Kruis                   | 54      | 617   | 64      | 31  | 50  | 18.69   | 0        | 1       | 1020  | 60.49      | 0       | 0         |
| George Betts                 | 2       | 56    | 4       | 1   | 44  | 18.66   | 0        | 0       | 0     | -          | 0       | 0         |
| Hubert Padgett               | 6       | 56    | 7       | 4   | 32  | 18.66   | 0        | 0       | 0     | -          | 0       | 0         |
| Irwin Grimshaw               | 125     | 3354  | 194     | 14  | 129 | 18.63   | 4        | 5       | 0     | -          | 0       | 0         |
| Arthur Sellers               | 51      | 1677  | 91      | 1   | 105 | 18.63   | 2        | 6       | 0     | -          | 0       | 0         |
| Frank Dennis                 | 89      | 1332  | 100     | 28  | 67  | 18.50   | 0        | 3       | 0     | -          | 0       | 0         |
| Simon Katich                 | 1       | 37    | 2       | 0   | 21  | 18.50   | 0        | 0       | 88    | 42.04      | 8       | 0         |
| Alec Coxon                   | 142     | 2747  | 182     | 33  | 83  | 18.43   | 0        | 13      | 0     | -          | 0       | 0         |
| John Whitehead               | 37      | 387   | 38      | 17  | 58  | 18.42   | 0        | 1       | 0     | -          | 1       | 0         |
| William Fraine               | 21      | 663   | 38      | 2   | 106 | 18.41   | 1        | 1       | 1600  | 41.43      | 0       | 0         |
| Darren Gough                 | 146     | 2922  | 188     | 29  | 121 | 18.37   | 1        | 13      | 2411  | 121.19     | 0       | 0         |
| Hubert Myers                 | 201     | 4450  | 289     | 46  | 91  | 18.31   | 0        | 15      | 2     | 222500.00  | 0       | 0         |
| Frank Milligan               | 81      | 1879  | 113     | 10  | 74  | 18.24   | 0        | 10      | 0     | -          | 0       | 0         |
| Jack Brooks                  | 81      | 1229  | 102     | 34  | 109 | 18.07   | 1        | 2       | 2108  | 58.30      | 0       | 0         |
| Andrew Greenwood             | 94      | 2755  | 165     | 12  | 91  | 18.00   | 0        | 12      | 0     | -          | 0       | 0         |
| John Pearson                 | 3       | 54    | 3       | 0   | 44  | 18.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Ian Houseman                 | 5       | 18    | 2       | 1   | 18  | 18.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Rhodes                | 61      | 917   | 70      | 19  | 64  | 17.98   | 0        | 2       | 0     | -          | 0       | 0         |
| George Macaulay              | 445     | 5716  | 430     | 112 | 125 | 17.97   | 3        | 19      | 0     | -          | 0       | 0         |
| Chris Taylor                 | 20      | 539   | 33      | 3   | 52  | 17.96   | 0        | 2       | 1577  | 34.17      | 0       | 0         |
| Hedley Verity                | 278     | 3896  | 294     | 77  | 101 | 17.95   | 1        | 8       | 0     | -          | 0       | 0         |
| Scott Richardson             | 13      | 377   | 23      | 2   | 69  | 17.95   | 0        | 3       | 1033  | 36.49      | 0       | 0         |
| Herbert Rhodes               | 10      | 269   | 16      | 1   | 64  | 17.93   | 0        | 2       | 0     | -          | 0       | 0         |
| Charles Grimshaw             | 54      | 1219  | 75      | 7   | 85  | 17.92   | 0        | 4       | 1     | 121900.00  | 0       | 0         |
| Harold Beaumont              | 28      | 716   | 46      | 6   | 60  | 17.90   | 0        | 4       | 0     | -          | 0       | 0         |
| John Bell                    | 7       | 125   | 8       | 1   | 54  | 17.85   | 0        | 1       | 0     | -          | 3       | 0         |
| Chris Balderstone            | 68      | 1332  | 81      | 6   | 82  | 17.76   | 0        | 7       | 0     | -          | 8       | 0         |
| Herbert Sedgwick             | 3       | 53    | 5       | 2   | 34  | 17.66   | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Chadwick               | 6       | 106   | 9       | 3   | 59  | 17.66   | 0        | 1       | 0     | -          | 0       | 0         |
| Harry Leadbeater             | 6       | 141   | 10      | 2   | 65  | 17.62   | 0        | 1       | 0     | -          | 0       | 0         |
| George Wilson                | 15      | 352   | 25      | 5   | 55  | 17.60   | 0        | 2       | 0     | -          | 0       | 0         |
| Eddie Bates                  | 113     | 2634  | 167     | 15  | 81  | 17.32   | 0        | 11      | 0     | -          | 4       | 0         |
| Alex Morris                  | 16      | 362   | 23      | 2   | 60  | 17.23   | 0        | 1       | 433   | 83.60      | 0       | 0         |
| Saul Wade                    | 66      | 1566  | 112     | 20  | 74  | 17.02   | 0        | 5       | 0     | -          | 0       | 0         |
| Gareth Clough                | 1       | 34    | 2       | 0   | 33  | 17.00   | 0        | 0       | 91    | 37.36      | 0       | 0         |
| Joseph Rowbotham             | 100     | 2779  | 174     | 10  | 113 | 16.94   | 3        | 6       | 0     | -          | 2       | 3         |
| Walter Smith                 | 5       | 152   | 9       | 0   | 59  | 16.88   | 0        | 1       | 0     | -          | 0       | 0         |
| Alan Ramage                  | 23      | 219   | 22      | 9   | 52  | 16.84   | 0        | 1       | 0     | -          | 0       | 0         |
| Jack Birkenshaw              | 30      | 588   | 42      | 7   | 42  | 16.80   | 0        | 0       | 0     | -          | 6       | 0         |
| William Woodhouse            | 9       | 218   | 13      | 0   | 63  | 16.76   | 0        | 2       | 0     | -          | 0       | 0         |
| Peter Squires                | 49      | 1271  | 84      | 8   | 70  | 16.72   | 0        | 4       | 0     | -          | 0       | 0         |
| Rockley Wilson               | 66      | 902   | 72      | 18  | 104 | 16.70   | 1        | 4       | 0     | -          | 3       | 0         |
| Paul Jarvis                  | 138     | 1898  | 160     | 46  | 80  | 16.64   | 0        | 5       | 684   | 277.48     | 0       | 0         |
| James Logan                  | 2       | 33    | 3       | 1   | 20  | 16.50   | 0        | 0       | 170   | 19.41      | 0       | 0         |
| Edward Lumb                  | 14      | 311   | 23      | 4   | 70  | 16.36   | 0        | 2       | 0     | -          | 0       | 0         |
| Henry Lockwood               | 16      | 408   | 27      | 2   | 90  | 16.32   | 0        | 2       | 0     | -          | 0       | 0         |
| William Lancaster            | 7       | 163   | 10      | 0   | 51  | 16.30   | 0        | 1       | 0     | -          | 0       | 0         |
| William Smith                | 11      | 260   | 19      | 3   | 90  | 16.25   | 0        | 2       | 0     | -          | 0       | 0         |
| Chris Silverwood             | 131     | 2369  | 179     | 33  | 80  | 16.22   | 0        | 8       | 3205  | 73.91      | 1       | 0         |
| Fred Smith                   | 13      | 292   | 19      | 1   | 55  | 16.22   | 0        | 2       | 0     | -          | 0       | 0         |
| John Newstead                | 96      | 1791  | 128     | 17  | 100 | 16.13   | 1        | 5       | 0     | -          | 0       | 0         |
| Simon Guy                    | 37      | 742   | 52      | 6   | 52  | 16.13   | 0        | 1       | 1421  | 52.21      | 0       | 0         |
| Joseph Oates                 | 1       | 32    | 2       | 0   | 23  | 16.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Tommy Lodge                  | 2       | 48    | 3       | 0   | 30  | 16.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Josh Shaw                    | 8       | 144   | 11      | 2   | 42  | 16.00   | 0        | 0       | 390   | 36.92      | 0       | 0         |
| Johnny Wardle                | 330     | 5765  | 418     | 57  | 79  | 15.96   | 0        | 15      | 0     | -          | 0       | 0         |
| Naved-ul-Hasan               | 11      | 207   | 16      | 3   | 32  | 15.92   | 0        | 0       | 247   | 83.80      | 3       | 0         |
| John Thewlis                 | 47      | 1317  | 86      | 3   | 108 | 15.86   | 1        | 4       | 0     | -          | 0       | 0         |
| William Woolhouse            | 4       | 126   | 8       | 0   | 31  | 15.75   | 0        | 0       | 0     | -          | 0       | 0         |
| Elisha Rawlinson             | 37      | 991   | 68      | 5   | 55  | 15.73   | 0        | 2       | 0     | -          | 1       | 0         |
| William Worsley              | 60      | 722   | 50      | 4   | 60  | 15.69   | 0        | 2       | 0     | -          | 0       | 0         |
| Joseph Preston               | 80      | 1944  | 135     | 11  | 93  | 15.67   | 0        | 8       | 0     | -          | 0       | 0         |
| Joseph Mounsey               | 93      | 1955  | 146     | 21  | 64  | 15.64   | 0        | 7       | 0     | -          | 0       | 0         |
| Thomas Wardall               | 45      | 1141  | 76      | 3   | 112 | 15.63   | 3        | 2       | 0     | -          | 0       | 0         |
| Ben Coad                     | 53      | 749   | 72      | 24  | 69  | 15.60   | 0        | 1       | 1163  | 64.40      | 0       | 0         |
| Robert Frank                 | 19      | 390   | 29      | 4   | 92  | 15.60   | 0        | 2       | 0     | -          | 0       | 0         |
| Harry Pearson                | 4       | 31    | 7       | 5   | 10  | 15.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Horace Fisher                | 52      | 681   | 58      | 14  | 76  | 15.47   | 0        | 2       | 0     | -          | 0       | 0         |
| Lees Whitehead               | 119     | 2073  | 172     | 38  | 67  | 15.47   | 0        | 10      | 0     | -          | 1       | 0         |
| Karl Carver                  | 8       | 108   | 13      | 6   | 20  | 15.42   | 0        | 0       | 333   | 32.43      | 0       | 0         |
| Alfred Smith                 | 28      | 692   | 49      | 4   | 89  | 15.37   | 0        | 2       | 0     | -          | 0       | 0         |
| Matthew Myers                | 21      | 537   | 39      | 4   | 49  | 15.34   | 0        | 0       | 0     | -          | 0       | 0         |
| Matthew Fisher               | 20      | 322   | 27      | 6   | 47  | 15.33   | 0        | 0       | 1027  | 31.35      | 0       | 0         |
| James Middlebrook            | 29      | 534   | 38      | 3   | 84  | 15.25   | 0        | 1       | 1385  | 38.55      | 3       | 0         |
| Tom Loten                    | 7       | 137   | 9       | 0   | 58  | 15.22   | 0        | 1       | 434   | 31.56      | 0       | 0         |
| Roy Booth                    | 65      | 730   | 76      | 28  | 53  | 15.20   | 0        | 1       | 0     | -          | 27      | 14        |
| Steven Patterson             | 183     | 2699  | 226     | 48  | 63  | 15.16   | 0        | 4       | 6912  | 39.04      | 0       | 0         |
| Fred Trueman                 | 459     | 6852  | 533     | 81  | 104 | 15.15   | 2        | 21      | 0     | -          | 0       | 0         |
| Tom Emmett                   | 298     | 6345  | 483     | 64  | 104 | 15.14   | 1        | 19      | 0     | -          | 0       | 0         |
| Samuel Flaxington            | 4       | 121   | 8       | 0   | 57  | 15.12   | 0        | 1       | 0     | -          | 0       | 0         |
| John Tasker                  | 31      | 586   | 43      | 4   | 67  | 15.02   | 0        | 3       | 0     | -          | 0       | 0         |
| Emmanuel Vincent             | 7       | 165   | 13      | 2   | 36  | 15.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Sharpe               | 1       | 15    | 1       | 0   | 15  | 15.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Wheater              | 2       | 45    | 4       | 1   | 27  | 15.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Jeremy Batty                 | 64      | 703   | 67      | 20  | 51  | 14.95   | 0        | 2       | 301   | 233.55     | 0       | 0         |
| Duanne Olivier               | 25      | 224   | 32      | 17  | 24  | 14.93   | 0        | 0       | 573   | 39.09      | 0       | 0         |
| Howard Cooper                | 98      | 1159  | 107     | 29  | 56  | 14.85   | 0        | 1       | 0     | -          | 0       | 0         |
| Jimmy Binks                  | 491     | 6745  | 587     | 128 | 95  | 14.69   | 0        | 17      | 0     | -          | 1       | 0         |
| Fred Blake                   | 2       | 44    | 3       | 0   | 21  | 14.66   | 0        | 0       | 0     | -          | 0       | 0         |
| Archibald White              | 97      | 1457  | 128     | 28  | 55  | 14.57   | 0        | 4       | 0     | -          | 0       | 0         |
| William Cartman              | 4       | 116   | 8       | 0   | 49  | 14.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Yuvraj Singh                 | 7       | 145   | 12      | 2   | 56  | 14.50   | 0        | 1       | 335   | 43.28      | 0       | 0         |
| George Freeman               | 32      | 752   | 54      | 2   | 53  | 14.46   | 0        | 3       | 0     | -          | 0       | 0         |
| Simon Widdup                 | 11      | 245   | 18      | 1   | 44  | 14.41   | 0        | 0       | 675   | 36.29      | 0       | 0         |
| Ryan Sidebottom              | 137     | 1674  | 172     | 55  | 61  | 14.30   | 0        | 3       | 4793  | 34.92      | 5       | 0         |
| Theodore Dury                | 13      | 329   | 24      | 1   | 46  | 14.30   | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Prest                | 2       | 57    | 4       | 0   | 31  | 14.25   | 0        | 0       | 0     | -          | 0       | 0         |
| Harry Bedford                | 5       | 57    | 5       | 1   | 24  | 14.25   | 0        | 0       | 0     | -          | 0       | 0         |
| John Hicks                   | 15      | 313   | 25      | 3   | 66  | 14.22   | 0        | 1       | 0     | -          | 0       | 0         |
| Edward Roper                 | 5       | 85    | 7       | 1   | 68  | 14.16   | 0        | 1       | 0     | -          | 1       | 0         |
| Jonathan Joy                 | 8       | 198   | 14      | 0   | 74  | 14.14   | 0        | 1       | 0     | -          | 0       | 0         |
| Geoff Cope                   | 230     | 2241  | 249     | 89  | 78  | 14.00   | 0        | 5       | 0     | -          | 0       | 0         |
| George Berry                 | 4       | 98    | 7       | 0   | 40  | 14.00   | 0        | 0       | 0     | -          | 0       | 0         |
| JH Wood                      | 2       | 14    | 1       | 0   | 14  | 14.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Pullan                 | 1       | 14    | 1       | 0   | 14  | 14.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Jonny Read                   | 1       | 14    | 1       | 0   | 14  | 14.00   | 0        | 0       | 43    | 32.55      | 2       | 0         |
| John Berry                   | 38      | 890   | 70      | 6   | 78  | 13.90   | 0        | 2       | 0     | -          | 0       | 0         |
| Don Wilson                   | 392     | 5788  | 502     | 85  | 83  | 13.88   | 0        | 10      | 3     | 192933.33  | 0       | 0         |
| Tom Armitage                 | 51      | 1053  | 84      | 8   | 95  | 13.85   | 0        | 3       | 0     | -          | 0       | 0         |
| Isaac Bottomley              | 9       | 166   | 12      | 0   | 32  | 13.83   | 0        | 0       | 0     | -          | 0       | 0         |
| Eddie Leadbeater             | 81      | 898   | 94      | 29  | 91  | 13.81   | 0        | 1       | 0     | -          | 2       | 0         |
| Thomas Hornby                | 2       | 55    | 4       | 0   | 22  | 13.75   | 0        | 0       | 0     | -          | 0       | 0         |
| John Blain                   | 15      | 137   | 17      | 7   | 28  | 13.70   | 0        | 0       | 396   | 34.59      | 0       | 0         |
| Tom Marsden                  | 5       | 123   | 9       | 0   | 53  | 13.66   | 0        | 1       | 0     | -          | 0       | 0         |
| Neil Smith                   | 8       | 82    | 11      | 5   | 20  | 13.66   | 0        | 0       | 0     | -          | 17      | 0         |
| Claude Anson                 | 1       | 27    | 2       | 0   | 14  | 13.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Dominic Drakes               | 1       | 27    | 2       | 0   | 21  | 13.50   | 0        | 0       | 81    | 33.33      | 0       | 0         |
| Henry Hill                   | 14      | 337   | 27      | 2   | 34  | 13.48   | 0        | 0       | 0     | -          | 0       | 0         |
| Keith Gillhouley             | 24      | 323   | 31      | 7   | 56  | 13.45   | 0        | 1       | 0     | -          | 2       | 0         |
| Martin Riley                 | 17      | 361   | 28      | 1   | 92  | 13.37   | 0        | 1       | 0     | -          | 0       | 0         |
| Joseph Dawes                 | 5       | 93    | 9       | 2   | 28  | 13.28   | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Broadbent             | 3       | 66    | 5       | 0   | 29  | 13.20   | 0        | 0       | 0     | -          | 0       | 0         |
| George Coates                | 13      | 263   | 22      | 2   | 59  | 13.15   | 0        | 2       | 0     | -          | 0       | 0         |
| Eric Burgin                  | 12      | 92    | 10      | 3   | 32  | 13.14   | 0        | 0       | 0     | -          | 0       | 0         |
| Edwin Stephenson             | 43      | 918   | 75      | 5   | 67  | 13.11   | 0        | 3       | 0     | -          | 0       | 0         |
| Geoffry Tattersall           | 1       | 26    | 2       | 0   | 26  | 13.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Kenelm Lister-Kaye           | 2       | 13    | 2       | 1   | 7   | 13.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Abe Waddington               | 255     | 2396  | 250     | 65  | 114 | 12.95   | 1        | 3       | 0     | -          | 0       | 0         |
| Ronnie Burnet                | 54      | 889   | 75      | 6   | 54  | 12.88   | 0        | 3       | 0     | -          | 0       | 0         |
| Thomas Darnton               | 15      | 322   | 26      | 1   | 81  | 12.88   | 0        | 1       | 0     | -          | 0       | 0         |
| Richard Stemp                | 104     | 1267  | 135     | 36  | 65  | 12.79   | 0        | 2       | 1120  | 113.12     | 1       | 0         |
| George Bayes                 | 18      | 165   | 24      | 11  | 36  | 12.69   | 0        | 0       | 0     | -          | 0       | 0         |
| Barry Wood                   | 5       | 63    | 7       | 2   | 35  | 12.60   | 0        | 0       | 0     | -          | 14      | 0         |
| Ellis Robinson               | 208     | 2597  | 253     | 46  | 75  | 12.54   | 0        | 8       | 0     | -          | 3       | 0         |
| William Fletcher             | 6       | 100   | 10      | 2   | 31  | 12.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Iain Priestley               | 2       | 25    | 4       | 2   | 23  | 12.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Jacques               | 28      | 162   | 20      | 7   | 35  | 12.46   | 0        | 0       | 0     | -          | 0       | 0         |
| Abraham Sowden               | 8       | 137   | 11      | 0   | 37  | 12.45   | 0        | 0       | 0     | -          | 0       | 0         |
| William Cuttell              | 15      | 272   | 29      | 7   | 56  | 12.36   | 0        | 1       | 0     | -          | 0       | 0         |
| Mark Lawson                  | 15      | 197   | 21      | 5   | 44  | 12.31   | 0        | 0       | 421   | 46.79      | 0       | 0         |
| Geoffrey Wilson              | 92      | 983   | 94      | 14  | 70  | 12.28   | 0        | 3       | 0     | -          | 0       | 0         |
| Joseph Hydes                 | 2       | 49    | 4       | 0   | 20  | 12.25   | 0        | 0       | 0     | -          | 0       | 0         |
| George Atkinson              | 32      | 465   | 47      | 9   | 44  | 12.23   | 0        | 0       | 0     | -          | 0       | 0         |
| Herbert Sims                 | 5       | 109   | 10      | 1   | 35  | 12.11   | 0        | 0       | 0     | -          | 0       | 0         |
| David Eastwood               | 29      | 591   | 51      | 2   | 68  | 12.06   | 0        | 3       | 0     | -          | 0       | 0         |
| John Mccoy                   | 1       | 24    | 2       | 0   | 24  | 12.00   | 0        | 0       | 0     | -          | 0       | 0         |
| John Shaw                    | 1       | 12    | 1       | 0   | 12  | 12.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Wright                | 1       | 12    | 1       | 0   | 12  | 12.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Anthony King                 | 1       | 12    | 1       | 0   | 12  | 12.00   | 0        | 0       | 0     | -          | 0       | 0         |
| James Lee                    | 2       | 24    | 3       | 1   | 21  | 12.00   | 0        | 0       | 50    | 48.00      | 0       | 0         |
| Jeet Raval                   | 4       | 84    | 7       | 0   | 21  | 12.00   | 0        | 0       | 185   | 45.40      | 0       | 0         |
| Harry Stanley                | 8       | 155   | 13      | 0   | 42  | 11.92   | 0        | 0       | 0     | -          | 0       | 0         |
| Luke Greenwood               | 51      | 927   | 90      | 12  | 83  | 11.88   | 0        | 3       | 0     | -          | 0       | 0         |
| Harry Taylor                 | 9       | 153   | 13      | 0   | 36  | 11.76   | 0        | 0       | 0     | -          | 0       | 0         |
| David Hunter                 | 520     | 4238  | 686     | 325 | 58  | 11.73   | 0        | 1       | 0     | -          | 0       | 0         |
| Tony Nicholson               | 282     | 1667  | 267     | 125 | 50  | 11.73   | 0        | 1       | 0     | -          | 0       | 0         |
| Paul Hutchison               | 39      | 187   | 39      | 23  | 30  | 11.68   | 0        | 0       | 936   | 19.97      | 0       | 0         |
| Walter Robinson              | 7       | 151   | 14      | 1   | 68  | 11.61   | 0        | 1       | 0     | -          | 6       | 0         |
| Tom Burlinson                | 3       | 58    | 5       | 0   | 22  | 11.60   | 0        | 0       | 0     | -          | 0       | 0         |
| Emmanuel Blamires            | 1       | 23    | 2       | 0   | 17  | 11.50   | 0        | 0       | 0     | -          | 2       | 0         |
| Charles Whiting              | 6       | 92    | 10      | 2   | 26  | 11.50   | 0        | 0       | 0     | -          | 0       | 0         |
| Mark Cleary                  | 2       | 23    | 2       | 0   | 12  | 11.50   | 0        | 0       | 48    | 47.91      | 1       | 0         |
| Arthur Dolphin               | 427     | 3323  | 446     | 157 | 66  | 11.49   | 0        | 7       | 1     | 332300.00  | 0       | 0         |
| John Brown                   | 30      | 333   | 32      | 3   | 37  | 11.48   | 0        | 0       | 0     | -          | 0       | 0         |
| Tony Clarkson                | 6       | 80    | 8       | 1   | 30  | 11.42   | 0        | 0       | 0     | -          | 5       | 0         |
| John Waring                  | 28      | 137   | 27      | 15  | 26  | 11.41   | 0        | 0       | 0     | -          | 0       | 0         |
| Robert Baker                 | 3       | 45    | 5       | 1   | 22  | 11.25   | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Stringer               | 19      | 101   | 17      | 8   | 15  | 11.22   | 0        | 0       | 0     | -          | 1       | 0         |
| Charles Appleton             | 3       | 56    | 6       | 1   | 18  | 11.20   | 0        | 0       | 0     | -          | 0       | 0         |
| Tom Hunt                     | 9       | 145   | 14      | 1   | 36  | 11.15   | 0        | 0       | 0     | -          | 1       | 0         |
| Bernard Wake                 | 5       | 78    | 7       | 0   | 19  | 11.14   | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Barker                | 6       | 89    | 9       | 1   | 37  | 11.12   | 0        | 0       | 0     | -          | 0       | 0         |
| Matthew Hoggard              | 101     | 956   | 120     | 34  | 89  | 11.11   | 0        | 4       | 2557  | 37.38      | 0       | 0         |
| Harry Hayley                 | 7       | 122   | 12      | 1   | 24  | 11.09   | 0        | 0       | 0     | -          | 0       | 0         |
| Edmund Carter                | 14      | 210   | 21      | 2   | 39  | 11.05   | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Boothroyd              | 1       | 22    | 2       | 0   | 14  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| John Mills                   | 1       | 11    | 2       | 1   | 7   | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Ernest Hirst                 | 2       | 33    | 3       | 0   | 28  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Wilson Earnshaw              | 6       | 44    | 7       | 3   | 23  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Fred Smith                   | 1       | 11    | 1       | 0   | 11  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Michael Crawford             | 1       | 22    | 2       | 0   | 13  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Brian James                  | 4       | 22    | 5       | 3   | 11  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Whiteley               | 45      | 231   | 38      | 17  | 20  | 11.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Ben Mike                     | 1       | 22    | 2       | 0   | 14  | 11.00   | 0        | 0       | 30    | 73.33      | 1       | 0         |
| Chris Shaw                   | 61      | 340   | 58      | 27  | 31  | 10.96   | 0        | 0       | 28    | 1214.28    | 0       | 0         |
| Everard Radcliffe            | 64      | 826   | 89      | 13  | 54  | 10.86   | 0        | 2       | 0     | -          | 0       | 0         |
| Edmund Peate                 | 154     | 1793  | 226     | 61  | 95  | 10.86   | 0        | 3       | 0     | -          | 0       | 0         |
| Alban Turner                 | 9       | 163   | 16      | 1   | 37  | 10.86   | 0        | 0       | 0     | -          | 0       | 0         |
| Stell Haggas                 | 31      | 478   | 47      | 3   | 43  | 10.86   | 0        | 0       | 0     | -          | 0       | 0         |
| Robert Clayton               | 70      | 992   | 115     | 23  | 62  | 10.78   | 0        | 1       | 0     | -          | 0       | 0         |
| Edward Firth                 | 2       | 43    | 4       | 0   | 37  | 10.75   | 0        | 0       | 0     | -          | 0       | 0         |
| John Stephenson              | 16      | 182   | 19      | 2   | 60  | 10.70   | 0        | 1       | 0     | -          | 0       | 0         |
| Don Brennan                  | 204     | 1653  | 221     | 66  | 47  | 10.66   | 0        | 0       | 0     | -          | 2       | 1         |
| George Pinder                | 124     | 1639  | 198     | 44  | 57  | 10.64   | 0        | 2       | 0     | -          | 0       | 0         |
| Samuel Baldwinson            | 10      | 159   | 16      | 1   | 52  | 10.60   | 0        | 1       | 0     | -          | 1       | 1         |
| Edward Hirst                 | 21      | 328   | 33      | 2   | 87  | 10.58   | 0        | 1       | 0     | -          | 0       | 0         |
| Ernest Smith                 | 16      | 169   | 21      | 5   | 49  | 10.56   | 0        | 0       | 1     | 16900.00   | 0       | 0         |
| Arthur Lupton                | 104     | 668   | 79      | 15  | 43  | 10.43   | 0        | 0       | 0     | -          | 0       | 0         |
| Hugh Wood                    | 10      | 156   | 16      | 1   | 36  | 10.40   | 0        | 0       | 0     | -          | 1       | 0         |
| James Higgins                | 9       | 93    | 14      | 5   | 28  | 10.33   | 0        | 0       | 0     | -          | 0       | 0         |
| Ken Smales                   | 13      | 165   | 19      | 3   | 45  | 10.31   | 0        | 0       | 0     | -          | 4       | 0         |
| Joseph Berry                 | 5       | 82    | 8       | 0   | 30  | 10.25   | 0        | 0       | 0     | -          | 0       | 0         |
| James Yeadon                 | 3       | 41    | 6       | 2   | 22  | 10.25   | 0        | 0       | 0     | -          | 0       | 0         |
| John Padgett                 | 6       | 92    | 9       | 0   | 22  | 10.22   | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Blackburn             | 6       | 102   | 11      | 1   | 28  | 10.20   | 0        | 0       | 0     | -          | 0       | 0         |
| Harold Kaye                  | 18      | 243   | 25      | 1   | 37  | 10.12   | 0        | 0       | 0     | -          | 0       | 0         |
| Ken Fiddling                 | 18      | 182   | 24      | 6   | 25  | 10.11   | 0        | 0       | 0     | -          | 7       | 9         |
