+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Ashley Metcalfe              | 184     | 10465 | 317     | 19  | 216 | 35.11   | 25       | 48      | 2617  | 399.88     | 0       | 0         |
| Tom Taylor                   | 82      | 3933  | 122     | 10  | 156 | 35.11   | 8        | 22      | 0     | -          | 2       | 1         |
| Alex Lees                    | 82      | 4528  | 140     | 11  | 275 | 35.10   | 11       | 22      | 9373  | 48.30      | 1       | 0         |
| George Hirst                 | 717     | 32035 | 1051    | 129 | 341 | 34.74   | 56       | 175     | 3     | 1067833.33 | 0       | 0         |
| John Hampshire               | 456     | 21979 | 724     | 89  | 183 | 34.61   | 34       | 121     | 0     | -          | 4       | 0         |
| Adil Rashid                  | 140     | 5620  | 196     | 33  | 180 | 34.47   | 10       | 31      | 10444 | 53.81      | 0       | 0         |
| Richie Richardson            | 23      | 1310  | 39      | 1   | 112 | 34.47   | 1        | 11      | 881   | 148.69     | 0       | 0         |
| Frank Mitchell               | 82      | 4090  | 124     | 5   | 194 | 34.36   | 10       | 17      | 0     | -          | 9       | 0         |
| Jonathan Tattersall          | 39      | 1854  | 61      | 7   | 180 | 34.33   | 2        | 9       | 4441  | 41.74      | 0       | 0         |
| Wilf Barber                  | 354     | 15315 | 495     | 48  | 255 | 34.26   | 27       | 72      | 0     | -          | 0       | 0         |
| Michael Lumb                 | 78      | 4194  | 135     | 12  | 144 | 34.09   | 8        | 25      | 9011  | 46.54      | 6       | 0         |
| Ted Lester                   | 228     | 10616 | 339     | 27  | 186 | 34.02   | 24       | 49      | 0     | -          | 0       | 0         |
| Craig White                  | 221     | 10376 | 350     | 45  | 186 | 34.01   | 19       | 52      | 14993 | 69.20      | 0       | 0         |
| Peter Handscomb              | 9       | 441   | 14      | 1   | 101 | 33.92   | 1        | 2       | 741   | 59.51      | 0       | 0         |
| Stanley Jackson              | 207     | 10371 | 328     | 22  | 160 | 33.89   | 21       | 48      | 0     | -          | 4       | 0         |
| David Denton                 | 676     | 33282 | 1058    | 61  | 221 | 33.38   | 61       | 173     | 2     | 1664100.00 | 0       | 0         |
| Matthew Wood                 | 128     | 6742  | 222     | 20  | 207 | 33.37   | 16       | 29      | 13924 | 48.41      | 0       | 0         |
| Tom Kohler-Cadmore           | 46      | 2395  | 77      | 5   | 176 | 33.26   | 6        | 9       | 4808  | 49.81      | 0       | 0         |
| Lee Hodgson                  | 3       | 99    | 3       | 0   | 34  | 33.00   | 0        | 0       | 189   | 52.38      | 0       | 0         |
| Paul Gibb                    | 36      | 1545  | 54      | 7   | 157 | 32.87   | 2        | 10      | 0     | -          | 21      | 4         |
| Joe Sayers                   | 97      | 4855  | 161     | 13  | 187 | 32.80   | 9        | 25      | 12921 | 37.57      | 0       | 0         |
| Kenneth Davidson             | 30      | 1331  | 46      | 5   | 128 | 32.46   | 2        | 7       | 0     | -          | 0       | 0         |
| Harry Halliday               | 182     | 8361  | 279     | 18  | 144 | 32.03   | 12       | 53      | 0     | -          | 0       | 0         |
| Norman Yardley               | 302     | 11632 | 420     | 56  | 183 | 31.95   | 17       | 55      | 0     | -          | 5       | 0         |
