+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| Richie Richardson        | Ijaz Ahmed               | 3     |
| Saleem Malik             | Viv Richards             | 3     |
| Kapil Dev                | Gus Logie                | 3     |
| Carl Hooper              | Sanjay Manjrekar         | 3     |
| Phil Simmons             | Saleem Malik             | 3     |
| Arjuna Ranatunga         | Mohammad Azharuddin      | 3     |
| Navjot Sidhu             | Ken Rutherford           | 3     |
| Saleem Malik             | Allan Border             | 3     |
| Javed Miandad            | Carl Hooper              | 3     |
| Viv Richards             | Geoff Marsh              | 3     |
| Desmond Haynes           | Steve Waugh              | 3     |
| Carl Hooper              | Mark Waugh               | 3     |
| Ravi Shastri             | Richie Richardson        | 3     |
| Allan Border             | Curtly Ambrose           | 3     |
| David Boon               | Martin Crowe             | 3     |
| Mark Greatbatch          | Dean Jones               | 3     |
| Sanath Jayasuriya        | Sachin Tendulkar         | 3     |
| Navjot Sidhu             | Roshan Mahanama          | 3     |
| Ian Healy                | Mike Atherton            | 3     |
| Richie Richardson        | Steve Waugh              | 3     |
| Aamer Sohail             | Sachin Tendulkar         | 3     |
| Javagal Srinath          | Wasim Akram              | 3     |
| Mohammad Azharuddin      | Brian Lara               | 3     |
| Inzamam-ul-Haq           | Pramodya Wickramasinghe  | 3     |
| Andy Flower              | Inzamam-ul-Haq           | 3     |
| Mark Waugh               | Roshan Mahanama          | 3     |
| Wasim Akram              | Mark Waugh               | 3     |
| Alistair Campbell        | Mark Waugh               | 3     |
| Javed Miandad            | Phil Simmons             | 3     |
| Sachin Tendulkar         | Hansie Cronje            | 3     |
| Mark Taylor              | Phil Simmons             | 3     |
| Alec Stewart             | Mohammad Azharuddin      | 3     |
| Aamer Sohail             | Carl Hooper              | 3     |
| Sachin Tendulkar         | Graeme Hick              | 3     |
| Sachin Tendulkar         | Muttiah Muralitharan     | 3     |
| Jonty Rhodes             | Roshan Mahanama          | 3     |
| Wasim Akram              | Jimmy Adams              | 3     |
| Saeed Anwar              | Roshan Mahanama          | 3     |
| Phil Simmons             | Roshan Mahanama          | 3     |
| Sanath Jayasuriya        | Andy Waller              | 3     |
| Matthew Hayden           | Chris Cairns             | 3     |
| Daryll Cullinan          | Shane Warne              | 3     |
| Dean Jones               | Hansie Cronje            | 3     |
| David Boon               | Jonty Rhodes             | 3     |
| Gary Kirsten             | Mark Waugh               | 3     |
| Manoj Prabhakar          | Sanath Jayasuriya        | 3     |
| Mark Waugh               | Jonty Rhodes             | 3     |
