+-----------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                                                                                                              | Matches | Wins | Loss | Tied | Others |
| [AJ Strauss, AN Cook, GP Swann, IJL Trott, IR Bell, JM Anderson, KP Pietersen, MJ Prior]                                                            | 23      | 12   | 7    | 0    | 4      |
| [AB de Villiers, AG Prince, DW Steyn, GC Smith, HM Amla, JH Kallis, M Ntini, MV Boucher]                                                            | 22      | 14   | 4    | 0    | 4      |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel, MV Boucher, PL Harris]                                                           | 22      | 9    | 6    | 0    | 7      |
| [AL Logie, CA Walsh, CG Greenidge, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                                  | 21      | 12   | 3    | 0    | 6      |
| [AL Logie, CA Walsh, CEL Ambrose, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                                   | 21      | 12   | 3    | 0    | 6      |
| [AL Logie, CA Walsh, CEL Ambrose, CL Hooper, DL Haynes, MD Marshall, PJL Dujon, RB Richardson]                                                      | 21      | 10   | 4    | 0    | 7      |
| [AJ Strauss, AN Cook, GP Swann, IJL Trott, JM Anderson, KP Pietersen, MJ Prior, SCJ Broad]                                                          | 21      | 10   | 7    | 0    | 4      |
| [AL Logie, CA Walsh, CEL Ambrose, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                        | 18      | 9    | 3    | 0    | 6      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                     | 17      | 10   | 2    | 0    | 5      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, MD Marshall, PJL Dujon, RB Richardson]                                        | 17      | 8    | 3    | 0    | 6      |
| [AB de Villiers, AG Prince, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel, MV Boucher, PL Harris]                                                | 17      | 7    | 3    | 0    | 7      |
| [AJ Strauss, AN Cook, GP Swann, IJL Trott, IR Bell, JM Anderson, KP Pietersen, MJ Prior, SCJ Broad]                                                 | 17      | 7    | 6    | 0    | 4      |
