+-------------------------+----------+--------------+----------------------------------------------------------------+------------+-------------------------------------------------------+
| Player                  | CareerHS | Batting Posn | Match                                                          | StartDate  | Venue                                                 |
| Bishan Bedi             | 61       | 10           | Northamptonshire v Gloucestershire                             | 1974-08-21 | County Ground, Northampton                            |
| Max Walker              | 78       | 9            | Australia v England                                            | 1977-08-25 | Kennington Oval, Kennington                           |
| Mick Malone             | 46       | 10           | Australia v England                                            | 1977-08-25 | Kennington Oval, Kennington                           |
| Joel Garner             | 67       | 9            | Barbados v Jamaica                                             | 1980-04-11 | Kensington Oval, Bridgetown                           |
| Sylvester Clarke        | 29       | 10           | Barbados v Jamaica                                             | 1980-04-11 | Kensington Oval, Bridgetown                           |
| Wayne Daniel            | 53       | 11           | Barbados v Jamaica                                             | 1980-04-11 | Kensington Oval, Bridgetown                           |
| Jon Agnew               | 56       | 10           | Leicestershire v Worcestershire                                | 1982-08-07 | County Ground, New Road, Worcester                    |
| Les Taylor              | 24       | 11           | Leicestershire v Worcestershire                                | 1982-08-07 | County Ground, New Road, Worcester                    |
| John Maguire            | 61       | 9            | Queensland v Tasmania                                          | 1984-11-30 | North Tasmania Cricket Association Ground, Launceston |
| Carl Rackemann          | 17       | 10           | Queensland v Tasmania                                          | 1984-11-30 | North Tasmania Cricket Association Ground, Launceston |
| Maninder Singh          | 61       | 10           | Delhi v Jammu and Kashmir                                      | 1984-12-04 | Roshanara Club Ground, Delhi                          |
| Sunil Valson            | 38       | 11           | Delhi v Jammu and Kashmir                                      | 1984-12-04 | Roshanara Club Ground, Delhi                          |
| Courtney Walsh          | 52       | 10           | Gloucestershire v Yorkshire                                    | 1986-07-02 | The Royal and Sun Alliance County Ground, Bristol     |
| Gary Sainsbury          | 14       | 11           | Gloucestershire v Yorkshire                                    | 1986-07-02 | The Royal and Sun Alliance County Ground, Bristol     |
| Randhir Singh           | 45       | 10           | Bihar v Haryana                                                | 1987-02-14 | Mayur Stadium, Faridabad                              |
| Sekhar Sinha            | 9        | 11           | Bihar v Haryana                                                | 1987-02-14 | Mayur Stadium, Faridabad                              |
| Martin Bicknell         | 40       | 10           | Surrey v Gloucestershire                                       | 1989-06-24 | The Foster's Oval, Kennington                         |
| Tony Murphy             | 38       | 11           | Surrey v Gloucestershire                                       | 1989-06-24 | The Foster's Oval, Kennington                         |
| Steve Andrew            | 15       | 9            | Essex v Middlesex                                              | 1990-06-02 | Valentine's Park, Ilford                              |
| Peter Such              | 27       | 11           | Essex v Middlesex                                              | 1990-06-02 | Valentine's Park, Ilford                              |
| Ian Austin              | 101      | 10           | Lancashire v Yorkshire                                         | 1991-09-03 | North Marine Road, Scarborough                        |
| Peter Martin            | 29       | 11           | Lancashire v Yorkshire                                         | 1991-09-03 | North Marine Road, Scarborough                        |
| Rajesh Yadav            | 75       | 9            | Hyderabad v Karnataka                                          | 1991-12-27 | Gymkhana Ground, Secunderabad                         |
| Kanwaljit Singh         | 18       | 11           | Hyderabad v Karnataka                                          | 1991-12-27 | Gymkhana Ground, Secunderabad                         |
| Pramodya Wickramasinghe | 55       | 10           | Sinhalese Sports Club v Colts Cricket Club                     | 1992-07-23 | Khettarama Stadium, Colombo                           |
| Piyal Wijetunge         | 46       | 11           | Sinhalese Sports Club v Colts Cricket Club                     | 1992-07-23 | Khettarama Stadium, Colombo                           |
| Peter Such              | 35       | 10           | Essex v Hampshire                                              | 1992-08-31 | County Ground, Chelmsford                             |
| John Childs             | 43       | 11           | Essex v Hampshire                                              | 1992-08-31 | County Ground, Chelmsford                             |
| Trevor Packer           | 44       | 10           | Natal v Western Province                                       | 1992-11-20 | Newlands, Cape Town                                   |
| Rowan Lyle              | 35       | 11           | Natal v Western Province                                       | 1992-11-20 | Newlands, Cape Town                                   |
| Nadeem Afzal            | 38       | 10           | Faisalabad v Sargodha                                          | 1994-01-29 | Bohranwala Ground, Faisalabad                         |
| Naved Nazir             | 30       | 11           | Faisalabad v Sargodha                                          | 1994-01-29 | Bohranwala Ground, Faisalabad                         |
| Mark Ilott              | 60       | 9            | England A v Warwickshire                                       | 1995-04-18 | Edgbaston, Birmingham                                 |
| Min Patel               | 55       | 10           | England A v Warwickshire                                       | 1995-04-18 | Edgbaston, Birmingham                                 |
| David Freedman          | 54       | 10           | New South Wales v South Australia                              | 1996-03-23 | Sydney Cricket Ground, Sydney                         |
| Glenn McGrath           | 18       | 11           | New South Wales v South Australia                              | 1996-03-23 | Sydney Cricket Ground, Sydney                         |
| Dean Payne              | 23       | 9            | Western Province B v Easterns                                  | 1996-11-29 | Newlands, Cape Town                                   |
| Dean MacHelm            | 15       | 11           | Western Province B v Easterns                                  | 1996-11-29 | Newlands, Cape Town                                   |
| David Millns            | 114      | 9            | Leicestershire v Hampshire                                     | 1997-05-14 | County Ground, Southampton                            |
| Matthew Brimson         | 25       | 11           | Leicestershire v Hampshire                                     | 1997-05-14 | County Ground, Southampton                            |
| Adrian Pierson          | 59       | 9            | Leicestershire v Durham                                        | 1997-09-18 | Grace Road, Leicester                                 |
| Matthew Brimson         | 30       | 11           | Leicestershire v Durham                                        | 1997-09-18 | Grace Road, Leicester                                 |
| Garth Roe               | 31       | 10           | Griqualand West v Border                                       | 1997-11-27 | Kimberley Country Club, Kimberley                     |
| Adriaan Swanepoel       | 39       | 11           | Griqualand West v Border                                       | 1997-11-27 | Kimberley Country Club, Kimberley                     |
| Javagal Srinath         | 76       | 9            | India v New Zealand                                            | 1999-01-02 | WestpacTrust Park, Hamilton                           |
| Venkatesh Prasad        | 30       | 10           | India v New Zealand                                            | 1999-01-02 | WestpacTrust Park, Hamilton                           |
| Garth Roe               | 38       | 9            | Griqualand West v Northerns                                    | 1999-11-04 | De Beers Diamond Oval, Kimberley                      |
| Deon Kruis              | 47       | 10           | Griqualand West v Northerns                                    | 1999-11-04 | De Beers Diamond Oval, Kimberley                      |
| Paul Adams              | 42       | 10           | Western Province v KwaZulu-Natal                               | 2000-11-10 | Newlands, Cape Town                                   |
| Charl Willoughby        | 17       | 11           | Western Province v KwaZulu-Natal                               | 2000-11-10 | Newlands, Cape Town                                   |
| Arshad Khan             | 59       | 9            | Peshawar v Sheikhupura                                         | 2002-02-18 | Arbab Niaz Stadium, Peshawar                          |
| Kabir Khan              | 66       | 10           | Peshawar v Sheikhupura                                         | 2002-02-18 | Arbab Niaz Stadium, Peshawar                          |
| John Wood               | 64       | 9            | Lancashire v Yorkshire                                         | 2002-07-19 | Headingley, Leeds                                     |
| Gary Keedy              | 57       | 10           | Lancashire v Yorkshire                                         | 2002-07-19 | Headingley, Leeds                                     |
| Kevin Dean              | 54       | 10           | Derbyshire v Worcestershire                                    | 2002-08-14 | County Ground, Derby                                  |
| Lian Wharton            | 16       | 11           | Derbyshire v Worcestershire                                    | 2002-08-14 | County Ground, Derby                                  |
| Rangana Herath          | 71       | 9            | Moors Sports Club v Galle Cricket Club                         | 2002-11-01 | Moors Sports Club Ground, Colombo                     |
| Nandika Ranjith         | 50       | 10           | Moors Sports Club v Galle Cricket Club                         | 2002-11-01 | Moors Sports Club Ground, Colombo                     |
| Chaminda Vaas           | 104      | 9            | Uva v North Central Province                                   | 2004-01-17 | Rangiri Dambulla International Stadium, Dambulla      |
| Niroshan Bandaratilleke | 80       | 10           | Uva v North Central Province                                   | 2004-01-17 | Rangiri Dambulla International Stadium, Dambulla      |
| Jason Lewry             | 72       | 10           | Sussex v Surrey                                                | 2004-04-16 | The Brit Oval, Kennington                             |
| Mohammad Akram          | 31       | 11           | Sussex v Surrey                                                | 2004-04-16 | The Brit Oval, Kennington                             |
| Matthew Hoggard         | 38       | 9            | England v West Indies                                          | 2004-08-19 | The Brit Oval, Kennington                             |
| Stephen Harmison        | 36       | 10           | England v West Indies                                          | 2004-08-19 | The Brit Oval, Kennington                             |
| Ranadeb Bose            | 18       | 10           | Bengal v Gujarat                                               | 2005-12-25 | Lalabhai Contractor Stadium, Surat                    |
| Shib Paul               | 18       | 11           | Bengal v Gujarat                                               | 2005-12-25 | Lalabhai Contractor Stadium, Surat                    |
| Andre Nel               | 96       | 9            | Surrey v Northamptonshire                                      | 2010-05-24 | County Ground, Northampton                            |
| Jade Dernbach           | 56       | 11           | Surrey v Northamptonshire                                      | 2010-05-24 | County Ground, Northampton                            |
| Junaid Zia              | 100      | 9            | Zarai Taraqiati Bank Limited v Islamabad                       | 2010-11-10 | Diamond Club Ground, Islamabad                        |
| Shakeel Ansar           | 57       | 10           | Zarai Taraqiati Bank Limited v Islamabad                       | 2010-11-10 | Diamond Club Ground, Islamabad                        |
| Mohammad Sharif         | 147      | 9            | Dhaka Division v Rajshahi Division                             | 2011-03-28 | Khan Shaheb Osman Ali Stadium, Fatullah               |
| Mosharraf Hossain       | 104      | 10           | Dhaka Division v Rajshahi Division                             | 2011-03-28 | Khan Shaheb Osman Ali Stadium, Fatullah               |
| Ravindra Palleguruge    | 42       | 10           | Sri Lanka Army Sports Club v Badureliya Sports Club            | 2014-01-31 | Surrey Village Cricket Ground, Maggona                |
| Nuwan Liyanapathirana   | 33       | 11           | Sri Lanka Army Sports Club v Badureliya Sports Club            | 2014-01-31 | Surrey Village Cricket Ground, Maggona                |
| Dane Piedt              | 92       | 9            | Cape Cobras v Lions                                            | 2014-04-03 | Bidvest Wanderers Stadium, Johannesburg               |
| Travis Muller           | 29       | 10           | Cape Cobras v Lions                                            | 2014-04-03 | Bidvest Wanderers Stadium, Johannesburg               |
| Raza Hasan              | 123      | 9            | National Bank of Pakistan v Sui Northern Gas Pipelines Limited | 2014-12-22 | National Stadium, Karachi                             |
| Zia-ul-Haq              | 28       | 11           | National Bank of Pakistan v Sui Northern Gas Pipelines Limited | 2014-12-22 | National Stadium, Karachi                             |
| Steve O'Keefe           | 99       | 9            | New South Wales v Tasmania                                     | 2015-02-07 | Blundstone Arena, Hobart                              |
| Doug Bollinger          | 41       | 11           | New South Wales v Tasmania                                     | 2015-02-07 | Blundstone Arena, Hobart                              |
| Vinay Kumar             | 105      | 9            | Karnataka v Tamil Nadu                                         | 2015-03-08 | Wankhede Stadium, Mumbai                              |
| Sreenath Aravind        | 50       | 10           | Karnataka v Tamil Nadu                                         | 2015-03-08 | Wankhede Stadium, Mumbai                              |
| Pragyan Ojha            | 51       | 9            | Bengal v Haryana                                               | 2015-10-30 | Chaudhary Bansi Lal Cricket Stadium, Lahli            |
| Ashok Dinda             | 45       | 10           | Bengal v Haryana                                               | 2015-10-30 | Chaudhary Bansi Lal Cricket Stadium, Lahli            |
