+------+----------------------+----------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                              |
| 4    | Chris Gayle          | Sunil Narine         | [Royal Challengers Bangalore v Kolkata Knight Riders, Jamaica Tallawahs v Guyana Amazon Warriors, Karachi Kings v Lahore Qalandars, St Kitts and Nevis Patriots v Trinbago Knight Riders]                            |
| 4    | Dinesh Karthik       | Chris Morris         | [Mumbai Indians v Chennai Super Kings, Royal Challengers Bangalore v Rajasthan Royals, India v South Africa, Kolkata Knight Riders v Delhi Daredevils]                                                               |
| 4    | Dwayne Bravo         | Andre Russell        | [Trinidad and Tobago Red Steel v Jamaica Tallawahs, Chennai Super Kings v Kolkata Knight Riders, Dolphins v Knights, Melbourne Renegades v Sydney Thunder]                                                           |
| 4    | Chris Gayle          | Shoaib Malik         | [Jamaica Tallawahs v Barbados Tridents, Barisal Bulls v Comilla Victorians, Lahore Qalandars v Karachi Kings, West Indies v ICC World XI]                                                                            |
| 4    | David Wiese          | Dwayne Bravo         | [Titans v Dolphins, South Africa v West Indies, Royal Challengers Bangalore v Chennai Super Kings, Guyana Amazon Warriors v Trinidad and Tobago Red Steel]                                                           |
| 4    | Anamul Haque         | Farhad Reza          | [Bangladesh v Bangladesh A, Prime Bank Cricket Club v Abahani Limited, Chittagong Vikings v Dhaka Dynamites, Comilla Victorians v Rangpur Riders]                                                                    |
| 4    | Mithun Ali           | Al-Amin Hossain      | [Bangladesh A v Bangladesh, Rangpur Riders v Comilla Victorians, Sylhet Thunder v Comilla Warriors, Chittagong v Khulna]                                                                                             |
| 4    | Rony Talukdar        | Shakib Al Hasan      | [United Commerce Bank Bangladesh Cricket Board XI v Prime Bank Cricket Club, Rajshahi Kings v Dhaka Dynamites, Prime Bank Cricket Club v Mohammedan Sporting Club, Khulna Tigers v Fortune Barisal]                  |
| 4    | Lendl Simmons        | Shakib Al Hasan      | [West Indies v Bangladesh, Mumbai Indians v Kolkata Knight Riders, Rajshahi Kings v Dhaka Dynamites, Trinbago Knight Riders v Barbados Tridents]                                                                     |
| 4    | Nicolas Pooran       | Sunil Narine         | [Trinidad and Tobago Red Steel v Guyana Amazon Warriors, Sylhet Sixers v Dhaka Dynamites, Kings XI Punjab v Kolkata Knight Riders, Guyana Amazon Warriors v Trinbago Knight Riders]                                  |
| 4    | Dwayne Smith         | Imran Tahir          | [West Indies v South Africa, Chennai Super Kings v Delhi Daredevils, Gujarat Lions v Rising Pune Supergiant, Peshawar Zalmi v Multan Sultans]                                                                        |
| 4    | Kieron Pollard       | David Wiese          | [West Indies v South Africa, Mumbai Indians v Royal Challengers Bangalore, Peshawar Zalmi v Lahore Qalandars, Trinbago Knight Riders v St Lucia Kings]                                                               |
| 4    | Shoaib Malik         | Mohammad Aamer       | [Sialkot Stallions v Rawalpindi Rams, Rajshahi Royals v Khulna Tigers, Peshawar Zalmi v Karachi Kings, Jaffna Kings v Galle Gladiators]                                                                              |
| 4    | Soumya Sarkar        | Mustafizur Rahman    | [Rangpur Riders v Dhaka Dynamites, Chittagong Vikings v Rajshahi Kings, Comilla Warriors v Rangpur Rangers, Gazi Group Cricketers v Prime Bank Cricket Club]                                                         |
| 4    | Tamim Iqbal          | Shuvagata Hom        | [Chittagong Vikings v Comilla Victorians, Comilla Victorians v Dhaka Dynamites, Barisal v Khulna, Prime Bank Cricket Club v Mohammedan Sporting Club]                                                                |
| 4    | James Vince          | Mohammad Nabi        | [Karachi Kings v Quetta Gladiators, England v Afghanistan, Hampshire v Kent, Sydney Sixers v Melbourne Renegades]                                                                                                    |
| 4    | Mohammad Nabi        | Imran Tahir          | [Afghanistan v South Africa, Leicestershire v Durham, St Lucia Zouks v Guyana Amazon Warriors, Karachi Kings v Multan Sultans]                                                                                       |
| 4    | Rashid Khan          | Chris Morris         | [Afghanistan v South Africa, Sunrisers v Delhi Capitals, Sussex v Hampshire, Adelaide Strikers v Sydney Thunder]                                                                                                     |
| 4    | Eoin Morgan          | Mohammad Nabi        | [England v Afghanistan, Kings XI Punjab v Sunrisers, Barbados Tridents v St Kitts and Nevis Patriots, Middlesex v Kent]                                                                                              |
| 4    | Kieron Pollard       | Wahab Riaz           | [Karachi Kings v Peshawar Zalmi, West Indies v Pakistan, Dhaka Dynamites v Comilla Victorians, Trinbago Knight Riders v St Lucia Kings]                                                                              |
| 4    | Wahab Riaz           | Sohail Tanvir        | [Barbados Tridents v Guyana Amazon Warriors, Lahore Whites v Rawalpindi, Southern Punjab v Northern, Peshawar Zalmi v Multan Sultans]                                                                                |
| 4    | Chris Gayle          | Rashid Khan          | [Rangpur Riders v Comilla Victorians, Balkh Legends v Kabul Zwanan, Kings XI Punjab v Sunrisers, Quetta Gladiators v Lahore Qalandars]                                                                               |
| 4    | Colin Munro          | Carlos Brathwaite    | [New Zealand v West Indies, Trinbago Knight Riders v St Kitts and Nevis Patriots, Islamabad United v Peshawar Zalmi, Perth Scorchers v Sydney Sixers]                                                                |
| 4    | Ariful Haque         | Mustafizur Rahman    | [Khulna Titans v Rajshahi Kings, Dhaka Platoon v Rangpur Rangers, Khulna v Chittagong, Gazi Group Cricketers v Prime Bank Cricket Club]                                                                              |
