+------+----------------------+----------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                                                     |
| 4    | Owais Shah           | Albie Morkel         | [England v South Africa, Cape Cobras v Titans, Cape Cobras v Chennai Super Kings, Essex v Somerset]                                                                                                                                         |
| 4    | Brad Hodge           | Ryan Harris          | [Victoria v South Australia, Kolkata Knight Riders v Deccan Chargers, Victoria v Queensland, Rajasthan Royals v Kings XI Punjab]                                                                                                            |
| 4    | Upul Tharanga        | Chathura Peiris      | [Ruhuna v Sri Lanka Schools, Uva Next v Uthura Rudras, Kandurata v Uthura, Nondescripts Cricket Club v Ragama Cricket Club]                                                                                                                 |
| 4    | Shane Watson         | Dwayne Bravo         | [Rajasthan Royals v Mumbai Indians, Rajasthan Royals v Chennai Super Kings, Sydney Thunder v Melbourne Renegades, St Lucia Zouks v Trinbago Knight Riders]                                                                                  |
| 4    | Shane Watson         | Amit Mishra          | [Rajasthan Royals v Delhi Daredevils, Rajasthan Royals v Deccan Chargers, Chennai Super Kings v Delhi Daredevils, Chennai Super Kings v Delhi Capitals]                                                                                     |
| 4    | Tillakaratne Dilshan | Ishant Sharma        | [Sri Lanka v India, Delhi Daredevils v Kolkata Knight Riders, Royal Challengers Bangalore v Deccan Chargers, Royal Challengers Bangalore v Sunrisers]                                                                                       |
| 4    | Chris Gayle          | Dwayne Bravo         | [Kolkata Knight Riders v Mumbai Indians, Jamaica v Trinidad and Tobago, Royal Challengers Bangalore v Chennai Super Kings, Jamaica Tallawahs v Trinidad and Tobago Red Steel]                                                               |
| 4    | Naman Ojha           | Rudra Singh          | [Rajasthan Royals v Deccan Chargers, Delhi Daredevils v Kochi Tuskers Kerala, Madhya Pradesh v Uttar Pradesh, Delhi Daredevils v Mumbai Indians]                                                                                            |
| 4    | David Hussey         | Johan Botha          | [Kolkata Knight Riders v Rajasthan Royals, Nottinghamshire v Northamptonshire, Australia v South Africa, Melbourne Stars v Adelaide Strikers]                                                                                               |
| 4    | Sohail Tanvir        | Wahab Riaz           | [Rawalpindi Rams v Lahore Lions, Karachi Kings v Peshawar Zalmi, Guyana Amazon Warriors v Barbados Tridents, Northern v Khyber Pakhtunkhwa]                                                                                                 |
| 4    | David Warner         | Dwayne Bravo         | [Australia v West Indies, New South Wales v Trinidad and Tobago, New South Wales v Victoria, Delhi Daredevils v Chennai Super Kings]                                                                                                        |
| 4    | Kieron Pollard       | Muttiah Muralitharan | [West Indies v Sri Lanka, Mumbai Indians v Chennai Super Kings, Adelaide Strikers v Melbourne Renegades, Barbados Tridents v Jamaica Tallawahs]                                                                                             |
| 4    | Lendl Simmons        | Fidel Edwards        | [Trinidad and Tobago v Deccan Chargers, Trinidad and Tobago v Barbados, Guyana Amazon Warriors v Trinidad and Tobago Red Steel, Trinbago Knight Riders v Jamaica Tallawahs]                                                                 |
| 4    | Moises Henriques     | Dwayne Bravo         | [New South Wales v Trinidad and Tobago, New South Wales v Victoria, Sunrisers v Gujarat Lions, Australia v West Indies]                                                                                                                     |
| 4    | Chris Gayle          | Ben Cutting          | [Western Australia v Queensland, Royal Challengers Bangalore v Sunrisers, Kings XI Punjab v Mumbai Indians, Balkh Legends v Nangarhar Leopards]                                                                                             |
| 4    | AB de Villiers       | Dwayne Bravo         | [Delhi Daredevils v Mumbai Indians, South Africa v West Indies, Barbados Tridents v Trinbago Knight Riders, Tshwane Spartans v Paarl Rocks]                                                                                                 |
| 4    | Harbhajan Singh      | Praveen Kumar        | [Mumbai Indians v Royal Challengers Bangalore, Mumbai Indians v Kings XI Punjab, Mumbai Indians v Sunrisers, Mumbai Indians v Gujarat Lions]                                                                                                |
| 4    | Kieron Pollard       | Ravi Ashwin          | [Mumbai Indians v Chennai Super Kings, West Indies v India, Mumbai Indians v Kings XI Punjab, Mumbai Indians v Delhi Capitals]                                                                                                              |
| 4    | Jahurul Islam        | Arafat Sunny         | [Dhaka Division v Barisal Division, Chittagong Vikings v Rangpur Riders, Khulna Titans v Rajshahi Kings, Khelaghar Samaj Kallyan Samity v Abahani Limited]                                                                                  |
| 4    | David Warner         | Ravi Ashwin          | [Delhi Daredevils v Chennai Super Kings, Australia v India, Sunrisers v Kings XI Punjab, Sunrisers v Delhi Capitals]                                                                                                                        |
| 4    | Mahmudullah          | Mukhtar Ali          | [Dhaka Division v Rajshahi Division, Chittagong Kings v Duronto Rajshahi, Bangladesh v Bangladesh A, Khulna v Dhaka]                                                                                                                        |
