+--------------------------------------------------------+---------+------+------+------+--------+
| Player                                                 | Matches | Wins | Loss | Tied | Others |
| [BL D'Oliveira, DKH Mitchell, EG Barnard, RA Whiteley] | 64      | 33   | 31   | 0    | 0      |
| [BL D'Oliveira, DKH Mitchell, EG Barnard, OB Cox]      | 64      | 33   | 31   | 0    | 0      |
| [CP Wood, JHK Adams, JM Vince, SM Ervine]              | 62      | 42   | 16   | 0    | 4      |
| [CP Wood, DR Briggs, JM Vince, SM Ervine]              | 62      | 42   | 16   | 0    | 4      |
| [AJ Blake, DI Stevens, SA Northeast, SW Billings]      | 62      | 26   | 34   | 2    | 0      |
| [BAC Howell, DA Payne, JMR Taylor, TMJ Smith]          | 62      | 29   | 28   | 2    | 3      |
| [DD Masters, JS Foster, ML Pettini, RN ten Doeschate]  | 59      | 31   | 25   | 1    | 2      |
| [AD Hales, CMW Read, SJ Mullaney, SR Patel]            | 59      | 41   | 16   | 1    | 1      |
| [AC Thomas, JC Hildreth, ME Trescothick, PD Trego]     | 58      | 28   | 27   | 0    | 3      |
| [AJ Blake, DI Stevens, JC Tredwell, SA Northeast]      | 58      | 24   | 33   | 1    | 0      |
| [AD Hales, HF Gurney, SJ Mullaney, SR Patel]           | 58      | 40   | 17   | 0    | 1      |
| [IA Cockbain, JMR Taylor, M Klinger, TMJ Smith]        | 58      | 28   | 24   | 2    | 4      |
| [DM Benkenstein, GR Breese, LE Plunkett, P Mustard]    | 57      | 22   | 26   | 2    | 7      |
| [AD Hales, JT Ball, SJ Mullaney, SR Patel]             | 57      | 43   | 10   | 2    | 2      |
| [GR Napier, JS Foster, ML Pettini, RS Bopara]          | 56      | 27   | 27   | 0    | 2      |
| [JS Foster, ML Pettini, RN ten Doeschate, TJ Phillips] | 56      | 28   | 26   | 0    | 2      |
| [DI Stevens, GO Jones, JC Tredwell, JL Denly]          | 56      | 36   | 18   | 1    | 1      |
| [DI Stevens, GO Jones, JC Tredwell, RWT Key]           | 56      | 32   | 23   | 1    | 0      |
