+------------+---------------------+----------+----------------------------+------------+
| Start Over | Bowler              | Analysis | Match                      | StartDate  |
| 62.6       | PM Siddle           | 5/71     | Australia v India          | 2013-03-14 |
| 62.4       | CL Cairns           | 5/146    | New Zealand v Australia    | 2001-11-08 |
| 62.3       | M Muralitharan      | 5/173    | Sri Lanka v Australia      | 2004-03-16 |
| 62.2       | Harbhajan Singh     | 5/51     | India v England            | 2001-12-03 |
| 61.6       | Danish Kaneria      | 5/181    | Pakistan v West Indies     | 2006-11-19 |
| 61.4       | SK Warne            | 5/113    | Australia v South Africa   | 2001-12-14 |
| 61.4       | KA Maharaj          | 5/180    | South Africa v England     | 2020-01-16 |
| 61.2       | P Kumar             | 5/106    | India v England            | 2011-07-21 |
| 61.2       | BAW Mendis          | 6/99     | Sri Lanka v Bangladesh     | 2014-02-04 |
| 60.6       | NM Lyon             | 5/92     | Australia v India          | 2017-03-25 |
| 60.4       | Harbhajan Singh     | 5/115    | India v West Indies        | 2002-10-30 |
| 60.4       | A Kumble            | 6/176    | India v Australia          | 2003-12-26 |
| 60.3       | Saeed Ajmal         | 5/68     | Pakistan v Sri Lanka       | 2011-10-26 |
| 59.5       | Saqlain Mushtaq     | 6/46     | Pakistan v Australia       | 1999-11-18 |
| 59.5       | M Ntini             | 5/94     | South Africa v West Indies | 2003-12-12 |
| 59.5       | MR Gillespie        | 5/136    | New Zealand v South Africa | 2007-11-16 |
| 59.5       | MJ Leach            | 5/122    | England v Sri Lanka        | 2021-01-14 |
| 59.3       | SM Pollock          | 5/83     | South Africa v West Indies | 1998-12-26 |
| 59.3       | Enamul Haque        | 5/105    | Bangladesh v Zimbabwe      | 2005-01-14 |
| 59.2       | Bilal Asif          | 6/36     | Pakistan v Australia       | 2018-10-07 |
| 58.6       | SM Pollock          | 6/78     | South Africa v Pakistan    | 2003-10-24 |
| 58.5       | MJ Hoggard          | 5/73     | England v Bangladesh       | 2005-06-03 |
| 58.5       | JH Kallis           | 5/30     | South Africa v Bangladesh  | 2008-02-22 |
| 58.4       | MJ Clarke           | 6/9      | Australia v India          | 2004-11-03 |
| 58.3       | JN Gillespie        | 5/88     | Australia v England        | 1998-11-28 |
| 58.3       | A Kumble            | 6/72     | India v Sri Lanka          | 2005-12-10 |
| 58.1       | PJ Wiseman          | 5/90     | New Zealand v Zimbabwe     | 2000-09-12 |
| 58.1       | CS Martin           | 6/76     | New Zealand v South Africa | 2004-03-18 |
| 57.6       | MVT Fernando        | 5/101    | Sri Lanka v South Africa   | 2021-01-03 |
| 57.5       | AN Connolly         | 6/47     | Australia v South Africa   | 1970-03-05 |
| 57.5       | M Muralitharan      | 7/97     | Sri Lanka v South Africa   | 2006-08-04 |
| 57.5       | KAJ Roach           | 5/60     | West Indies v New Zealand  | 2012-07-25 |
| 57.3       | RL Chase            | 5/83     | West Indies v Sri Lanka    | 2021-11-21 |
| 57.2       | V Sehwag            | 5/104    | India v Australia          | 2008-10-29 |
| 57.1       | Saeed Ajmal         | 5/69     | Pakistan v West Indies     | 2011-05-12 |
| 57.1       | NM Lyon             | 6/122    | Australia v India          | 2018-12-06 |
| 56.6       | Sohag Gazi          | 6/77     | Bangladesh v New Zealand   | 2013-10-09 |
| 56.5       | Mehedi Hasan Miraz  | 5/82     | Bangladesh v Zimbabwe      | 2021-07-07 |
| 56.3       | DJG Sammy           | 5/29     | West Indies v Pakistan     | 2011-05-12 |
| 56.3       | MM Ali              | 5/63     | England v India            | 2018-08-30 |
| 55.5       | JE Emburey          | 5/124    | England v West Indies      | 1981-02-13 |
| 55.4       | M Muralitharan      | 5/71     | Sri Lanka v Australia      | 1999-09-22 |
| 55.4       | SCJ Broad           | 5/69     | England v South Africa     | 2012-08-02 |
| 55.1       | MJ North            | 6/55     | Australia v Pakistan       | 2010-07-13 |
| 55.1       | KC Brathwaite       | 6/29     | West Indies v Sri Lanka    | 2015-10-22 |
| 54.7       | RR Lindwall         | 5/32     | Australia v South Africa   | 1949-12-31 |
| 54.6       | Saqlain Mushtaq     | 8/164    | Pakistan v England         | 2000-11-15 |
| 54.4       | M Muralitharan      | 7/84     | Sri Lanka v South Africa   | 2000-07-20 |
| 54.4       | J Srinath           | 5/114    | India v Sri Lanka          | 2001-08-14 |
| 54.3       | Danish Kaneria      | 5/46     | Pakistan v South Africa    | 2003-10-17 |
| 54.2       | Shakib Al Hasan     | 5/80     | Bangladesh v Zimbabwe      | 2014-11-03 |
| 54.2       | Yasir Shah          | 6/96     | Pakistan v Sri Lanka       | 2015-06-25 |
| 54.1       | DL Vettori          | 5/66     | New Zealand v England      | 2008-05-23 |
| 53.4       | Harbhajan Singh     | 7/123    | India v Australia          | 2001-03-11 |
| 53.4       | Z Khan              | 5/72     | India v Sri Lanka          | 2009-12-02 |
| 53.3       | SCG MacGill         | 7/104    | Australia v West Indies    | 2001-01-02 |
| 53.3       | DL Vettori          | 5/69     | New Zealand v England      | 2008-05-15 |
| 52.6       | SE Bond             | 5/69     | New Zealand v West Indies  | 2006-03-09 |
| 52.6       | Sohag Gazi          | 6/74     | Bangladesh v West Indies   | 2012-11-13 |
| 52.5       | R Ashwin            | 5/156    | India v West Indies        | 2011-11-22 |
| 52.3       | RA Jadeja           | 5/73     | India v New Zealand        | 2016-09-22 |
| 51.7       | PH Edmonds          | 7/66     | England v Pakistan         | 1978-01-18 |
| 51.6       | K Rabada            | 5/96     | South Africa v Australia   | 2018-03-09 |
| 51.4       | GD McKenzie         | 5/65     | Australia v South Africa   | 1967-02-24 |
| 51.4       | Shakib Al Hasan     | 6/82     | Bangladesh v Pakistan      | 2011-12-17 |
| 51.3       | ST Gabriel          | 5/75     | West Indies v England      | 2020-07-08 |
| 51.2       | Shoaib Akhtar       | 5/43     | Pakistan v South Africa    | 1998-02-26 |
| 51.2       | SCG MacGill         | 5/87     | Australia v Pakistan       | 2005-01-02 |
| 51.1       | A Kumble            | 7/48     | India v Australia          | 2004-10-14 |
| 51.1       | PM Siddle           | 6/75     | Australia v England        | 2010-12-26 |
| 50.5       | Harbhajan Singh     | 5/164    | India v South Africa       | 2008-03-26 |
| 50.4       | SM Pollock          | 5/28     | South Africa v West Indies | 2001-04-19 |
| 50.4       | SCG MacGill         | 8/108    | Australia v Bangladesh     | 2006-04-09 |
| 50.3       | RGD Willis          | 6/53     | England v India            | 1977-01-28 |
| 50.3       | SK Warne            | 5/48     | Australia v West Indies    | 2005-11-03 |
| 50.2       | IT Botham           | 5/73     | England v New Zealand      | 1978-02-24 |
| 50.2       | UDU Chandana        | 5/101    | Sri Lanka v Australia      | 2004-07-09 |
| 50.2       | MM Ali              | 5/69     | England v South Africa     | 2017-08-04 |
| 50.1       | PADLR Sandakan      | 5/132    | Sri Lanka v India          | 2017-08-12 |
| 50.1       | L Ambuldeniya       | 5/114    | Sri Lanka v Zimbabwe       | 2020-01-19 |
| 49.6       | D Bishoo            | 5/90     | West Indies v Bangladesh   | 2011-10-29 |
| 49.6       | TG Southee          | 6/50     | New Zealand v England      | 2013-05-16 |
| 49.5       | CL Hooper           | 5/80     | West Indies v England      | 1998-03-12 |
| 49.4       | DL Vettori          | 5/138    | New Zealand v Australia    | 2001-11-22 |
| 49.4       | CH Gayle            | 5/34     | West Indies v England      | 2004-07-29 |
| 49.4       | JM Anderson         | 5/80     | England v Australia        | 2009-07-30 |
| 49.4       | KA Maharaj          | 5/123    | South Africa v Australia   | 2018-03-01 |
| 49.4       | Rashid Khan         | 5/82     | Afghanistan v Ireland      | 2019-03-15 |
| 49.3       | PR Adams            | 5/37     | South Africa v Bangladesh  | 2003-04-24 |
| 49.3       | NM Lyon             | 5/134    | Australia v India          | 2014-12-09 |
| 48.5       | Abdur Razzaq        | 5/35     | Pakistan v Sri Lanka       | 2004-10-28 |
| 48.3       | Junaid Khan         | 5/38     | Pakistan v Sri Lanka       | 2011-10-18 |
| 48.3       | R Ashwin            | 6/54     | India v New Zealand        | 2012-08-23 |
| 48.3       | HMRKB Herath        | 5/68     | Sri Lanka v Bangladesh     | 2013-03-16 |
| 48.2       | SCG MacGill         | 5/57     | Australia v England        | 1999-01-02 |
| 48.2       | SJ Benn             | 5/155    | West Indies v Australia    | 2009-12-04 |
| 48.1       | SCJ Broad           | 6/50     | England v Australia        | 2013-08-09 |
| 47.8       | Abdul Qadir         | 6/44     | Pakistan v England         | 1978-01-02 |
| 47.5       | AA Donald           | 5/109    | South Africa v England     | 1998-07-23 |
| 47.4       | DL Underwood        | 5/28     | England v Sri Lanka        | 1982-02-17 |
| 47.4       | HMRKB Herath        | 5/93     | Sri Lanka v Pakistan       | 2017-09-28 |
| 47.4       | OE Robinson         | 5/65     | England v India            | 2021-08-25 |
| 47.3       | SK Warne            | 5/52     | Australia v Sri Lanka      | 1999-09-09 |
| 47.3       | AU Rashid           | 5/49     | England v Sri Lanka        | 2018-11-23 |
| 47.2       | I Meckiff           | 5/125    | Australia v South Africa   | 1957-12-23 |
| 46.6       | Mohammad Sami       | 5/36     | Pakistan v New Zealand     | 2001-03-08 |
| 46.6       | JM Anderson         | 5/102    | England v South Africa     | 2003-08-14 |
| 46.3       | CA Walsh            | 5/83     | West Indies v Pakistan     | 2000-05-25 |
| 46.2       | R Benaud            | 5/84     | Australia v South Africa   | 1958-02-07 |
| 46.2       | SK Warne            | 5/39     | Australia v England        | 2006-12-26 |
| 46.1       | DJ Terbrugge        | 5/46     | South Africa v Bangladesh  | 2002-10-18 |
| 46.1       | Jubair Hossain      | 5/96     | Bangladesh v Zimbabwe      | 2014-11-12 |
| 45.6       | Harbhajan Singh     | 5/71     | India v England            | 2001-12-11 |
| 45.5       | Mohammed Shami      | 5/112    | India v Australia          | 2015-01-06 |
| 45.4       | DAJ Bracewell       | 6/40     | New Zealand v Australia    | 2011-12-09 |
| 45.3       | S Shillingford      | 6/119    | West Indies v Australia    | 2012-04-23 |
| 45.1       | AA Nortje           | 5/110    | South Africa v England     | 2020-01-24 |
| 44.6       | A Nel               | 6/81     | South Africa v England     | 2005-01-21 |
| 44.5       | JE Emburey          | 6/33     | England v Sri Lanka        | 1982-02-17 |
| 44.5       | Danish Kaneria      | 5/62     | Pakistan v Sri Lanka       | 2009-07-20 |
| 44.4       | J Srinath           | 5/140    | India v South Africa       | 2001-11-03 |
| 44.4       | PJ Cummins          | 5/83     | Australia v South Africa   | 2018-03-30 |
| 44.0       | GO Rabone           | 6/68     | New Zealand v South Africa | 1954-01-01 |
| 43.6       | SCJ Broad           | 6/46     | England v India            | 2011-07-29 |
| 43.5       | AW Greig            | 5/24     | England v India            | 1972-12-30 |
| 43.5       | RL Chase            | 8/60     | West Indies v England      | 2019-01-23 |
| 43.4       | Waqar Younis        | 6/55     | Pakistan v Bangladesh      | 2002-01-09 |
| 43.4       | JM Anderson         | 5/62     | England v India            | 2021-08-12 |
| 43.3       | SCG MacGill         | 5/77     | Australia v Bangladesh     | 2003-07-25 |
| 43.3       | R Ashwin            | 6/55     | India v England            | 2016-12-08 |
| 43.2       | N Wagner            | 5/45     | New Zealand v Bangladesh   | 2019-03-08 |
| 43.1       | NM Lyon             | 5/130    | Australia v South Africa   | 2014-02-20 |
| 42.4       | JM Anderson         | 5/73     | England v Australia        | 2013-07-10 |
| 42.3       | AA Donald           | 5/47     | South Africa v England     | 2000-01-02 |
| 42.3       | Saqlain Mushtaq     | 5/121    | Pakistan v West Indies     | 2000-05-18 |
| 42.2       | RW Price            | 6/73     | Zimbabwe v West Indies     | 2003-11-04 |
| 42.2       | Taijul Islam        | 5/135    | Bangladesh v West Indies   | 2014-09-05 |
| 42.1       | Danish Kaneria      | 5/127    | Pakistan v India           | 2005-03-24 |
| 42.1       | BAW Mendis          | 5/56     | Sri Lanka v India          | 2008-08-08 |
| 41.5       | PL Harris           | 5/123    | South Africa v England     | 2009-12-16 |
| 41.4       | JJ Bumrah           | 5/54     | India v South Africa       | 2018-01-24 |
| 41.3       | Saqlain Mushtaq     | 5/94     | Pakistan v India           | 1999-02-04 |
| 41.3       | RW Price            | 5/181    | Zimbabwe v South Africa    | 2001-09-14 |
| 41.3       | Hasan Ali           | 5/60     | Pakistan v South Africa    | 2021-02-04 |
| 41.2       | KD Ghavri           | 5/33     | India v England            | 1977-02-11 |
| 41.2       | D Gough             | 5/70     | England v South Africa     | 1999-11-25 |
| 41.2       | IK Pathan           | 5/58     | India v Zimbabwe           | 2005-09-13 |
| 41.2       | HMRKB Herath        | 5/65     | Sri Lanka v New Zealand    | 2012-11-17 |
| 41.2       | RA Jadeja           | 6/63     | India v Australia          | 2017-03-04 |
| 41.1       | SK Warne            | 5/110    | Australia v Pakistan       | 1999-11-18 |
| 41.1       | Danish Kaneria      | 7/168    | Pakistan v New Zealand     | 2009-12-11 |
| 41.1       | HMRKB Herath        | 5/95     | Sri Lanka v Australia      | 2012-12-14 |
| 41.1       | AU Rashid           | 5/64     | England v Pakistan         | 2015-10-13 |
| 41.1       | MM Ali              | 5/57     | England v Bangladesh       | 2016-10-28 |
| 41.1       | JE Root             | 5/8      | England v India            | 2021-02-24 |
| 40.5       | DL Vettori          | 5/135    | New Zealand v India        | 2010-11-12 |
| 40.3       | Shakib Al Hasan     | 5/70     | Bangladesh v Sri Lanka     | 2008-12-26 |
| 40.3       | HMRKB Herath        | 7/89     | Sri Lanka v Bangladesh     | 2013-03-16 |
| 40.3       | MA Starc            | 5/54     | Australia v Sri Lanka      | 2019-02-01 |
| 40.2       | Shakib Al Hasan     | 6/99     | Bangladesh v South Africa  | 2008-11-26 |
| 39.5       | M Muralitharan      | 5/90     | Sri Lanka v New Zealand    | 1998-05-27 |
| 39.5       | MR Marsh            | 5/46     | Australia v England        | 2019-09-12 |
| 39.4       | Shakib Al Hasan     | 5/121    | Bangladesh v England       | 2010-06-04 |
| 39.4       | RA Jadeja           | 7/48     | India v England            | 2016-12-16 |
| 39.3       | Saqlain Mushtaq     | 5/32     | Pakistan v Zimbabwe        | 1998-12-10 |
| 39.3       | A Kumble            | 7/115    | India v England            | 2001-12-11 |
| 39.2       | RG Barlow           | 5/19     | England v Australia        | 1882-08-28 |
| 39.2       | M Muralitharan      | 5/116    | Sri Lanka v England        | 2007-12-09 |
| 39.2       | DL Vettori          | 6/56     | New Zealand v West Indies  | 2008-12-11 |
| 39.2       | NM Lyon             | 5/69     | Australia v Pakistan       | 2019-11-29 |
| 39.1       | TL Goddard          | 6/53     | South Africa v Australia   | 1966-12-23 |
| 39.1       | DL Vettori          | 5/106    | New Zealand v Australia    | 2005-03-10 |
| 38.6       | HJ Tayfield         | 5/130    | South Africa v England     | 1957-01-01 |
| 38.5       | SE Bond             | 5/78     | New Zealand v West Indies  | 2002-06-21 |
| 38.5       | UT Yadav            | 5/93     | India v Australia          | 2012-01-13 |
| 38.5       | N Wagner            | 5/86     | New Zealand v South Africa | 2016-08-27 |
| 38.5       | JR Hazlewood        | 5/57     | Australia v India          | 2021-01-15 |
| 38.4       | M Morkel            | 5/54     | South Africa v Pakistan    | 2010-11-12 |
| 38.4       | TG Southee          | 5/61     | New Zealand v India        | 2020-02-21 |
| 38.3       | Arshad Khan         | 5/38     | Pakistan v Sri Lanka       | 1999-03-12 |
| 38.3       | SP Narine           | 5/132    | West Indies v New Zealand  | 2012-07-25 |
| 38.2       | ST Finn             | 5/87     | England v Bangladesh       | 2010-05-27 |
| 38.2       | R Ashwin            | 6/112    | India v England            | 2016-12-08 |
| 38.1       | PADLR Sandakan      | 5/95     | Sri Lanka v England        | 2018-11-23 |
| 38.0       | HD Bromfield        | 5/88     | South Africa v England     | 1965-01-01 |
| 37.5       | MA Holding          | 5/56     | West Indies v England      | 1981-04-10 |
| 37.5       | MS Kasprowicz       | 5/28     | Australia v India          | 1998-03-25 |
| 37.3       | PM Siddle           | 6/54     | Australia v England        | 2010-11-25 |
| 37.3       | OE Robinson         | 5/85     | England v India            | 2021-08-04 |
| 36.5       | SM Pollock          | 5/53     | South Africa v England     | 1998-08-06 |
| 36.5       | Saqlain Mushtaq     | 7/66     | Pakistan v Zimbabwe        | 2002-11-16 |
| 36.5       | CS Martin           | 5/55     | New Zealand v South Africa | 2004-03-26 |
| 36.5       | MS Panesar          | 5/78     | England v Sri Lanka        | 2006-06-02 |
| 36.4       | Z Khan              | 5/53     | India v New Zealand        | 2002-12-12 |
| 36.4       | Mohammad Rafique    | 5/36     | Bangladesh v Pakistan      | 2003-09-03 |
| 36.4       | TA Boult            | 6/30     | New Zealand v Sri Lanka    | 2018-12-26 |
| 36.3       | DW Steyn            | 5/29     | South Africa v West Indies | 2010-06-10 |
| 36.3       | KA Maharaj          | 5/36     | South Africa v West Indies | 2021-06-18 |
| 36.2       | M Muralitharan      | 5/44     | Sri Lanka v West Indies    | 2001-11-13 |
| 36.2       | Sikandar Raza       | 7/113    | Zimbabwe v Sri Lanka       | 2020-01-27 |
| 36.1       | ST Finn             | 6/125    | England v Australia        | 2010-11-25 |
| 35.6       | RP Singh            | 5/59     | India v England            | 2007-07-19 |
| 35.5       | A Kumble            | 6/81     | India v England            | 2001-12-03 |
| 35.5       | R Ashwin            | 7/83     | India v West Indies        | 2016-07-21 |
| 35.3       | RW Price            | 5/199    | Zimbabwe v West Indies     | 2003-11-12 |
| 35.3       | VD Philander        | 6/81     | South Africa v New Zealand | 2012-03-23 |
| 35.3       | RAS Lakmal          | 5/63     | Sri Lanka v South Africa   | 2016-12-26 |
| 35.3       | BE Hendricks        | 5/64     | South Africa v England     | 2020-01-24 |
| 35.1       | HJ Tayfield         | 8/69     | South Africa v England     | 1957-01-25 |
| 35.1       | Saqlain Mushtaq     | 5/93     | Pakistan v India           | 1999-01-28 |
| 35.1       | SCG MacGill         | 5/75     | Australia v West Indies    | 2003-05-01 |
| 35.1       | SCG MacGill         | 5/65     | Australia v Bangladesh     | 2003-07-18 |
| 35.1       | GP Swann            | 6/106    | England v Sri Lanka        | 2012-04-03 |
| 34.6       | PR Adams            | 7/128    | South Africa v Pakistan    | 2003-10-17 |
| 34.5       | A Kumble            | 5/89     | India v Sri Lanka          | 2005-12-18 |
| 34.5       | Harbhajan Singh     | 6/102    | India v Sri Lanka          | 2008-07-31 |
| 34.5       | Yasir Shah          | 5/78     | Pakistan v Sri Lanka       | 2015-07-03 |
| 34.4       | R Benaud            | 5/82     | Australia v South Africa   | 1958-02-28 |
| 34.3       | R Benaud            | 5/49     | Australia v South Africa   | 1957-12-31 |
| 34.3       | KA Maharaj          | 5/94     | South Africa v New Zealand | 2017-03-08 |
| 34.3       | KA Maharaj          | 9/129    | South Africa v Sri Lanka   | 2018-07-20 |
| 34.2       | C White             | 5/127    | England v Australia        | 2002-11-29 |
| 34.2       | GP Swann            | 5/110    | England v South Africa     | 2009-12-16 |
| 34.2       | R Ashwin            | 6/81     | India v New Zealand        | 2016-10-08 |
| 34.1       | M Muralitharan      | 6/55     | Sri Lanka v England        | 2007-12-01 |
| 34.1       | JM Anderson         | 5/65     | England v India            | 2011-07-21 |
| 33.6       | DW Steyn            | 5/87     | South Africa v Australia   | 2008-12-26 |
| 33.5       | A Kumble            | 5/63     | India v Zimbabwe           | 2002-02-21 |
| 33.5       | A Kumble            | 5/76     | India v England            | 2006-03-09 |
| 33.5       | MR Gillespie        | 6/113    | New Zealand v South Africa | 2012-03-23 |
| 33.5       | NM Lyon             | 5/68     | Australia v New Zealand    | 2020-01-03 |
| 33.4       | M Muralitharan      | 8/87     | Sri Lanka v India          | 2001-08-29 |
| 33.4       | B Lee               | 5/93     | Australia v South Africa   | 2005-12-16 |
| 33.4       | A Kumble            | 5/84     | India v Australia          | 2007-12-26 |
| 33.4       | Yasir Shah          | 7/94     | Pakistan v West Indies     | 2017-04-30 |
| 33.4       | BA Stokes           | 6/22     | England v West Indies      | 2017-09-07 |
| 33.4       | Yasir Shah          | 5/110    | Pakistan v New Zealand     | 2018-11-16 |
| 33.3       | SR Watson           | 6/33     | Australia v Pakistan       | 2010-07-21 |
| 33.3       | SJ Benn             | 5/39     | West Indies v Bangladesh   | 2014-09-05 |
| 33.3       | JR Hazlewood        | 5/68     | Australia v India          | 2014-12-17 |
| 33.2       | M Muralitharan      | 7/155    | Sri Lanka v England        | 1998-08-27 |
