+------------+---------------------+----------+----------------------------+------------+
| Start Over | Bowler              | Analysis | Match                      | StartDate  |
| 32.3       | MA Starc            | 6/154    | Australia v South Africa   | 2012-11-30 |
| 32.2       | DL Vettori          | 5/62     | New Zealand v Australia    | 2000-03-11 |
| 32.2       | DL Vettori          | 5/59     | New Zealand v Bangladesh   | 2008-10-17 |
| 32.1       | WA Johnston         | 6/44     | Australia v South Africa   | 1949-12-24 |
| 32.1       | DW Steyn            | 6/34     | South Africa v West Indies | 2014-12-17 |
| 31.6       | A Kumble            | 5/30     | India v West Indies        | 2002-10-17 |
| 31.6       | A Flintoff          | 5/58     | England v West Indies      | 2004-04-01 |
| 31.6       | Danish Kaneria      | 5/151    | Pakistan v Australia       | 2010-01-03 |
| 31.6       | SCJ Broad           | 7/72     | England v West Indies      | 2012-05-17 |
| 31.6       | Mohammed Shami      | 5/47     | India v West Indies        | 2013-11-06 |
| 31.5       | SK Warne            | 5/39     | Australia v New Zealand    | 2005-03-10 |
| 31.5       | BAW Mendis          | 6/117    | Sri Lanka v India          | 2008-07-31 |
| 31.4       | Shabbir Ahmed       | 5/48     | Pakistan v Bangladesh      | 2003-08-20 |
| 31.4       | M Muralitharan      | 6/45     | Sri Lanka v Zimbabwe       | 2004-05-06 |
| 31.4       | Harbhajan Singh     | 6/78     | India v Australia          | 2004-10-06 |
| 31.4       | Mohammad Rafique    | 5/114    | Bangladesh v Sri Lanka     | 2005-09-12 |
| 31.4       | PP Ojha             | 5/143    | India v England            | 2012-11-23 |
| 31.3       | NM Hauritz          | 5/101    | Australia v Pakistan       | 2009-12-26 |
| 31.3       | UT Yadav            | 6/88     | India v West Indies        | 2018-10-12 |
| 31.2       | ST Jayasuriya       | 5/34     | Sri Lanka v South Africa   | 2004-08-11 |
| 31.2       | SK Warne            | 5/113    | Australia v Bangladesh     | 2006-04-16 |
| 31.2       | GF Linde            | 5/64     | South Africa v Pakistan    | 2021-02-04 |
| 31.1       | DA Allen            | 5/41     | England v South Africa     | 1964-12-04 |
| 31.1       | RW Price            | 6/121    | Zimbabwe v Australia       | 2003-10-17 |
| 31.1       | A Kumble            | 8/141    | India v Australia          | 2004-01-02 |
| 31.1       | KA Maharaj          | 6/40     | South Africa v New Zealand | 2017-03-16 |
| 30.6       | M Muralitharan      | 5/79     | Sri Lanka v West Indies    | 2008-04-03 |
| 30.6       | GP Swann            | 5/76     | England v Bangladesh       | 2010-06-04 |
| 30.4       | PM Such             | 5/81     | England v Australia        | 1999-01-02 |
| 30.4       | TA Boult            | 6/40     | New Zealand v West Indies  | 2013-12-11 |
| 30.3       | N Boje              | 5/62     | South Africa v Sri Lanka   | 2000-08-06 |
| 30.3       | M Muralitharan      | 5/68     | Sri Lanka v South Africa   | 2000-08-06 |
| 30.3       | DL Vettori          | 6/87     | New Zealand v Australia    | 2001-11-30 |
| 30.3       | M Siraj             | 5/73     | India v Australia          | 2021-01-15 |
| 30.2       | SCG MacGill         | 5/66     | Australia v Pakistan       | 1998-10-01 |
| 30.2       | Danish Kaneria      | 5/110    | Pakistan v New Zealand     | 2002-05-01 |
| 30.2       | SJ Benn             | 5/120    | West Indies v South Africa | 2010-06-10 |
| 30.1       | FH Edwards          | 5/76     | West Indies v India        | 2011-06-28 |
| 30.1       | PP Ojha             | 5/40     | India v West Indies        | 2013-11-14 |
| 30.1       | MDK Perera          | 5/98     | Sri Lanka v Pakistan       | 2017-10-06 |
| 30.1       | VD Philander        | 6/21     | South Africa v Australia   | 2018-03-30 |
| 30.1       | LT Ngidi            | 5/19     | South Africa v West Indies | 2021-06-10 |
| 29.6       | DL Underwood        | 5/84     | England v India            | 1977-02-11 |
| 29.6       | KJ Abbott           | 5/40     | South Africa v India       | 2015-12-03 |
| 29.5       | HMRKB Herath        | 5/79     | Sri Lanka v South Africa   | 2011-12-26 |
| 29.5       | GP Swann            | 5/144    | England v India            | 2012-11-15 |
| 29.4       | AG Cremer           | 5/125    | Zimbabwe v Sri Lanka       | 2017-07-14 |
| 29.4       | Mohammad Abbas      | 5/66     | Pakistan v Ireland         | 2018-05-11 |
| 29.3       | ARC Fraser          | 5/40     | England v West Indies      | 1998-02-13 |
| 29.3       | RW Price            | 5/182    | Zimbabwe v India           | 2002-02-21 |
| 29.3       | GP Swann            | 6/65     | England v Pakistan         | 2010-08-06 |
| 29.3       | M Morkel            | 5/23     | South Africa v Australia   | 2018-03-22 |
| 29.2       | S Sreesanth         | 5/75     | India v Sri Lanka          | 2009-11-24 |
| 29.2       | GP Swann            | 5/91     | England v Australia        | 2010-12-03 |
| 29.2       | HMRKB Herath        | 5/79     | Sri Lanka v Australia      | 2011-08-31 |
| 29.2       | I Sharma            | 7/74     | India v England            | 2014-07-17 |
| 29.1       | SK Warne            | 6/161    | Australia v South Africa   | 2002-03-08 |
| 29.1       | SCG MacGill         | 5/56     | Australia v Bangladesh     | 2003-07-25 |
| 29.1       | Nayeem Hasan        | 5/61     | Bangladesh v West Indies   | 2018-11-22 |
| 28.6       | SCJ Broad           | 6/91     | England v Australia        | 2009-08-07 |
| 28.5       | GD McGrath          | 5/21     | Australia v South Africa   | 2002-02-22 |
| 28.5       | SE Bond             | 5/107    | New Zealand v Pakistan     | 2009-11-24 |
| 28.4       | CR Miller           | 5/32     | Australia v West Indies    | 2000-12-15 |
| 28.4       | NM Lyon             | 5/50     | Australia v England        | 2013-12-26 |
| 28.3       | S Sreesanth         | 5/114    | India v South Africa       | 2011-01-02 |
| 28.3       | PHT Kaushal         | 5/42     | Sri Lanka v Pakistan       | 2015-06-25 |
| 28.3       | Yasir Shah          | 6/72     | Pakistan v England         | 2016-07-14 |
| 28.2       | GP Swann            | 5/57     | England v West Indies      | 2009-02-15 |
| 28.2       | SJ Benn             | 5/93     | West Indies v New Zealand  | 2014-06-26 |
| 27.7       | RGD Willis          | 5/32     | England v New Zealand      | 1978-02-10 |
| 27.6       | AF Giles            | 5/116    | England v Sri Lanka        | 2003-12-10 |
| 27.6       | JE Taylor           | 5/91     | West Indies v Pakistan     | 2006-11-19 |
| 27.5       | A Kumble            | 5/62     | India v Australia          | 1998-03-18 |
| 27.5       | BKV Prasad          | 5/72     | India v Sri Lanka          | 2001-08-22 |
| 27.5       | JR Hazlewood        | 6/89     | Australia v South Africa   | 2016-11-12 |
| 27.5       | NM Lyon             | 8/50     | Australia v India          | 2017-03-04 |
| 27.4       | M Muralitharan      | 5/115    | Sri Lanka v Pakistan       | 2000-06-14 |
| 27.4       | HMRKB Herath        | 6/59     | Sri Lanka v Bangladesh     | 2017-03-07 |
| 27.4       | Rashid Khan         | 7/137    | Afghanistan v Zimbabwe     | 2021-03-10 |
| 27.3       | WA Johnston         | 5/36     | Australia v England        | 1948-06-10 |
| 27.3       | JJC Lawson          | 6/3      | West Indies v Bangladesh   | 2002-12-08 |
| 27.3       | R Ashwin            | 5/67     | India v England            | 2016-11-17 |
| 27.2       | SM Katich           | 6/65     | Australia v Zimbabwe       | 2003-10-17 |
| 27.2       | Danish Kaneria      | 5/125    | Pakistan v Australia       | 2004-12-26 |
| 27.2       | M Muralitharan      | 8/70     | Sri Lanka v England        | 2006-06-02 |
| 27.2       | MA Starc            | 5/34     | Australia v South Africa   | 2018-03-01 |
| 27.1       | CL McCool           | 5/41     | Australia v South Africa   | 1949-12-31 |
| 27.1       | Saeed Ajmal         | 7/95     | Pakistan v Zimbabwe        | 2013-09-03 |
| 27.1       | RA Jadeja           | 6/138    | India v South Africa       | 2013-12-26 |
| 27.1       | NM Lyon             | 6/82     | Australia v Bangladesh     | 2017-08-27 |
| 26.6       | KA Maharaj          | 5/59     | South Africa v Zimbabwe    | 2017-12-26 |
| 26.5       | A Kumble            | 5/154    | India v Australia          | 2003-12-12 |
| 26.5       | Imran Tahir         | 5/38     | South Africa v India       | 2015-11-25 |
| 26.4       | JH Kallis           | 5/21     | South Africa v Bangladesh  | 2002-10-25 |
| 26.4       | CK Langeveldt       | 5/46     | South Africa v England     | 2005-01-02 |
| 26.4       | SR Watson           | 5/40     | Australia v Pakistan       | 2010-07-13 |
| 26.4       | ST Finn             | 6/125    | England v New Zealand      | 2013-03-22 |
| 26.4       | N Wagner            | 5/47     | New Zealand v Bangladesh   | 2019-02-28 |
| 26.3       | A Kumble            | 6/78     | India v West Indies        | 2006-06-30 |
| 26.3       | MKPAD Perera        | 5/80     | Sri Lanka v New Zealand    | 2019-08-14 |
| 26.2       | ARC Fraser          | 5/60     | England v South Africa     | 1998-07-23 |
| 26.2       | Saqlain Mushtaq     | 5/35     | Pakistan v Bangladesh      | 2002-01-16 |
| 26.2       | M Muralitharan      | 6/54     | Sri Lanka v Bangladesh     | 2007-07-11 |
| 26.2       | I Sharma            | 5/51     | India v England            | 2018-08-01 |
| 26.1       | M Ntini             | 5/19     | South Africa v Bangladesh  | 2002-10-18 |
| 26.1       | Umar Gul            | 5/123    | Pakistan v England         | 2006-08-04 |
| 26.1       | MS Panesar          | 6/129    | England v West Indies      | 2007-05-17 |
| 26.1       | HMRKB Herath        | 7/64     | Sri Lanka v Australia      | 2016-08-13 |
| 26.1       | D Bishoo            | 5/79     | West Indies v Zimbabwe     | 2017-10-21 |
| 26.1       | JO Holder           | 5/27     | West Indies v Sri Lanka    | 2021-03-21 |
| 25.6       | JH Wardle           | 5/61     | England v South Africa     | 1957-01-25 |
| 25.6       | AK Davidson         | 5/38     | Australia v South Africa   | 1958-02-28 |
| 25.5       | WPUJC Vaas          | 5/31     | Sri Lanka v Australia      | 2004-07-01 |
| 25.5       | MG Johnson          | 5/69     | Australia v England        | 2009-08-07 |
| 25.4       | M Muralitharan      | 5/39     | Sri Lanka v Bangladesh     | 2002-07-21 |
| 25.4       | SK Warne            | 5/65     | Australia v Sri Lanka      | 2004-03-16 |
| 25.4       | PAKP Jayawickrama   | 6/92     | Sri Lanka v Bangladesh     | 2021-04-29 |
| 25.3       | Mushtaq Ahmed       | 6/78     | Pakistan v South Africa    | 1998-02-26 |
| 25.3       | N Boje              | 5/88     | South Africa v Sri Lanka   | 2004-08-04 |
| 25.3       | E Chigumbura        | 5/54     | Zimbabwe v Bangladesh      | 2005-01-06 |
| 25.3       | Harbhajan Singh     | 5/122    | India v Pakistan           | 2007-11-30 |
| 25.3       | Harbhajan Singh     | 6/63     | India v New Zealand        | 2009-03-18 |
| 25.3       | R Ashwin            | 5/52     | India v West Indies        | 2016-07-30 |
| 25.2       | FH Edwards          | 5/36     | West Indies v Sri Lanka    | 2003-06-27 |
| 25.2       | Harbhajan Singh     | 5/13     | India v West Indies        | 2006-06-30 |
| 25.1       | NM Lyon             | 7/94     | Australia v India          | 2013-03-22 |
| 25.1       | JNT Seales          | 5/55     | West Indies v Pakistan     | 2021-08-12 |
| 24.6       | Rashid Khan         | 5/55     | Afghanistan v Bangladesh   | 2019-09-05 |
| 24.5       | HJ Tayfield         | 6/78     | South Africa v England     | 1957-03-01 |
| 24.5       | BS Chandrasekhar    | 8/79     | India v England            | 1972-12-20 |
| 24.5       | M Hayward           | 5/56     | South Africa v Pakistan    | 2002-12-26 |
| 24.4       | M Muralitharan      | 5/63     | Sri Lanka v South Africa   | 1998-03-27 |
| 24.4       | CL Cairns           | 5/31     | New Zealand v England      | 1999-08-19 |
| 24.4       | RD King             | 5/51     | West Indies v Zimbabwe     | 2000-03-24 |
| 24.4       | GD McGrath          | 5/54     | Australia v England        | 2001-07-19 |
| 24.4       | SJ Harmison         | 6/61     | England v West Indies      | 2004-03-19 |
| 24.4       | L Balaji            | 5/76     | India v Pakistan           | 2005-03-08 |
| 24.4       | SK Warne            | 6/86     | Australia v South Africa   | 2006-03-24 |
| 24.4       | HMRKB Herath        | 5/99     | Sri Lanka v Pakistan       | 2009-07-12 |
| 24.3       | PM Siddle           | 5/59     | Australia v South Africa   | 2009-01-03 |
| 24.3       | KAJ Roach           | 5/105    | West Indies v Australia    | 2012-04-15 |
| 24.3       | JJ Bumrah           | 5/85     | India v England            | 2018-08-18 |
| 24.2       | PS de Villiers      | 6/23     | South Africa v Pakistan    | 1998-03-06 |
| 24.2       | A Kumble            | 10/74    | India v Pakistan           | 1999-02-04 |
| 24.2       | SK Warne            | 5/71     | Australia v England        | 2001-07-05 |
| 24.2       | SL Malinga          | 5/80     | Sri Lanka v New Zealand    | 2005-04-04 |
| 24.2       | M Muralitharan      | 6/54     | Sri Lanka v Bangladesh     | 2006-02-28 |
| 24.2       | D Olivier           | 5/51     | South Africa v Pakistan    | 2019-01-11 |
| 24.1       | FJ Titmus           | 5/66     | England v South Africa     | 1964-12-04 |
| 24.1       | MS Panesar          | 5/92     | England v Australia        | 2006-12-14 |
| 24.1       | G Onions            | 5/38     | England v West Indies      | 2009-05-06 |
| 24.1       | DE Bollinger        | 5/70     | Australia v West Indies    | 2009-12-16 |
| 24.1       | MG Johnson          | 6/38     | Australia v England        | 2010-12-16 |
| 24.1       | HH Pandya           | 5/28     | India v England            | 2018-08-18 |
| 23.6       | BS Chandrasekhar    | 5/50     | India v England            | 1977-01-14 |
| 23.6       | A Nel               | 5/87     | South Africa v West Indies | 2004-01-02 |
| 23.6       | BA Stokes           | 6/36     | England v Australia        | 2015-08-06 |
| 23.6       | TA Boult            | 5/123    | New Zealand v Bangladesh   | 2019-02-28 |
| 23.5       | Shoaib Akhtar       | 5/24     | Pakistan v West Indies     | 2002-01-31 |
| 23.5       | MDK Perera          | 5/109    | Sri Lanka v Bangladesh     | 2014-01-27 |
| 23.4       | M Muralitharan      | 5/59     | Sri Lanka v Bangladesh     | 2002-07-21 |
| 23.3       | Harbhajan Singh     | 7/62     | India v Sri Lanka          | 2005-12-18 |
| 23.3       | MA Starc            | 5/88     | Australia v England        | 2017-12-02 |
| 23.2       | Harbhajan Singh     | 6/73     | India v Australia          | 2001-03-11 |
| 23.2       | M Muralitharan      | 5/49     | Sri Lanka v India          | 2001-08-14 |
| 23.2       | AF Giles            | 5/67     | England v India            | 2001-12-11 |
| 23.2       | D Bishoo            | 6/80     | West Indies v Australia    | 2015-06-03 |
| 23.2       | K Rabada            | 6/55     | South Africa v Sri Lanka   | 2017-01-02 |
| 23.1       | Harbhajan Singh     | 7/87     | India v South Africa       | 2004-11-28 |
| 23.1       | MA Starc            | 5/63     | Australia v Sri Lanka      | 2012-12-14 |
| 23.1       | Mehedi Hasan Miraz  | 6/77     | Bangladesh v England       | 2016-10-28 |
| 23.1       | JO Holder           | 5/44     | West Indies v Bangladesh   | 2018-07-12 |
| 23.1       | Rashid Khan         | 6/49     | Afghanistan v Bangladesh   | 2019-09-05 |
| 22.6       | SCJ Broad           | 5/37     | England v Australia        | 2009-08-20 |
| 22.6       | GP Swann            | 5/159    | England v Australia        | 2013-08-01 |
| 22.6       | N Wagner            | 5/64     | New Zealand v Bangladesh   | 2013-10-21 |
| 22.6       | Mehedi Hasan Miraz  | 5/38     | Bangladesh v Zimbabwe      | 2018-11-11 |
| 22.5       | M Muralitharan      | 5/49     | Sri Lanka v New Zealand    | 2003-05-03 |
| 22.5       | PVD Chameera        | 5/47     | Sri Lanka v New Zealand    | 2015-12-18 |
| 22.5       | Yasir Shah          | 6/184    | Pakistan v Sri Lanka       | 2017-10-06 |
| 22.4       | C White             | 5/32     | England v West Indies      | 2000-08-31 |
| 22.3       | CEH Croft           | 6/74     | West Indies v England      | 1981-03-27 |
| 22.3       | AA Donald           | 5/79     | South Africa v Pakistan    | 1998-02-26 |
| 22.3       | SK Warne            | 5/90     | Australia v Sri Lanka      | 2004-03-16 |
| 22.3       | DJG Sammy           | 7/66     | West Indies v England      | 2007-06-07 |
| 22.2       | Mahmudullah         | 5/51     | Bangladesh v West Indies   | 2009-07-09 |
| 22.2       | MR Gillespie        | 5/59     | New Zealand v South Africa | 2012-03-15 |
| 22.2       | JC Nyumbu           | 5/157    | Zimbabwe v South Africa    | 2014-08-09 |
| 22.2       | L Ambuldeniya       | 5/66     | Sri Lanka v South Africa   | 2019-02-13 |
| 22.1       | AR Caddick          | 5/14     | England v West Indies      | 2000-08-17 |
| 22.1       | CBRLS Kumara        | 6/122    | Sri Lanka v South Africa   | 2017-01-02 |
| 21.6       | HJ Tayfield         | 6/62     | South Africa v New Zealand | 1953-12-11 |
| 21.6       | A Mishra            | 5/71     | India v Australia          | 2008-10-17 |
| 21.6       | Imran Tahir         | 5/32     | South Africa v Pakistan    | 2013-10-23 |
| 21.6       | JM Anderson         | 5/58     | England v Sri Lanka        | 2016-05-27 |
| 21.6       | K Yadav             | 5/99     | India v Australia          | 2019-01-03 |
| 21.5       | Mohammad Rafique    | 6/77     | Bangladesh v South Africa  | 2003-05-01 |
| 21.5       | DW Steyn            | 5/52     | South Africa v Pakistan    | 2013-02-01 |
| 21.5       | N Wagner            | 7/39     | New Zealand v West Indies  | 2017-12-01 |
| 21.5       | MA Wood             | 5/41     | England v West Indies      | 2019-02-09 |
| 21.5       | Nauman Ali          | 5/86     | Pakistan v Zimbabwe        | 2021-05-07 |
| 21.4       | HJ Tayfield         | 6/13     | South Africa v New Zealand | 1954-01-29 |
| 21.4       | M Ntini             | 5/83     | South Africa v Pakistan    | 2007-01-11 |
| 21.4       | M Muralitharan      | 6/28     | Sri Lanka v Bangladesh     | 2007-07-11 |
| 21.4       | Yasir Shah          | 8/41     | Pakistan v New Zealand     | 2018-11-24 |
| 21.3       | Mohammad Rafique    | 5/118    | Bangladesh v Pakistan      | 2003-08-27 |
| 21.3       | SCJ Broad           | 6/51     | England v New Zealand      | 2013-03-14 |
| 21.3       | SP Narine           | 6/91     | West Indies v New Zealand  | 2013-12-19 |
| 21.2       | PA Strang           | 8/109    | Zimbabwe v New Zealand     | 2000-09-12 |
| 21.2       | Harbhajan Singh     | 8/84     | India v Australia          | 2001-03-18 |
| 21.2       | M Muralitharan      | 5/143    | Sri Lanka v England        | 2002-05-30 |
| 21.2       | Danish Kaneria      | 7/118    | Pakistan v Sri Lanka       | 2004-10-28 |
| 21.2       | CD Collymore        | 5/48     | West Indies v India        | 2006-06-30 |
| 21.2       | NM Lyon             | 6/49     | Australia v England        | 2019-08-01 |
| 21.1       | AF Giles            | 5/75     | England v Pakistan         | 2000-11-29 |
| 21.1       | B Lee               | 5/67     | Australia v New Zealand    | 2001-11-08 |
| 21.1       | PM Siddle           | 5/50     | Australia v England        | 2013-07-10 |
| 21.1       | MDK Perera          | 5/75     | Sri Lanka v England        | 2018-11-06 |
| 20.6       | JN Gillespie        | 5/89     | Australia v West Indies    | 2000-12-15 |
| 20.5       | MS Panesar          | 5/72     | England v Pakistan         | 2006-07-27 |
| 20.5       | DW Steyn            | 5/82     | South Africa v Sri Lanka   | 2006-08-04 |
| 20.5       | MKPAD Perera        | 5/24     | Sri Lanka v Bangladesh     | 2018-02-08 |
| 20.5       | Mohammed Shami      | 6/56     | India v Australia          | 2018-12-14 |
| 20.4       | ARC Fraser          | 8/53     | England v West Indies      | 1998-02-05 |
| 20.4       | AJ Bichel           | 5/60     | Australia v West Indies    | 2000-12-26 |
| 20.4       | M Muralitharan      | 5/63     | Sri Lanka v India          | 2010-07-18 |
| 20.4       | CT Tremlett         | 5/87     | England v Australia        | 2010-12-16 |
| 20.4       | Abdur Rehman        | 6/25     | Pakistan v England         | 2012-01-25 |
| 20.3       | BS Chandrasekhar    | 5/65     | India v England            | 1972-12-30 |
| 20.3       | M Muralitharan      | 5/128    | Sri Lanka v South Africa   | 2006-08-04 |
| 20.3       | MS Panesar          | 6/126    | England v New Zealand      | 2008-03-22 |
| 20.2       | SCG MacGill         | 7/50     | Australia v England        | 1999-01-02 |
| 20.2       | M Muralitharan      | 5/13     | Sri Lanka v Bangladesh     | 2001-09-06 |
| 20.2       | Shoaib Akhtar       | 5/21     | Pakistan v Australia       | 2002-10-03 |
| 20.2       | M Muralitharan      | 5/39     | Sri Lanka v Pakistan       | 2006-04-03 |
| 20.2       | LE Plunkett         | 5/64     | England v Sri Lanka        | 2014-06-20 |
| 20.1       | SP Jones            | 6/53     | England v Australia        | 2005-08-11 |
| 20.1       | KA Jamieson         | 5/31     | New Zealand v India        | 2021-06-18 |
| 19.6       | A Kumble            | 6/131    | India v South Africa       | 2004-11-20 |
| 19.6       | R Ashwin            | 5/63     | India v Australia          | 2013-03-02 |
| 19.6       | RA Jadeja           | 5/30     | India v South Africa       | 2015-12-03 |
| 19.6       | KA Jamieson         | 5/69     | New Zealand v Pakistan     | 2021-01-03 |
| 19.5       | AA Donald           | 5/74     | South Africa v England     | 1999-11-25 |
| 19.5       | JR Hazlewood        | 5/38     | Australia v West Indies    | 2015-06-11 |
| 19.4       | FA Rose             | 7/84     | West Indies v South Africa | 1998-12-26 |
| 19.4       | N Boje              | 5/83     | South Africa v India       | 2000-03-02 |
| 19.4       | M Muralitharan      | 6/71     | Sri Lanka v Pakistan       | 2000-03-05 |
| 19.3       | NM Hauritz          | 5/53     | Australia v Pakistan       | 2010-01-03 |
| 19.3       | Junaid Khan         | 5/58     | Pakistan v Sri Lanka       | 2013-12-31 |
| 19.3       | RL Chase            | 5/121    | West Indies v India        | 2016-07-30 |
| 19.2       | Abdur Rehman        | 5/40     | Pakistan v England         | 2012-02-03 |
| 19.2       | NM Lyon             | 7/152    | Australia v India          | 2014-12-09 |
| 19.1       | Yasir Shah          | 7/76     | Pakistan v Sri Lanka       | 2015-06-17 |
| 19.1       | MKPAD Perera        | 6/115    | Sri Lanka v England        | 2018-11-14 |
| 19.1       | KA Jamieson         | 5/45     | New Zealand v India        | 2020-02-29 |
| 18.7       | KR Miller           | 5/40     | Australia v South Africa   | 1949-12-24 |
| 18.6       | Naimur Rahman       | 6/132    | Bangladesh v India         | 2000-11-10 |
| 18.6       | Enamul Haque        | 7/95     | Bangladesh v Zimbabwe      | 2005-01-14 |
| 18.6       | Saeed Ajmal         | 7/55     | Pakistan v England         | 2012-01-17 |
| 18.6       | S Shillingford      | 5/59     | West Indies v Zimbabwe     | 2013-03-20 |
| 18.6       | K Yadav             | 5/57     | India v West Indies        | 2018-10-04 |
| 18.5       | A Kumble            | 7/63     | India v Pakistan           | 2005-03-16 |
| 18.5       | SK Warne            | 6/80     | Australia v West Indies    | 2005-11-25 |
| 18.5       | M Muralitharan      | 5/15     | Sri Lanka v Bangladesh     | 2007-06-25 |
| 18.5       | MA Wood             | 5/46     | England v South Africa     | 2020-01-24 |
| 18.4       | NO Perry            | 5/70     | West Indies v Australia    | 1999-03-13 |
| 18.4       | B Lee               | 5/77     | Australia v New Zealand    | 2000-03-31 |
| 18.4       | GD McGrath          | 7/76     | Australia v England        | 2001-08-16 |
| 18.4       | Danish Kaneria      | 7/188    | Pakistan v Australia       | 2005-01-02 |
| 18.4       | JJ Krejza           | 8/215    | Australia v India          | 2008-11-06 |
| 18.3       | DL Vettori          | 7/87     | New Zealand v Australia    | 2000-03-11 |
| 18.3       | M Muralitharan      | 6/87     | Sri Lanka v South Africa   | 2000-07-20 |
| 18.3       | WPUJC Vaas          | 6/73     | Sri Lanka v England        | 2001-03-15 |
| 18.3       | SK Warne            | 5/43     | Australia v Sri Lanka      | 2004-03-08 |
| 18.3       | RJ Peterson         | 5/33     | South Africa v Bangladesh  | 2008-02-29 |
| 18.3       | Mohammad Abbas      | 5/62     | Pakistan v Australia       | 2018-10-16 |
| 18.3       | CR Woakes           | 5/50     | England v West Indies      | 2020-07-24 |
| 18.2       | Z Khan              | 5/75     | India v England            | 2007-07-27 |
| 18.2       | Taijul Islam        | 5/62     | Bangladesh v Zimbabwe      | 2018-11-03 |
| 18.1       | GD McGrath          | 6/17     | Australia v West Indies    | 2000-11-23 |
| 18.1       | A Kumble            | 6/133    | India v Australia          | 2004-10-14 |
| 18.1       | PP Ojha             | 5/99     | India v New Zealand        | 2012-08-31 |
| 17.6       | R Ashwin            | 5/69     | India v New Zealand        | 2012-08-31 |
| 17.6       | KJ Abbott           | 7/29     | South Africa v Pakistan    | 2013-02-22 |
| 17.6       | S Shillingford      | 5/34     | West Indies v Zimbabwe     | 2013-03-20 |
| 17.6       | Yasir Shah          | 5/71     | Pakistan v England         | 2016-08-11 |
| 17.6       | TG Southee          | 5/69     | New Zealand v Australia    | 2019-12-12 |
| 17.5       | M Muralitharan      | 6/59     | Sri Lanka v Australia      | 2004-03-08 |
| 17.5       | Danish Kaneria      | 5/46     | Pakistan v West Indies     | 2005-06-03 |
| 17.5       | CR Woakes           | 5/32     | England v Pakistan         | 2016-07-14 |
| 17.5       | I Sharma            | 5/43     | India v West Indies        | 2019-08-22 |
| 17.4       | ESH Giddins         | 5/15     | England v Zimbabwe         | 2000-05-18 |
| 17.4       | DL Vettori          | 6/100    | New Zealand v Bangladesh   | 2004-10-26 |
| 17.3       | GB Lawrence         | 5/52     | South Africa v New Zealand | 1962-02-02 |
| 17.3       | Harbhajan Singh     | 5/146    | India v Australia          | 2004-10-06 |
| 17.3       | MS Kasprowicz       | 5/30     | Australia v Pakistan       | 2004-12-16 |
| 17.3       | SK Warne            | 6/122    | Australia v England        | 2005-09-08 |
| 17.3       | DJ Bravo            | 6/84     | West Indies v Australia    | 2005-11-25 |
| 17.3       | SR Clark            | 5/55     | Australia v South Africa   | 2006-03-16 |
| 17.3       | M Muralitharan      | 5/84     | Sri Lanka v India          | 2008-07-23 |
| 17.2       | Mohammad Asif       | 6/41     | Pakistan v Australia       | 2010-01-03 |
| 17.2       | Harbhajan Singh     | 5/59     | India v South Africa       | 2010-02-14 |
| 17.1       | FH Tyson            | 6/40     | England v South Africa     | 1957-03-01 |
| 17.1       | A Kumble            | 6/72     | India v Pakistan           | 2004-03-28 |
| 17.1       | Danish Kaneria      | 6/150    | Pakistan v India           | 2005-03-08 |
| 16.6       | SB Joshi            | 5/142    | India v Bangladesh         | 2000-11-10 |
| 16.6       | AR Caddick          | 6/122    | England v New Zealand      | 2002-03-13 |
| 16.6       | M Ntini             | 5/145    | South Africa v England     | 2003-07-31 |
| 16.6       | SK Warne            | 5/116    | Australia v Sri Lanka      | 2004-03-08 |
| 16.6       | Enamul Haque        | 6/45     | Bangladesh v Zimbabwe      | 2005-01-06 |
| 16.6       | JJ Bumrah           | 5/64     | India v England            | 2021-08-04 |
| 16.5       | HDPK Dharmasena     | 6/72     | Sri Lanka v New Zealand    | 1998-06-03 |
| 16.5       | MD Craig            | 7/94     | New Zealand v Pakistan     | 2014-11-26 |
| 16.5       | Sohail Khan         | 5/68     | Pakistan v England         | 2016-08-11 |
| 16.4       | Danish Kaneria      | 6/52     | Pakistan v Bangladesh      | 2001-08-29 |
| 16.4       | N Wagner            | 6/41     | New Zealand v Zimbabwe     | 2016-07-28 |
| 16.4       | PAKP Jayawickrama   | 5/86     | Sri Lanka v Bangladesh     | 2021-04-29 |
| 16.3       | KR Pushpakumara     | 5/56     | Sri Lanka v Zimbabwe       | 1999-12-04 |
| 16.3       | D Ramnarine         | 5/78     | West Indies v South Africa | 2001-03-29 |
| 16.3       | SK Warne            | 6/33     | Australia v England        | 2001-08-02 |
| 16.3       | JH Kallis           | 6/54     | South Africa v England     | 2003-08-21 |
| 16.3       | M Muralitharan      | 7/46     | Sri Lanka v England        | 2003-12-02 |
| 16.3       | Mohammad Rafique    | 5/65     | Bangladesh v Zimbabwe      | 2005-01-06 |
| 16.3       | M Muralitharan      | 6/86     | Sri Lanka v England        | 2006-05-25 |
| 16.3       | DW Steyn            | 5/54     | South Africa v Sri Lanka   | 2014-07-16 |
| 16.2       | AN Connolly         | 5/47     | Australia v South Africa   | 1970-01-22 |
| 16.2       | JH Kallis           | 6/67     | South Africa v West Indies | 2001-03-29 |
| 16.2       | Danish Kaneria      | 6/42     | Pakistan v Bangladesh      | 2001-08-29 |
| 16.2       | DJ Bravo            | 6/55     | West Indies v England      | 2004-08-12 |
| 16.2       | DT Hondo            | 6/59     | Zimbabwe v Bangladesh      | 2005-01-14 |
