TITLE: Highest Scores On List A Debut
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Player                        | Runs | Match                                                                        | StartDate  | Venue                                                                         | MatchId | PlayerId |
| Raheel Majeed                 | 85   | Islamabad v Rawalpindi                                                       | 2001-04-29 | United Bank Limited Sports Complex, Karachi                                   | a13387  | 35681    |
| Mohammad Mazhar               | 85   | Khulna Division v Dhaka Division                                             | 2007-04-02 | Dhanmondi Cricket Stadium, Dhaka                                              | a18165  | 171825   |
| Givon Christian               | 85   | Western Province v Griqualand West                                           | 2012-03-03 | De Beers Diamond Oval, Kimberley                                              | a21860  | 1054594  |
| Mohammad Naeem                | 85   | Pakistan Television v United Bank Limited                                    | 2014-01-03 | Diamond Club Ground, Islamabad                                                | a23176  | 251743   |
| Shubham Chaubey               | 85   | Uttar Pradesh v Saurashtra                                                   | 2015-12-16 | Madhavrao Scindia Cricket Ground, Rajkot                                      | a24445  | 1916996  |
| Neville Budge                 | 84   | EJ Barlow's XI v BW Burrow's XI                                              | 1970-03-30 | Newlands, Cape Town                                                           | a288    | 13083    |
| Irshad Mirza                  | 84   | Railways v Punjab                                                            | 1974-12-17 | Gaddafi Stadium, Lahore                                                       | a1317   | 42372    |
| Nigel Felton                  | 84   | Somerset v Glamorgan                                                         | 1984-07-15 | Sophia Gardens, Cardiff                                                       | a4124   | 3544     |
| Roelof Hugo                   | 84   | Mpumalanga v Gauteng                                                         | 2006-10-07 | Lenasia Stadium, Johannesburg                                                 | a17638  | 137551   |
| Eranga Rathnayake             | 84   | Galle District v Hambantota District                                         | 2017-03-26 | Kalutara Esplanade, Kalutara                                                  | a25392  | 1234807  |
| Harry Tector                  | 84   | Northern Knights v North West Warriors                                       | 2018-05-28 | Civil Service Cricket Club, Stormont, Belfast                                 | a26450  | 1322798  |
| Aryan Lakra                   | 84   | United Arab Emirates v United States of America                              | 2022-08-11 | Mannofield Park, Aberdeen                                                     | a29359  | 2114824  |
| Pavan Shah                    | 84   | Maharashtra v Mumbai                                                         | 2022-11-17 | Jharkhand State Cricket Association International Stadium, Ranchi             | a29581  | 2124016  |
| Matthew Nandu                 | 84   | West Indies Academy v Combined Campuses and Colleges                         | 2023-10-19 | Brian Lara Stadium, Tarouba                                                   | a30297  | 2474551  |
| Ron Headley                   | 83   | Worcestershire v Surrey                                                      | 1963-05-22 | County Ground, New Road, Worcester                                            | a8      | 1415     |
| Mike Page                     | 83   | Derbyshire v Essex                                                           | 1965-04-28 | Old County Ground, Brentwood                                                  | a42     | 31850    |
| Nisar Zaman                   | 83   | Lahore City v Karachi Blues                                                  | 1989-10-20 | Lahore City Cricket Association Ground, Lahore                                | a6261   | 19525    |
| Brad Doody                    | 83   | Canterbury v Northern Districts                                              | 1996-12-06 | Cobham Oval, Whangarei                                                        | a10203  | 10167    |
| Khurram Manzoor               | 83   | Karachi Blues v Public Works Department                                      | 2003-02-27 | Lahore Country Club, Muridke                                                  | a14955  | 45708    |
| Raisul Islam                  | 83   | Barisal Division v Khulna Division                                           | 2007-03-31 | Dhanmondi Cricket Stadium, Dhaka                                              | a18157  | 163665   |
| Shoaib Shaikh                 | 83   | Mumbai v Saurashtra                                                          | 2012-02-25 | Wankhede Stadium, Mumbai                                                      | a21816  | 153995   |
| Rinku Singh                   | 83   | Uttar Pradesh v Vidarbha                                                     | 2014-03-05 | KL Saini Ground, Jaipur                                                       | a23327  | 1376795  |
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
