+-------------------------+------------------+------------------+-----------+--------+
| Bowler                  | Prev Wicket      | Next Wicket      | Time Diff | InDays |
| Chris Cairns            | 11 - 1992-01-30  | 12 - 1996-11-28  | 4Y 303D   | 1764   |
| Pat Pocock              | 6 - 1968-06-06   | 7 - 1973-03-16   | 4Y 283D   | 1744   |
| Bapu Nadkarni           | 6 - 1960-01-01   | 7 - 1964-10-02   | 4Y 275D   | 1736   |
| Pervez Sajjad           | 5 - 1965-01-29   | 6 - 1969-10-24   | 4Y 268D   | 1729   |
| Abdul Qadir             | 6 - 1978-01-02   | 7 - 1982-09-22   | 4Y 263D   | 1724   |
| Jeff Thomson            | 33 - 1978-03-17  | 34 - 1982-11-26  | 4Y 254D   | 1715   |
| Trevor Bailey           | 12 - 1949-07-23  | 13 - 1954-03-30  | 4Y 250D   | 1711   |
| Heath Streak            | 16 - 1995-02-07  | 17 - 1999-10-14  | 4Y 249D   | 1710   |
| Derek Underwood         | 95 - 1977-07-07  | 96 - 1982-02-17  | 4Y 225D   | 1686   |
| Ravi Jadeja             | 49 - 2017-08-03  | 50 - 2022-03-04  | 4Y 213D   | 1674   |
| Terry Alderman          | 27 - 1984-11-09  | 28 - 1989-06-08  | 4Y 211D   | 1672   |
| Venkat                  | 8 - 1965-03-19   | 9 - 1969-10-03   | 4Y 198D   | 1659   |
| Hedley Verity           | 27 - 1934-06-22  | 28 - 1938-12-31  | 4Y 192D   | 1653   |
| Jacques Kallis          | 22 - 2003-08-21  | 23 - 2008-02-22  | 4Y 185D   | 1646   |
| Peter Pollock           | 43 - 1965-08-26  | 44 - 1970-02-19  | 4Y 177D   | 1638   |
| Mervyn Dillon           | 5 - 1997-12-06   | 6 - 2002-05-18   | 4Y 163D   | 1624   |
| Tim Southee             | 5 - 2008-03-22   | 6 - 2012-08-31   | 4Y 162D   | 1623   |
| Chris Lewis             | 11 - 1992-01-30  | 12 - 1996-06-06  | 4Y 128D   | 1589   |
| Mark Gillespie          | 5 - 2007-11-16   | 6 - 2012-03-15   | 4Y 120D   | 1581   |
| Lance Gibbs             | 72 - 1968-12-06  | 73 - 1973-03-23  | 4Y 107D   | 1568   |
| Rumesh Ratnayake        | 11 - 1985-09-06  | 12 - 1989-12-16  | 4Y 101D   | 1562   |
| Frank Laver             | 7 - 1905-05-29   | 8 - 1909-07-26   | 4Y 58D    | 1519   |
| Bhagwat Chandrasekhar   | 12 - 1967-06-22  | 13 - 1971-08-19  | 4Y 58D    | 1519   |
| Mushtaq Mohammad        | 5 - 1973-02-07   | 6 - 1977-04-01   | 4Y 53D    | 1514   |
| Courtney Walsh          | 26 - 1990-02-24  | 27 - 1994-04-08  | 4Y 43D    | 1504   |
| Derek Pringle           | 5 - 1984-06-14   | 6 - 1988-07-21   | 4Y 37D    | 1498   |
| Dilhara Fernando        | 10 - 2001-08-14  | 11 - 2005-09-20  | 4Y 37D    | 1498   |
