+--------+-------+-------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                           | Match                                                                 | StartDate  |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Odhiambo, Onyango, Ongondo]                                | Kenya v Ireland                                                       | 2009-04-17 |
| O      | 8     | [Obuya, Otieno, Obanda, Ouma, Obuya, Odoyo, Odhiambo, Ongondo]                                  | Kenya v Ireland                                                       | 2009-07-09 |
| O      | 8     | [Obuya, Otieno, Obanda, Ouma, Obuya, Odoyo, Odhiambo, Ongondo]                                  | Kenya v Ireland                                                       | 2009-07-11 |
| O      | 8     | [Obuya, Ouma, Obanda, Obuya, Odoyo, Odhiambo, Ongondo, Onyango]                                 | Kenya v Canada                                                        | 2009-08-22 |
| O      | 8     | [Obuya, Obanda, Ouma, Obuya, Odhiambo, Ongondo, Onyango, Otieno]                                | Kenya v Zimbabwe                                                      | 2009-10-12 |
| O      | 8     | [Obuya, Obanda, Ouma, Obuya, Onyango, Odhiambo, Ongondo, Otieno]                                | Kenya v Zimbabwe                                                      | 2009-10-13 |
| M      | 8     | [Mawoyo, Mlambo, Mawudzi, Maruma, Marumisa, Masakadza, M'shangwe, Mujaji]                       | Mountaineers v Mid West Rhinos                                        | 2009-10-27 |
| M      | 8     | [Masakadza, Matsikenyeri, Mawoyo, Marumisa, Mlambo, Maruma, Masakadza, Musoso]                  | Mountaineers v Mashonaland Eagles                                     | 2009-11-21 |
| M      | 8     | [Mawoyo, Mlambo, Masakadza, Maruma, Matsikenyeri, Marumisa, Masakadza, Musoso]                  | Mountaineers v Southern Rocks                                         | 2009-11-29 |
| A      | 8     | [Ahmed, Ahmed, Ahmed, Ali, Afridi, Ahmed, Ahmed, Ahmed]                                         | Peshawar Panthers v Lahore Lions                                      | 2012-02-27 |
| A      | 8     | [Ahmed, Ahmed, Ahmed, Ali, Afridi, Ahmed, Ahmed, Ahmed]                                         | Peshawar Panthers v Khan Research Laboratories                        | 2012-02-29 |
| M      | 8     | [Mpofu, Mujuru, Mamhiyo, Mupariwa, Mboyi, Mboyi, Mupariwa, Mpofu]                               | Matabeleland Tuskers v Mid West Rhinos                                | 2014-03-02 |
| M      | 8     | [Maruma, Masakadza, Mutizwa, Masakadza, M'shangwe, Mufudza, Mupunga, Mawoyo]                    | Mountaineers v Mashonaland Eagles                                     | 2014-03-28 |
| M      | 8     | [Musakanda, Maruma, Masvaure, Mbofana, Mumba, Muzhange, Mayavo, Munyede]                        | Mid West Rhinos v Matabeleland Tuskers                                | 2015-11-11 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Sran, Sidana]                                        | Punjab v Assam                                                        | 2015-12-14 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Sidana, Singh, Sran]                                        | Punjab v Rajasthan                                                    | 2015-12-15 |
| S      | 8     | [Singh, Singh, Singh, Singh, Sidana, Singh, Singh, Sran]                                        | Punjab v Services                                                     | 2015-12-18 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Sidana, Singh, Sran]                                        | Punjab v Himachal Pradesh                                             | 2015-12-23 |
| H      | 8     | [Hasan, Hasan, Hossain, Haque, Haque, Hossain, Hossain, Haque]                                  | Prime Bank Cricket Club v Brothers Union                              | 2018-02-11 |
| A      | 8     | [Ali, Amin, Ahmed, Alam, Aziz, Akmal, Asif, Asghar]                                             | Sindh v Punjab                                                        | 2018-05-04 |
| S      | 8     | [Singh, Singh, Singh, Singh, Sultan, Singh, Singh, Singh]                                       | Manipur v Mizoram                                                     | 2018-09-28 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Shaurya, Salam]                                      | Manipur v Meghalaya                                                   | 2018-10-06 |
| S      | 8     | [Singh, Singh, Singh, Shah, Singh, Singh, Singh, Singh]                                         | Manipur v Nagaland                                                    | 2019-09-24 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Shah, Singh, Singh]                                         | Manipur v Sikkim                                                      | 2019-09-28 |
| H      | 8     | [Hasan, Hossain, Haque, Hossain, Hasan, Haque, Haider, Hossain]                                 | Bangladesh A v Sri Lanka A                                            | 2019-10-12 |
| S      | 8     | [Singh, Singh, Sultan, Singh, Singh, Singh, Singh, Singh]                                       | Manipur v Puducherry                                                  | 2019-10-14 |
| S      | 8     | [Singh, Sharma, Singh, Singh, Singh, Sharma, Sharma, Singh]                                     | Punjab v Jharkhand                                                    | 2021-02-22 |
| S      | 8     | [Sharma, Singh, Singh, Singh, Singh, Singh, Sran, Sharma]                                       | Punjab v Madhya Pradesh                                               | 2021-02-28 |
| M      | 8     | [Matsiwe, Masvaure, Madziva, Musekiwa, Mumba, Mavuta, Murwendo, Macheka]                        | Rhinos v Mountaineers                                                 | 2021-11-17 |
| M      | 8     | [Matsiwe, Masvaure, Madziva, Musekiwa, Mumba, Mavuta, Murwendo, Macheka]                        | Rhinos v Mountaineers                                                 | 2021-11-19 |
| A      | 7     | [Ali, Ahmed, Ahmed, Alam, Arshad, Ali, Anwar]                                                   | Punjab v Servis Industries                                            | 1976-03-19 |
| A      | 7     | [Ali, Ahmed, Alam, Ahmed, Alam, Ahmed, Ahmed]                                                   | House Building Finance Corporation v Pakistan Automobiles Corporation | 1984-02-12 |
| A      | 7     | [Anwar, Arif sen, Ahmed, Amin, Arif jun, Ahmed, Ahmed]                                          | State Bank of Pakistan v Allied Bank Limited                          | 1984-02-15 |
| A      | 7     | [Ali, Ahmed, Abbas, Ahmed, Alam, Ahmed, Ahmed]                                                  | House Building Finance Corporation v Lahore City                      | 1984-02-15 |
| A      | 7     | [Akhtar, Ahmed, Anwar, Ali, Anwar, Ahmed, Askari]                                               | United Bank Limited v House Building Finance Corporation              | 1987-09-08 |
| A      | 7     | [Ali, Abbas, Arif, Alam, Alam, Ahmed, Ahmed]                                                    | House Building Finance Corporation v Pakistan International Airlines  | 1987-09-14 |
| S      | 7     | [Shastri, Sapru, Singh, Sharma, Sharma, Singh, Sunderam]                                        | Central Zone v East Zone                                              | 1987-09-22 |
