+-------------------------------------------------+--------------------+-----------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------+
| Team                                            | # Of Matches(Draw) | Start Streak                                                                            | End Streak                                                                                |
| Nottinghamshire                                 | 10                 | Essex v Nottinghamshire(1967-08-05)                                                     | Yorkshire v Nottinghamshire(1968-05-18)                                                   |
| Lancashire                                      | 10                 | Lancashire v Leicestershire(1968-09-04)                                                 | Kent v Lancashire(1969-06-14)                                                             |
| Australians                                     | 10                 | Cambridge University Past and Present v Australians(1886-08-23)                         | England XI v Australians(1886-09-27)                                                      |
| Warwickshire                                    | 10                 | Glamorgan v Warwickshire(1928-07-28)                                                    | Warwickshire v Gloucestershire(1929-05-04)                                                |
| West Indies                                     | 10                 | West Indies v India(1971-03-19)                                                         | West Indies v Australia(1973-03-09)                                                       |
| New Zealanders                                  | 10                 | Sri Lanka Board President's XI v New Zealanders(1984-02-29)                             | New South Wales v New Zealanders(1985-11-15)                                              |
| Worcestershire                                  | 10                 | Middlesex v Worcestershire(1992-07-17)                                                  | Hampshire v Worcestershire(1992-09-12)                                                    |
| South Africans                                  | 10                 | Gloucestershire v South Africans(1951-05-16)                                            | Yorkshire v South Africans(1951-06-30)                                                    |
| Gujarat                                         | 10                 | Saurashtra v Gujarat(1988-01-10)                                                        | Gujarat v Baroda(1990-11-23)                                                              |
| Bengal                                          | 10                 | Bengal v Mumbai(2014-12-28)                                                             | Haryana v Bengal(2015-10-30)                                                              |
| Baroda                                          | 10                 | Baroda v Saurashtra(1964-11-07)                                                         | Baroda v Maharashtra(1967-01-08)                                                          |
| Uttar Pradesh                                   | 10                 | Uttar Pradesh v Railways(1986-12-05)                                                    | Uttar Pradesh v Railways(1988-11-25)                                                      |
| Pakistanis                                      | 10                 | Otago v Pakistanis(1965-01-14)                                                          | Surrey v Pakistanis(1967-07-15)                                                           |
| Sargodha                                        | 10                 | Sargodha v Karachi Whites(1995-01-10)                                                   | Sargodha v Karachi Blues(1999-02-22)                                                      |
| Sri Lankans                                     | 10                 | Derbyshire v Sri Lankans(1979-06-27)                                                    | Warwickshire v Sri Lankans(1981-06-20)                                                    |
| Sinhalese Sports Club                           | 10                 | Sinhalese Sports Club v Chilaw Marians Cricket Club(2009-10-30)                         | Colts Cricket Club v Sinhalese Sports Club(2011-02-25)                                    |
| Lahore Ravi                                     | 10                 | Faisalabad v Lahore Ravi(2007-12-26)                                                    | Lahore Ravi v Abbottabad(2009-02-19)                                                      |
| Loughborough Marylebone Cricket Club University | 10                 | Sussex v Loughborough Marylebone Cricket Club University(2014-04-01)                    | Loughborough Marylebone Cricket Club University v Lancashire(2018-04-07)                  |
| Rangpur Division                                | 10                 | Rajshahi Division v Rangpur Division(2017-01-03)                                        | Khulna Division v Rangpur Division(2018-10-15)                                            |
| Hampshire                                       | 9                  | Hampshire v Worcestershire(1978-07-08)                                                  | Northamptonshire v Hampshire(1978-08-19)                                                  |
| Surrey                                          | 9                  | Sussex v Surrey(1927-07-27)                                                             | Surrey v Leicestershire(1927-08-24)                                                       |
| Surrey                                          | 9                  | Marylebone Cricket Club v Surrey(1930-05-07)                                            | Nottinghamshire v Surrey(1930-06-07)                                                      |
| Surrey                                          | 9                  | Surrey v Worcestershire(1965-05-19)                                                     | Surrey v Essex(1965-06-26)                                                                |
| Surrey                                          | 9                  | Glamorgan v Surrey(1970-06-20)                                                          | Surrey v Gloucestershire(1970-08-05)                                                      |
| Surrey                                          | 9                  | Surrey v Lancashire(1990-05-03)                                                         | Glamorgan v Surrey(1990-06-30)                                                            |
| Middlesex                                       | 9                  | Middlesex v Yorkshire(1936-06-10)                                                       | Somerset v Middlesex(1936-07-25)                                                          |
| Essex                                           | 9                  | Northamptonshire v Essex(1980-08-20)                                                    | Yorkshire v Essex(1981-06-03)                                                             |
| Marylebone Cricket Club                         | 9                  | Marylebone Cricket Club v Yorkshire(1968-04-27)                                         | West Pakistan Governor's XI v Marylebone Cricket Club(1969-02-15)                         |
| Sussex                                          | 9                  | Sussex v Kent(1980-05-28)                                                               | Sussex v Hampshire(1980-07-05)                                                            |
| Cambridge University                            | 9                  | Cambridge University v Leicestershire(1997-04-18)                                       | Cambridge University v Leicestershire(1998-04-17)                                         |
| Lancashire                                      | 9                  | Lancashire v Warwickshire(1930-07-12)                                                   | Lancashire v Hampshire(1930-08-09)                                                        |
| Gloucestershire                                 | 9                  | Gloucestershire v Northamptonshire(1981-06-10)                                          | Gloucestershire v Glamorgan(1981-07-18)                                                   |
| Australians                                     | 9                  | Worcestershire v Australians(1985-05-11)                                                | Glamorgan v Australians(1985-07-20)                                                       |
