+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| Ray Illingworth         | 61           | 90      | 1836  | 11  | 113 | 23.24   | 787        | 1073    | 24134 | 213 | 162 | 28.06   | 4.82   |
| Asanka Gurusinha        | 41           | 70      | 2452  | 7   | 143 | 38.92   | 124        | 183     | 7169  | 19  | 162 | 43.71   | 4.79   |
| Daren Powell            | 37           | 57      | 407   | 5   | 36  | 7.82    | 102        | 144     | 1525  | 23  | 69  | 12.60   | 4.77   |
| Graham Yallop           | 39           | 70      | 2756  | 3   | 268 | 41.13   | 164        | 283     | 11615 | 30  | 268 | 45.90   | 4.77   |
| Derek Randall           | 47           | 79      | 2470  | 5   | 174 | 33.37   | 488        | 827     | 28456 | 81  | 237 | 38.14   | 4.76   |
| Rameez Raja             | 57           | 94      | 2833  | 5   | 122 | 31.83   | 183        | 304     | 10392 | 20  | 300 | 36.59   | 4.76   |
| Frank Worrell           | 51           | 87      | 3860  | 9   | 261 | 49.48   | 208        | 326     | 15025 | 49  | 308 | 54.24   | 4.75   |
| Darren Gough            | 58           | 86      | 855   | 18  | 65  | 12.57   | 248        | 326     | 4607  | 60  | 121 | 17.31   | 4.74   |
| Frank Woolley           | 64           | 98      | 3283  | 7   | 154 | 36.07   | 978        | 1530    | 58959 | 84  | 305 | 40.77   | 4.69   |
| John Waite              | 50           | 86      | 2405  | 7   | 134 | 30.44   | 199        | 314     | 9832  | 34  | 219 | 35.11   | 4.67   |
| Rod Marsh               | 96           | 150     | 3633  | 13  | 132 | 26.51   | 257        | 396     | 11067 | 41  | 236 | 31.17   | 4.65   |
| Mark Burgess            | 50           | 92      | 2684  | 6   | 119 | 31.20   | 192        | 322     | 10281 | 35  | 146 | 35.82   | 4.61   |
| Sherwin Campbell        | 52           | 93      | 2882  | 4   | 208 | 32.38   | 177        | 316     | 10873 | 22  | 211 | 36.98   | 4.60   |
| Phil Tufnell            | 42           | 59      | 153   | 29  | 22  | 5.10    | 316        | 349     | 2066  | 136 | 67  | 9.69    | 4.59   |
| Henry Olonga            | 30           | 45      | 184   | 11  | 24  | 5.41    | 66         | 91      | 659   | 25  | 45  | 9.98    | 4.57   |
| Sir Richard Hadlee      | 86           | 134     | 3124  | 19  | 151 | 27.16   | 342        | 473     | 12052 | 93  | 210 | 31.71   | 4.55   |
| Dilruwan Perera         | 43           | 77      | 1303  | 8   | 95  | 18.88   | 224        | 364     | 7895  | 27  | 137 | 23.42   | 4.54   |
| John Wright             | 82           | 148     | 5334  | 7   | 185 | 37.82   | 366        | 636     | 25073 | 44  | 192 | 42.35   | 4.52   |
| Andy Caddick            | 62           | 95      | 861   | 12  | 49  | 10.37   | 275        | 356     | 4259  | 70  | 92  | 14.89   | 4.51   |
| Brendan Taylor          | 34           | 68      | 2320  | 4   | 171 | 36.25   | 136        | 248     | 9571  | 13  | 217 | 40.72   | 4.47   |
| Lance Cairns            | 43           | 65      | 928   | 8   | 64  | 16.28   | 148        | 226     | 4165  | 25  | 110 | 20.72   | 4.44   |
| Ian Johnson             | 45           | 66      | 1000  | 12  | 77  | 18.51   | 189        | 243     | 4905  | 29  | 132 | 22.92   | 4.40   |
| Clem Hill               | 49           | 89      | 3412  | 2   | 191 | 39.21   | 252        | 416     | 17213 | 21  | 365 | 43.57   | 4.35   |
| Shane Dowrich           | 35           | 62      | 1570  | 8   | 125 | 29.07   | 113        | 174     | 4880  | 28  | 131 | 33.42   | 4.35   |
| Bruce Taylor            | 30           | 50      | 898   | 6   | 124 | 20.40   | 141        | 210     | 4579  | 25  | 173 | 24.75   | 4.34   |
| Joel Garner             | 58           | 68      | 672   | 14  | 60  | 12.44   | 214        | 231     | 2964  | 54  | 104 | 16.74   | 4.30   |
| Peter May               | 66           | 106     | 4537  | 9   | 285 | 46.77   | 388        | 618     | 27592 | 77  | 285 | 51.00   | 4.22   |
| Denesh Ramdin           | 74           | 126     | 2898  | 14  | 166 | 25.87   | 161        | 273     | 7115  | 36  | 166 | 30.02   | 4.14   |
| Ken Wadsworth           | 33           | 51      | 1010  | 4   | 80  | 21.48   | 118        | 166     | 3664  | 23  | 117 | 25.62   | 4.13   |
| Craig McDermott         | 71           | 90      | 940   | 13  | 42  | 12.20   | 174        | 210     | 2856  | 35  | 74  | 16.32   | 4.11   |
| Majid Khan              | 63           | 106     | 3931  | 5   | 167 | 38.92   | 410        | 700     | 27444 | 62  | 241 | 43.01   | 4.09   |
| Sachin Tendulkar        | 200          | 329     | 15921 | 33  | 248 | 53.78   | 310        | 490     | 25396 | 51  | 248 | 57.84   | 4.06   |
| Ricky Ponting           | 168          | 287     | 13378 | 29  | 257 | 51.85   | 289        | 494     | 24150 | 62  | 257 | 55.90   | 4.05   |
| Marlon Samuels          | 71           | 127     | 3917  | 7   | 260 | 32.64   | 122        | 211     | 7295  | 12  | 260 | 36.65   | 4.01   |
| Syd Gregory             | 58           | 100     | 2282  | 7   | 201 | 24.53   | 368        | 587     | 15188 | 55  | 201 | 28.54   | 4.01   |
| Charles Macartney       | 35           | 55      | 2131  | 4   | 170 | 41.78   | 249        | 360     | 15019 | 32  | 345 | 45.78   | 4.00   |
| Heath Streak            | 65           | 107     | 1990  | 18  | 127 | 22.35   | 175        | 264     | 5684  | 48  | 131 | 26.31   | 3.95   |
| Abdul Razzaq            | 46           | 77      | 1946  | 9   | 134 | 28.61   | 123        | 193     | 5371  | 28  | 203 | 32.55   | 3.93   |
| Shivlal Yadav           | 35           | 40      | 403   | 12  | 43  | 14.39   | 112        | 114     | 1502  | 32  | 97  | 18.31   | 3.92   |
| Anil Kumble             | 132          | 173     | 2506  | 32  | 110 | 17.77   | 244        | 318     | 5572  | 61  | 154 | 21.68   | 3.90   |
| Jackie McGlew           | 34           | 64      | 2440  | 6   | 255 | 42.06   | 190        | 299     | 12170 | 34  | 255 | 45.92   | 3.85   |
| Jack Russell            | 54           | 86      | 1897  | 16  | 128 | 27.10   | 465        | 690     | 16861 | 145 | 129 | 30.93   | 3.83   |
| Stephen Fleming         | 111          | 189     | 7172  | 10  | 274 | 40.06   | 247        | 406     | 16409 | 32  | 274 | 43.87   | 3.80   |
| Graham Dowling          | 39           | 77      | 2306  | 3   | 239 | 31.16   | 158        | 282     | 9399  | 13  | 239 | 34.94   | 3.77   |
| Courtney Walsh          | 132          | 185     | 936   | 61  | 30  | 7.54    | 429        | 558     | 4530  | 158 | 66  | 11.32   | 3.77   |
| Bill Lawry              | 67           | 123     | 5234  | 12  | 210 | 47.15   | 249        | 417     | 18734 | 49  | 266 | 50.90   | 3.75   |
| Clarrie Grimmett        | 37           | 50      | 557   | 10  | 50  | 13.92   | 248        | 321     | 4720  | 54  | 71  | 17.67   | 3.75   |
| Dattu Phadkar           | 31           | 45      | 1229  | 7   | 123 | 32.34   | 133        | 178     | 5377  | 29  | 217 | 36.08   | 3.74   |
| Angus Fraser            | 46           | 67      | 388   | 15  | 32  | 7.46    | 290        | 344     | 2934  | 82  | 92  | 11.19   | 3.73   |
| Mike Hendrick           | 30           | 35      | 128   | 15  | 15  | 6.40    | 267        | 267     | 1601  | 109 | 46  | 10.13   | 3.73   |
| Mushtaq Ahmed           | 52           | 72      | 656   | 16  | 59  | 11.71   | 309        | 389     | 5124  | 57  | 90  | 15.43   | 3.71   |
| Trevor Bailey           | 61           | 91      | 2290  | 14  | 134 | 29.74   | 682        | 1072    | 28641 | 215 | 205 | 33.42   | 3.67   |
| Niroshan Dickwella      | 45           | 80      | 2443  | 5   | 96  | 32.57   | 107        | 185     | 6342  | 10  | 209 | 36.24   | 3.66   |
| Shikhar Dhawan          | 34           | 58      | 2315  | 1   | 190 | 40.61   | 122        | 202     | 8499  | 10  | 224 | 44.26   | 3.65   |
| Dion Nash               | 32           | 45      | 729   | 14  | 89  | 23.51   | 120        | 168     | 3555  | 37  | 135 | 27.13   | 3.62   |
| Danish Kaneria          | 61           | 84      | 360   | 33  | 29  | 7.05    | 206        | 264     | 1911  | 85  | 65  | 10.67   | 3.61   |
| Desmond Haynes          | 116          | 202     | 7487  | 25  | 184 | 42.29   | 376        | 639     | 26030 | 72  | 255 | 45.90   | 3.60   |
| Aamer Sohail            | 47           | 83      | 2823  | 3   | 205 | 35.28   | 195        | 331     | 12213 | 17  | 205 | 38.89   | 3.60   |
| Murali Vijay            | 61           | 105     | 3982  | 1   | 167 | 38.28   | 135        | 227     | 9205  | 7   | 266 | 41.84   | 3.55   |
| Guy Whittall            | 46           | 82      | 2207  | 7   | 203 | 29.42   | 108        | 190     | 5639  | 19  | 247 | 32.97   | 3.54   |
| Sarfraz Ahmed           | 49           | 86      | 2657  | 13  | 112 | 36.39   | 161        | 252     | 8223  | 46  | 213 | 39.91   | 3.52   |
| Monty Panesar           | 50           | 68      | 220   | 23  | 26  | 4.88    | 219        | 270     | 1536  | 87  | 46  | 8.39    | 3.50   |
| Graeme Swann            | 60           | 76      | 1370  | 14  | 85  | 22.09   | 252        | 343     | 7811  | 37  | 183 | 25.52   | 3.42   |
| Roy Fredericks          | 59           | 109     | 4334  | 7   | 169 | 42.49   | 223        | 391     | 16384 | 34  | 250 | 45.89   | 3.40   |
| Ian Bishop              | 43           | 63      | 632   | 11  | 48  | 12.15   | 159        | 211     | 2639  | 41  | 111 | 15.52   | 3.36   |
| Garth McKenzie          | 60           | 89      | 945   | 12  | 76  | 12.27   | 383        | 471     | 5662  | 109 | 76  | 15.64   | 3.36   |
| Yasir Shah              | 46           | 69      | 847   | 7   | 113 | 13.66   | 148        | 210     | 3097  | 28  | 113 | 17.01   | 3.35   |
| Wavell Hinds            | 45           | 80      | 2608  | 1   | 213 | 33.01   | 175        | 295     | 10110 | 17  | 213 | 36.36   | 3.35   |
| Patrick Cummins         | 38           | 55      | 780   | 7   | 63  | 16.25   | 52         | 72      | 1114  | 15  | 82  | 19.54   | 3.29   |
| Dilip Doshi             | 33           | 38      | 129   | 10  | 20  | 4.60    | 238        | 253     | 1442  | 70  | 44  | 7.87    | 3.27   |
| Temba Bavuma            | 48           | 81      | 2366  | 11  | 102 | 33.80   | 157        | 264     | 8550  | 33  | 180 | 37.01   | 3.21   |
| Waqar Younis            | 87           | 120     | 1010  | 21  | 45  | 10.20   | 228        | 283     | 2972  | 61  | 64  | 13.38   | 3.18   |
| Angelo Mathews          | 92           | 165     | 6338  | 23  | 200 | 44.63   | 134        | 229     | 9420  | 32  | 270 | 47.81   | 3.18   |
| Andrew Hudson           | 35           | 63      | 2007  | 3   | 163 | 33.45   | 151        | 270     | 9156  | 20  | 206 | 36.62   | 3.17   |
| Patsy Hendren           | 51           | 83      | 3525  | 9   | 205 | 47.63   | 833        | 1300    | 57611 | 166 | 301 | 50.80   | 3.16   |
| Mike Atherton           | 115          | 212     | 7728  | 7   | 185 | 37.69   | 336        | 584     | 21929 | 47  | 268 | 40.83   | 3.13   |
| Vinoo Mankad            | 44           | 72      | 2109  | 5   | 231 | 31.47   | 233        | 362     | 11593 | 27  | 231 | 34.60   | 3.12   |
| Syed Kirmani            | 88           | 124     | 2759  | 22  | 102 | 27.04   | 275        | 383     | 9620  | 64  | 161 | 30.15   | 3.10   |
| Gary Kirsten            | 101          | 176     | 7289  | 15  | 275 | 45.27   | 221        | 387     | 16670 | 42  | 275 | 48.31   | 3.04   |
| Mark Boucher            | 147          | 206     | 5515  | 24  | 125 | 30.30   | 212        | 306     | 8803  | 42  | 134 | 33.34   | 3.04   |
| Kusal Mendis            | 47           | 91      | 3022  | 4   | 196 | 34.73   | 75         | 138     | 4946  | 7   | 200 | 37.75   | 3.02   |
| Rahul Dravid            | 164          | 286     | 13288 | 32  | 270 | 52.31   | 298        | 497     | 23794 | 67  | 270 | 55.33   | 3.01   |
| Paul Harris             | 37           | 48      | 460   | 5   | 46  | 10.69   | 123        | 151     | 1762  | 22  | 55  | 13.65   | 2.96   |
| Les Ames                | 47           | 72      | 2434  | 12  | 149 | 40.56   | 593        | 951     | 37250 | 95  | 295 | 43.51   | 2.94   |
| James Kelly             | 36           | 56      | 664   | 17  | 46  | 17.02   | 185        | 266     | 4108  | 60  | 108 | 19.94   | 2.91   |
| Mushtaq Mohammad        | 57           | 100     | 3643  | 7   | 201 | 39.17   | 502        | 843     | 31091 | 104 | 303 | 42.07   | 2.89   |
| Habibul Bashar          | 50           | 99      | 3026  | 1   | 113 | 30.87   | 91         | 170     | 5571  | 5   | 224 | 33.76   | 2.88   |
| Damien Martyn           | 67           | 109     | 4406  | 14  | 165 | 46.37   | 204        | 343     | 14630 | 46  | 238 | 49.25   | 2.88   |
| Umesh Yadav             | 52           | 61      | 408   | 26  | 31  | 11.65   | 103        | 122     | 1061  | 49  | 128 | 14.53   | 2.87   |
| Ian Healy               | 119          | 182     | 4356  | 23  | 161 | 27.39   | 231        | 342     | 8341  | 66  | 161 | 30.22   | 2.82   |
| Mashrafe Mortaza        | 36           | 67      | 797   | 5   | 79  | 12.85   | 57         | 100     | 1458  | 7   | 132 | 15.67   | 2.82   |
| Bob Willis              | 90           | 128     | 840   | 55  | 28  | 11.50   | 308        | 333     | 2690  | 145 | 72  | 14.30   | 2.80   |
| Ashwell Prince          | 66           | 104     | 3665  | 16  | 162 | 41.64   | 288        | 465     | 18484 | 49  | 261 | 44.43   | 2.78   |
| Abdul Qadir             | 67           | 77      | 1029  | 11  | 61  | 15.59   | 209        | 247     | 3740  | 43  | 112 | 18.33   | 2.74   |
| Dave Richardson         | 42           | 64      | 1359  | 8   | 109 | 24.26   | 200        | 310     | 6981  | 51  | 134 | 26.95   | 2.68   |
| Dean Elgar              | 73           | 128     | 4583  | 11  | 199 | 39.17   | 225        | 394     | 15273 | 29  | 268 | 41.84   | 2.67   |
| Chris Gayle             | 103          | 182     | 7214  | 11  | 333 | 42.18   | 180        | 321     | 13226 | 26  | 333 | 44.83   | 2.64   |
| Bevan Congdon           | 61           | 114     | 3448  | 7   | 176 | 32.22   | 241        | 416     | 13101 | 40  | 202 | 34.84   | 2.61   |
| Jim Parks               | 46           | 68      | 1962  | 7   | 108 | 32.16   | 739        | 1227    | 36673 | 172 | 205 | 34.76   | 2.59   |
| Sir Clive Lloyd         | 110          | 175     | 7515  | 14  | 242 | 46.67   | 490        | 730     | 31232 | 96  | 242 | 49.26   | 2.58   |
| Quinton de Kock         | 54           | 91      | 3300  | 6   | 141 | 38.82   | 84         | 142     | 5463  | 10  | 194 | 41.38   | 2.56   |
| Dilip Sardesai          | 30           | 55      | 2001  | 4   | 212 | 39.23   | 179        | 271     | 10230 | 26  | 222 | 41.75   | 2.51   |
| Danny Morrison          | 48           | 71      | 379   | 26  | 42  | 8.42    | 142        | 161     | 1127  | 58  | 46  | 10.94   | 2.51   |
| Neil Harvey             | 79           | 137     | 6149  | 10  | 205 | 48.41   | 306        | 461     | 21699 | 35  | 231 | 50.93   | 2.51   |
| Jim Laker               | 46           | 63      | 676   | 15  | 63  | 14.08   | 450        | 548     | 7304  | 108 | 113 | 16.60   | 2.51   |
| Andy Flower             | 63           | 112     | 4794  | 19  | 232 | 51.54   | 223        | 372     | 16379 | 69  | 271 | 54.05   | 2.50   |
| Venkatesh Prasad        | 33           | 47      | 203   | 20  | 30  | 7.51    | 123        | 142     | 892   | 53  | 37  | 10.02   | 2.50   |
| Neil Wagner             | 57           | 72      | 744   | 20  | 66  | 14.30   | 188        | 246     | 3225  | 54  | 70  | 16.79   | 2.48   |
| Kevin Pietersen         | 104          | 181     | 8181  | 8   | 227 | 47.28   | 217        | 358     | 16522 | 26  | 355 | 49.76   | 2.47   |
| Mohammad Aamer          | 36           | 67      | 751   | 11  | 48  | 13.41   | 67         | 102     | 1366  | 16  | 66  | 15.88   | 2.47   |
| Jermaine Blackwood      | 43           | 79      | 2277  | 4   | 112 | 30.36   | 119        | 221     | 6959  | 9   | 248 | 32.82   | 2.46   |
| Taijul Islam            | 35           | 59      | 483   | 8   | 39  | 9.47    | 83         | 125     | 1228  | 22  | 64  | 11.92   | 2.45   |
| Bishan Bedi             | 67           | 101     | 656   | 28  | 50  | 8.98    | 370        | 426     | 3584  | 111 | 61  | 11.37   | 2.39   |
| Bill Edrich             | 39           | 63      | 2440  | 2   | 219 | 40.00   | 571        | 964     | 36965 | 92  | 267 | 42.39   | 2.39   |
| Hashim Amla             | 124          | 215     | 9282  | 16  | 311 | 46.64   | 251        | 418     | 18803 | 34  | 311 | 48.96   | 2.32   |
| Jeffrey Stollmeyer      | 32           | 56      | 2159  | 5   | 160 | 42.33   | 117        | 194     | 7942  | 16  | 324 | 44.61   | 2.28   |
| Asad Shafiq             | 77           | 128     | 4660  | 6   | 137 | 38.19   | 173        | 289     | 10641 | 26  | 223 | 40.46   | 2.26   |
| Stephen Boock           | 30           | 41      | 207   | 8   | 37  | 6.27    | 164        | 195     | 1092  | 67  | 37  | 8.53    | 2.25   |
| Saleem Malik            | 103          | 154     | 5768  | 22  | 237 | 43.69   | 269        | 417     | 16586 | 56  | 237 | 45.94   | 2.24   |
| Peter Siddle            | 67           | 94      | 1164  | 15  | 51  | 14.73   | 196        | 264     | 3613  | 51  | 103 | 16.96   | 2.22   |
| Saqlain Mushtaq         | 49           | 78      | 927   | 14  | 101 | 14.48   | 194        | 263     | 3407  | 59  | 101 | 16.70   | 2.21   |
| Shoaib Akhtar           | 46           | 67      | 544   | 13  | 47  | 10.07   | 133        | 186     | 1670  | 50  | 59  | 12.27   | 2.20   |
| Navjot Sidhu            | 51           | 78      | 3202  | 2   | 201 | 42.13   | 157        | 228     | 9571  | 12  | 286 | 44.31   | 2.17   |
| Tony Lock               | 49           | 63      | 742   | 9   | 89  | 13.74   | 654        | 812     | 10342 | 161 | 89  | 15.88   | 2.14   |
| Mahmudullah             | 50           | 94      | 2914  | 7   | 150 | 33.49   | 114        | 204     | 6557  | 20  | 152 | 35.63   | 2.14   |
| Daren Sammy             | 38           | 63      | 1323  | 2   | 106 | 21.68   | 96         | 158     | 3549  | 9   | 121 | 23.81   | 2.13   |
| Shoaib Malik            | 35           | 60      | 1898  | 6   | 245 | 35.14   | 126        | 197     | 6559  | 21  | 245 | 37.26   | 2.11   |
| Moin Khan               | 69           | 104     | 2741  | 8   | 137 | 28.55   | 206        | 297     | 8189  | 30  | 200 | 30.67   | 2.11   |
| Pramodya Wickramasinghe | 40           | 64      | 555   | 5   | 51  | 9.40    | 123        | 145     | 1440  | 20  | 76  | 11.52   | 2.11   |
| Saeed Ajmal             | 35           | 53      | 451   | 12  | 50  | 11.00   | 148        | 206     | 2006  | 53  | 53  | 13.11   | 2.11   |
| Umar Gul                | 47           | 67      | 577   | 9   | 65  | 9.94    | 125        | 165     | 1748  | 20  | 65  | 12.05   | 2.10   |
| Shane Warne             | 145          | 199     | 3154  | 17  | 99  | 17.32   | 301        | 404     | 6919  | 48  | 107 | 19.43   | 2.10   |
| Vernon Philander        | 64           | 94      | 1779  | 20  | 74  | 24.04   | 168        | 234     | 4941  | 45  | 168 | 26.14   | 2.10   |
| Misbah-ul-Haq           | 75           | 132     | 5222  | 20  | 161 | 46.62   | 242        | 399     | 17141 | 47  | 284 | 48.69   | 2.07   |
| Andrew Flintoff         | 79           | 130     | 3845  | 9   | 167 | 31.77   | 183        | 290     | 9027  | 23  | 167 | 33.80   | 2.03   |
| Sourav Ganguly          | 113          | 188     | 7212  | 17  | 239 | 42.17   | 254        | 399     | 15687 | 44  | 239 | 44.18   | 2.01   |
| Ashley Mallett          | 38           | 50      | 430   | 13  | 43  | 11.62   | 183        | 230     | 2326  | 59  | 92  | 13.60   | 1.98   |
| Kapil Dev               | 131          | 184     | 5248  | 15  | 163 | 31.05   | 275        | 383     | 11353 | 39  | 193 | 33.00   | 1.94   |
| John Edrich             | 77           | 127     | 5138  | 9   | 310 | 43.54   | 564        | 979     | 39790 | 104 | 310 | 45.47   | 1.93   |
| Rohan Kanhai            | 79           | 137     | 6227  | 6   | 256 | 47.53   | 421        | 675     | 29250 | 83  | 256 | 49.40   | 1.87   |
| Sir Alastair Cook       | 161          | 291     | 12472 | 16  | 294 | 45.35   | 324        | 568     | 24841 | 42  | 294 | 47.22   | 1.87   |
| Keith Stackpole         | 43           | 80      | 2807  | 5   | 207 | 37.42   | 167        | 279     | 10100 | 22  | 207 | 39.29   | 1.87   |
| Fergie Gupte            | 36           | 42      | 183   | 13  | 21  | 6.31    | 115        | 125     | 761   | 32  | 47  | 8.18    | 1.87   |
| Matthew Hayden          | 103          | 184     | 8625  | 14  | 380 | 50.73   | 295        | 515     | 24603 | 47  | 380 | 52.57   | 1.83   |
| Ravichandran Ashwin     | 84           | 120     | 2844  | 14  | 124 | 26.83   | 140        | 197     | 4756  | 31  | 124 | 28.65   | 1.82   |
| Andrew Strauss          | 100          | 178     | 7037  | 6   | 177 | 40.91   | 241        | 424     | 17046 | 25  | 241 | 42.72   | 1.80   |
| Shiv Chanderpaul        | 164          | 280     | 11867 | 49  | 203 | 51.37   | 385        | 626     | 27545 | 108 | 303 | 53.17   | 1.80   |
| Devon Malcolm           | 40           | 58      | 236   | 19  | 29  | 6.05    | 304        | 366     | 1985  | 113 | 51  | 7.84    | 1.79   |
| Denis Compton           | 78           | 131     | 5807  | 15  | 278 | 50.06   | 515        | 839     | 38942 | 88  | 300 | 51.85   | 1.79   |
| Chris Cairns            | 62           | 104     | 3320  | 5   | 158 | 33.53   | 217        | 341     | 10702 | 38  | 158 | 35.32   | 1.78   |
| Terry Alderman          | 41           | 53      | 203   | 22  | 26  | 6.54    | 245        | 265     | 1307  | 108 | 52  | 8.32    | 1.77   |
| Alec Bedser             | 51           | 71      | 714   | 15  | 79  | 12.75   | 485        | 576     | 5735  | 181 | 126 | 14.51   | 1.76   |
| Mohsin Khan             | 48           | 79      | 2709  | 6   | 200 | 37.10   | 192        | 321     | 11274 | 31  | 246 | 38.87   | 1.76   |
| Matthew Hoggard         | 67           | 92      | 473   | 27  | 38  | 7.27    | 238        | 305     | 1908  | 94  | 89  | 9.04    | 1.76   |
| Fred Trueman            | 67           | 85      | 981   | 14  | 39  | 13.81   | 603        | 713     | 9231  | 120 | 104 | 15.56   | 1.74   |
| Rangana Herath          | 93           | 144     | 1699  | 28  | 80  | 14.64   | 270        | 396     | 5021  | 89  | 80  | 16.35   | 1.70   |
| Sadiq Mohammad          | 41           | 74      | 2579  | 2   | 166 | 35.81   | 387        | 684     | 24160 | 40  | 203 | 37.51   | 1.69   |
| Brian Hastings          | 31           | 56      | 1510  | 6   | 117 | 30.20   | 163        | 273     | 7686  | 32  | 226 | 31.89   | 1.69   |
| Hedley Howarth          | 30           | 42      | 291   | 18  | 61  | 12.12   | 145        | 179     | 1668  | 58  | 61  | 13.78   | 1.66   |
| Zaheer Khan             | 92           | 127     | 1231  | 24  | 75  | 11.95   | 169        | 223     | 2489  | 40  | 75  | 13.60   | 1.64   |
| Geoff Arnold            | 34           | 46      | 421   | 11  | 59  | 12.02   | 365        | 379     | 3952  | 90  | 73  | 13.67   | 1.64   |
| Sarfraz Nawaz           | 55           | 72      | 1045  | 13  | 90  | 17.71   | 299        | 367     | 5709  | 72  | 90  | 19.35   | 1.64   |
| Lance Gibbs             | 79           | 109     | 488   | 39  | 25  | 6.97    | 330        | 352     | 1729  | 150 | 43  | 8.55    | 1.58   |
| Curtly Ambrose          | 98           | 145     | 1439  | 29  | 53  | 12.40   | 239        | 317     | 3448  | 70  | 78  | 13.95   | 1.55   |
| Tom Latham              | 64           | 111     | 4501  | 5   | 264 | 42.46   | 132        | 228     | 9375  | 15  | 264 | 44.01   | 1.55   |
| Chaminda Vaas           | 111          | 162     | 3089  | 35  | 100 | 24.32   | 227        | 300     | 6223  | 59  | 134 | 25.82   | 1.49   |
| Morn? Morkel            | 86           | 104     | 944   | 23  | 40  | 11.65   | 153        | 192     | 2062  | 35  | 82  | 13.13   | 1.47   |
| Phil Edmonds            | 51           | 65      | 875   | 15  | 64  | 17.50   | 391        | 495     | 7650  | 91  | 142 | 18.93   | 1.43   |
| Kemar Roach             | 68           | 111     | 1042  | 23  | 41  | 11.84   | 133        | 185     | 1951  | 38  | 53  | 13.27   | 1.43   |
| Iqbal Qasim             | 50           | 57      | 549   | 15  | 56  | 13.07   | 246        | 231     | 2432  | 63  | 61  | 14.47   | 1.40   |
| Saleem Yousuf           | 32           | 44      | 1055  | 5   | 91  | 27.05   | 119        | 183     | 4578  | 22  | 145 | 28.43   | 1.38   |
| Allan Donald            | 72           | 94      | 652   | 33  | 37  | 10.68   | 316        | 370     | 2785  | 139 | 55  | 12.05   | 1.36   |
| Graham Dilley           | 41           | 58      | 521   | 19  | 56  | 13.35   | 234        | 252     | 2339  | 93  | 81  | 14.71   | 1.35   |
| Chris Martin            | 71           | 104     | 123   | 52  | 12  | 2.36    | 191        | 244     | 479   | 115 | 25  | 3.71    | 1.34   |
| Bill Johnston           | 40           | 49      | 273   | 25  | 29  | 11.37   | 142        | 162     | 1129  | 73  | 38  | 12.68   | 1.31   |
| Doug Wright             | 34           | 39      | 289   | 13  | 45  | 11.11   | 497        | 703     | 5903  | 225 | 84  | 12.34   | 1.23   |
| Ian Smith               | 63           | 88      | 1815  | 17  | 173 | 25.56   | 178        | 250     | 5570  | 42  | 173 | 26.77   | 1.21   |
| Michael Holding         | 60           | 76      | 910   | 10  | 73  | 13.78   | 222        | 283     | 3600  | 43  | 80  | 15.00   | 1.21   |
| Stan McCabe             | 39           | 62      | 2748  | 5   | 232 | 48.21   | 182        | 262     | 11951 | 20  | 240 | 49.38   | 1.17   |
| Gordon Greenidge        | 108          | 185     | 7558  | 16  | 226 | 44.72   | 523        | 889     | 37354 | 75  | 273 | 45.88   | 1.16   |
| Colin McDonald          | 47           | 83      | 3107  | 4   | 170 | 39.32   | 192        | 307     | 11375 | 26  | 229 | 40.48   | 1.15   |
| Bert Oldfield           | 54           | 80      | 1427  | 17  | 65  | 22.65   | 245        | 315     | 6135  | 57  | 137 | 23.77   | 1.12   |
| Jack Blackham           | 35           | 62      | 800   | 11  | 74  | 15.68   | 275        | 442     | 6395  | 61  | 109 | 16.78   | 1.09   |
| Herbie Taylor           | 42           | 76      | 2936  | 4   | 176 | 40.77   | 206        | 339     | 13105 | 26  | 250 | 41.86   | 1.09   |
| Bruce Yardley           | 33           | 54      | 978   | 4   | 74  | 19.56   | 105        | 155     | 2738  | 22  | 97  | 20.58   | 1.02   |
| Harbhajan Singh         | 103          | 145     | 2224  | 23  | 115 | 18.22   | 198        | 268     | 4255  | 46  | 115 | 19.16   | 0.93   |
| Larry Gomes             | 60           | 91      | 3171  | 11  | 143 | 39.63   | 231        | 370     | 12982 | 50  | 200 | 40.56   | 0.93   |
| BJ Watling              | 75           | 117     | 3790  | 16  | 205 | 37.52   | 178        | 297     | 10034 | 36  | 205 | 38.44   | 0.91   |
| Virat Kohli             | 99           | 168     | 7962  | 10  | 254 | 50.39   | 131        | 216     | 10211 | 17  | 254 | 51.31   | 0.91   |
| Merv Hughes             | 53           | 70      | 1032  | 8   | 72  | 16.64   | 165        | 196     | 2649  | 45  | 72  | 17.54   | 0.89   |
| Ian Bell                | 118          | 205     | 7727  | 24  | 235 | 42.69   | 312        | 524     | 20440 | 55  | 262 | 43.58   | 0.89   |
| Steve Waugh             | 168          | 260     | 10927 | 46  | 200 | 51.06   | 356        | 551     | 24052 | 88  | 216 | 51.94   | 0.88   |
| Shannon Gabriel         | 56           | 84      | 221   | 32  | 20  | 4.25    | 115        | 160     | 491   | 64  | 20  | 5.11    | 0.86   |
| Jason Gillespie         | 71           | 93      | 1218  | 28  | 201 | 18.73   | 189        | 256     | 3742  | 65  | 201 | 19.59   | 0.85   |
