+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| Salman Butt             | 33           | 62      | 1889  | 0   | 122 | 30.46   | 131        | 226     | 8921  | 13  | 290 | 41.88   | 11.41  |
| Carl Hooper             | 102          | 173     | 5762  | 15  | 233 | 36.46   | 339        | 535     | 23034 | 52  | 236 | 47.68   | 11.22  |
| Matthew Wade            | 36           | 63      | 1613  | 9   | 117 | 29.87   | 156        | 249     | 8492  | 41  | 152 | 40.82   | 10.95  |
| Rory Burns              | 32           | 59      | 1789  | 0   | 133 | 30.32   | 159        | 277     | 10791 | 15  | 219 | 41.18   | 10.86  |
| Vijay Manjrekar         | 55           | 92      | 3208  | 10  | 189 | 39.12   | 198        | 295     | 12828 | 38  | 283 | 49.91   | 10.79  |
| Imran Farhat            | 40           | 77      | 2400  | 2   | 128 | 32.00   | 230        | 393     | 15790 | 24  | 308 | 42.79   | 10.79  |
| Dilip Vengsarkar        | 116          | 185     | 6868  | 22  | 166 | 42.13   | 260        | 390     | 17868 | 52  | 284 | 52.86   | 10.72  |
| Vijay Hazare            | 30           | 52      | 2192  | 6   | 164 | 47.65   | 238        | 367     | 18740 | 46  | 316 | 58.38   | 10.72  |
| Martin Crowe            | 77           | 131     | 5444  | 11  | 299 | 45.36   | 247        | 412     | 19608 | 62  | 299 | 56.02   | 10.65  |
| Monty Noble             | 42           | 73      | 1997  | 7   | 133 | 30.25   | 248        | 377     | 13975 | 34  | 284 | 40.74   | 10.48  |
| Greg Blewett            | 46           | 79      | 2552  | 4   | 214 | 34.02   | 232        | 419     | 17352 | 29  | 268 | 44.49   | 10.46  |
| Ridley Jacobs           | 65           | 112     | 2577  | 21  | 118 | 28.31   | 157        | 251     | 7518  | 57  | 149 | 38.75   | 10.43  |
| Lokesh Rahul            | 43           | 74      | 2547  | 2   | 199 | 35.37   | 86         | 146     | 6444  | 5   | 337 | 45.70   | 10.32  |
| John Parker             | 36           | 63      | 1498  | 2   | 121 | 24.55   | 207        | 362     | 11254 | 39  | 195 | 34.84   | 10.28  |
| Yuvraj Singh            | 40           | 62      | 1900  | 6   | 169 | 33.92   | 139        | 221     | 8965  | 18  | 260 | 44.16   | 10.23  |
| Mark Waugh              | 128          | 209     | 8029  | 17  | 153 | 41.81   | 368        | 591     | 26855 | 75  | 229 | 52.04   | 10.22  |
